upper,effects,lower,ate,ate_upper,ate_lower,z_values
-7650.418825249705,-9742.71728732208,-11835.015749394457,-7232.653719973282,-5615.921863886087,-8849.385576060478,30.0
-7146.776876225996,-9045.119966827193,-10943.46305742839,-7232.653719973282,-5615.921863886087,-8849.385576060478,31.0
-7124.900397567968,-9181.371502021231,-11237.842606474494,-7232.653719973282,-5615.921863886087,-8849.385576060478,32.0
-7003.075450749791,-8960.1876983247,-10917.29994589961,-7232.653719973282,-5615.921863886087,-8849.385576060478,33.0
-7477.004249154887,-9602.415333848825,-11727.826418542763,-7232.653719973282,-5615.921863886087,-8849.385576060478,34.0
-7019.90142478997,-8902.93022445896,-10785.95902412795,-7232.653719973282,-5615.921863886087,-8849.385576060478,35.0
-6305.8451616164975,-8071.111760244115,-9836.378358871732,-7232.653719973282,-5615.921863886087,-8849.385576060478,36.0
-5860.387279087872,-7593.795813737383,-9327.204348386893,-7232.653719973282,-5615.921863886087,-8849.385576060478,37.0
-6306.777764544816,-8063.824403230689,-9820.871041916562,-7232.653719973282,-5615.921863886087,-8849.385576060478,38.0
-5162.249012025886,-6793.496578832166,-8424.744145638446,-7232.653719973282,-5615.921863886087,-8849.385576060478,39.0
-4842.584438216902,-6364.491675691239,-7886.398913165576,-7232.653719973282,-5615.921863886087,-8849.385576060478,40.0
-4780.955121082067,-6400.134777821808,-8019.314434561548,-7232.653719973282,-5615.921863886087,-8849.385576060478,41.0
-5489.553873787476,-7217.778786281078,-8946.00369877468,-7232.653719973282,-5615.921863886087,-8849.385576060478,42.0
-5146.874017793091,-6802.042097066562,-8457.210176340031,-7232.653719973282,-5615.921863886087,-8849.385576060478,43.0
-4656.84491673808,-6157.569420883187,-7658.293925028294,-7232.653719973282,-5615.921863886087,-8849.385576060478,44.0
-4486.316801730933,-6018.61167417742,-7550.906546623908,-7232.653719973282,-5615.921863886087,-8849.385576060478,45.0
-3731.344412825185,-5314.492609382066,-6897.640805938947,-7232.653719973282,-5615.921863886087,-8849.385576060478,46.0
-3866.6895487864394,-5649.698424378034,-7432.707299969629,-7232.653719973282,-5615.921863886087,-8849.385576060478,47.0
-4360.757188014353,-6003.570804185869,-7646.384420357384,-7232.653719973282,-5615.921863886087,-8849.385576060478,48.0
-4062.4970116438653,-5721.387857486778,-7380.27870332969,-7232.653719973282,-5615.921863886087,-8849.385576060478,49.0
-4173.991725375976,-5911.132246117936,-7648.272766859896,-7232.653719973282,-5615.921863886087,-8849.385576060478,50.0
