upper,effects,lower,ate,z_values
-1062.5665185123025,-2658.2198860627504,-4253.873253613198,0.0,30.0
-637.9836837736623,-2150.6557871722584,-3663.327890570855,0.0,31.0
-613.2797209949447,-2030.3596682949596,-3447.4396155949744,0.0,32.0
-740.8546739976337,-1999.7051933645687,-3258.5557127315037,0.0,33.0
-908.144861529348,-2184.9902554312694,-3461.8356493331908,0.0,34.0
-539.124205117927,-1476.3127517778466,-2413.5012984377663,0.0,35.0
-8.148801613282785,-793.1871646777249,-1578.225527742167,0.0,36.0
208.09504340507817,-552.0135634248259,-1312.12217025473,0.0,37.0
-77.07393021361656,-901.320383593298,-1725.5668369729792,0.0,38.0
947.548136607892,333.3834384135462,-280.7812597807997,0.0,39.0
1570.4456390090606,943.3837964757666,316.32195394247265,0.0,40.0
1321.3350968902182,730.1188318508864,138.9025668115545,0.0,41.0
536.540142130517,-218.28435731333033,-973.1088567571777,0.0,42.0
1235.739910784387,504.5440277605151,-226.6518552633566,0.0,43.0
1818.2562061716003,1068.578644357301,318.90108254300196,0.0,44.0
2159.5147478151553,1406.9435914735527,654.3724351319502,0.0,45.0
2834.8016995369,1908.8289996753442,982.8562998137887,0.0,46.0
2943.6257684794923,1897.6106244750981,851.5954804707039,0.0,47.0
2326.7866920126435,1294.0122734896117,261.23785496658024,0.0,48.0
2642.3925077776694,1556.9870764704242,471.5816451631788,0.0,49.0
2560.293902907185,1461.123179774479,361.9524566417733,0.0,50.0
