upper,effects,lower,ate,ate_upper,ate_lower,z_values
-5524.606397650129,-10974.049146126676,-16423.491894603223,-15072.195589905368,-11103.147734959082,-19041.243444851654,8.0
-7234.41626949731,-11784.85020584451,-16335.284142191711,-15072.195589905368,-11103.147734959082,-19041.243444851654,9.0
-11716.222212017834,-15814.486966342552,-19912.75172066727,-15072.195589905368,-11103.147734959082,-19041.243444851654,10.0
-13457.531248854386,-18565.425121330238,-23673.31899380609,-15072.195589905368,-11103.147734959082,-19041.243444851654,12.0
