upper,effects,lower,ate,ate_upper,ate_lower,z_values
-2058.119124935288,-5031.156768140802,-8004.194411346317,-813.1874490744776,1509.526910136276,-3135.9018082852313,30.0
-2086.7711176200437,-4724.3072629709295,-7361.843408321815,-813.1874490744776,1509.526910136276,-3135.9018082852313,31.0
-1260.7234457527643,-4183.65007037191,-7106.576694991056,-813.1874490744776,1509.526910136276,-3135.9018082852313,32.0
-1323.2506898419888,-4078.2017133018653,-6833.152736761742,-813.1874490744776,1509.526910136276,-3135.9018082852313,33.0
-1259.1851078388136,-4206.712589565328,-7154.2400712918425,-813.1874490744776,1509.526910136276,-3135.9018082852313,34.0
-889.6101530753999,-3533.63818729008,-6177.66622150476,-813.1874490744776,1509.526910136276,-3135.9018082852313,35.0
107.43427635237049,-2396.286456912516,-4900.007190177403,-813.1874490744776,1509.526910136276,-3135.9018082852313,36.0
614.130354367303,-1845.881721220625,-4305.893796808553,-813.1874490744776,1509.526910136276,-3135.9018082852313,37.0
173.39825523343688,-2345.1186327681935,-4863.635520769823,-813.1874490744776,1509.526910136276,-3135.9018082852313,38.0
2246.867272666277,-124.59450679390648,-2496.05628625409,-813.1874490744776,1509.526910136276,-3135.9018082852313,39.0
2394.858652527273,179.75506074673285,-2035.3485310338074,-813.1874490744776,1509.526910136276,-3135.9018082852313,40.0
2631.675905602412,300.98193571562297,-2029.7120341711661,-813.1874490744776,1509.526910136276,-3135.9018082852313,41.0
1990.0263172384066,-478.5840752989152,-2947.194467836237,-813.1874490744776,1509.526910136276,-3135.9018082852313,42.0
2704.257056149642,281.52712512206926,-2141.2028059055033,-813.1874490744776,1509.526910136276,-3135.9018082852313,43.0
3025.2964814732477,824.1029530344786,-1377.0905754042906,-813.1874490744776,1509.526910136276,-3135.9018082852313,44.0
3344.5728275362167,1114.1400070471664,-1116.292813441884,-813.1874490744776,1509.526910136276,-3135.9018082852313,45.0
4659.888209713364,2343.1412206843306,26.394231655297517,-813.1874490744776,1509.526910136276,-3135.9018082852313,46.0
4494.039935945254,1954.1238707308148,-585.7921944836244,-813.1874490744776,1509.526910136276,-3135.9018082852313,47.0
4153.701411202155,1766.8999613324795,-619.9014885371967,-813.1874490744776,1509.526910136276,-3135.9018082852313,48.0
4566.36837259982,2144.304551805126,-277.7592689895678,-813.1874490744776,1509.526910136276,-3135.9018082852313,49.0
4478.0784217990185,1959.2794294964115,-559.5195628061952,-813.1874490744776,1509.526910136276,-3135.9018082852313,50.0
