upper,effects,lower,ate,ate_upper,ate_lower,z_values
-24042.061174959545,-26233.3108217459,-28424.560468532258,-27914.231731401036,-25946.026365519847,-29882.437097282225,0.0
-26399.24924874855,-28377.217295935123,-30355.185343121695,-27914.231731401036,-25946.026365519847,-29882.437097282225,1.0
