upper,effects,lower,ate,ate_upper,ate_lower,z_values
-35693.19831077259,-38826.92337087482,-41960.64843097705,-38663.810003293256,-35546.59491656066,-41781.025090025854,0.0
-34628.59350898252,-37885.31453278881,-41142.0355565951,-38663.810003293256,-35546.59491656066,-41781.025090025854,1.0
-35910.140654755436,-39195.63933436459,-42481.138013973745,-38663.810003293256,-35546.59491656066,-41781.025090025854,2.0
-35143.803175382774,-38486.5142150531,-41829.22525472343,-38663.810003293256,-35546.59491656066,-41781.025090025854,3.0
-35222.49628404912,-38531.64243125054,-41840.78857845196,-38663.810003293256,-35546.59491656066,-41781.025090025854,4.0
