upper,effects,lower,ate,ate_upper,ate_lower,z_values
-11029.306858463164,-14973.481499553433,-18917.656140643703,-15072.195589905368,-11103.147734959082,-19041.243444851654,1.0
-10919.435976936351,-14693.62986287361,-18467.823748810868,-15072.195589905368,-11103.147734959082,-19041.243444851654,2.0
-10779.401791311484,-14973.071952100207,-19166.74211288893,-15072.195589905368,-11103.147734959082,-19041.243444851654,3.0
-11030.452964555232,-15446.039554606696,-19861.62614465816,-15072.195589905368,-11103.147734959082,-19041.243444851654,4.0
