upper,effects,lower,ate,z_values
4221.501468275919,2595.872524587359,970.243580898798,0.0,30.0
5625.242676250666,3838.994807116788,2052.74693798291,0.0,31.0
3730.93053728497,2275.7751973225922,820.6198573602146,0.0,32.0
3949.1640871694317,2477.6149150031833,1006.0657428369348,0.0,33.0
2647.2705638149396,1323.0856245807763,-1.0993146533869549,0.0,34.0
2565.6591950758466,1486.5579189812945,407.45664288674243,0.0,35.0
2055.7668865193655,1046.409028642606,37.05117076584634,0.0,36.0
1773.4641164361633,816.5435088870277,-140.37709866210787,0.0,37.0
2016.3686762848533,1105.1668769611963,193.96507763753914,0.0,38.0
767.7622050445234,49.56079267033692,-668.6406197038496,0.0,39.0
474.0683530745564,-181.94222921023427,-837.9528114950249,0.0,40.0
423.4028675910738,-240.577946563499,-904.5587607180719,0.0,41.0
519.8517123880508,-284.1684332038024,-1088.1885787956555,0.0,42.0
69.12640986878762,-783.4228949758212,-1635.97219982043,0.0,43.0
61.08839573990531,-924.5633267433029,-1910.2150492265112,0.0,44.0
-72.57262785106741,-1058.5472188798951,-2044.5218099087228,0.0,45.0
-794.1271050845266,-1980.5807236002424,-3167.034342115958,0.0,46.0
-859.9944611581443,-2084.701384558884,-3309.408307959624,0.0,47.0
-869.3313868760747,-2248.798650200909,-3628.265913525743,0.0,48.0
-1341.425140871362,-2756.123874818568,-4170.822608765774,0.0,49.0
-931.8931237247364,-2324.512125037734,-3717.1311263507323,0.0,50.0
