upper,effects,lower,ate,z_values
-2956.046288546987,-4427.035175724701,-5898.024062902415,0.0,30.0
-2794.1126421799795,-4192.995630275882,-5591.878618371784,0.0,31.0
-2428.905311835657,-3715.9229183903235,-5002.94052494499,0.0,32.0
-2388.9253106018687,-3561.4574547894726,-4733.989598977077,0.0,33.0
-2549.487666923208,-3725.318340593982,-4901.149014264756,0.0,34.0
-1980.1293294555098,-2828.7828511377975,-3677.436372820085,0.0,35.0
-920.5736545609384,-1641.7084865890677,-2362.843318617197,0.0,36.0
-217.8358511891562,-928.0848444653889,-1638.3338377416217,0.0,37.0
-832.0936369415728,-1587.439351382614,-2342.7850658236553,0.0,38.0
1273.746403479227,717.9989855286831,162.2515675781391,0.0,39.0
1583.042063813376,1017.3542510705327,451.6664383276893,0.0,40.0
1801.2759193761701,1237.2898975152448,673.3038756543194,0.0,41.0
1354.5169895234371,667.6929200864419,-19.131149350553414,0.0,42.0
1755.2656624923443,1064.731906205901,374.1981499194575,0.0,43.0
2567.49667147105,1852.556748040922,1137.6168246107943,0.0,44.0
2829.9917802315485,2132.957831127571,1435.923882023593,0.0,45.0
4037.333169020746,3167.29643733807,2297.259705655394,0.0,46.0
3727.307450367158,2774.4517353945766,1821.5960204219957,0.0,47.0
3786.1267451540425,2869.8994528145845,1953.6721604751265,0.0,48.0
4123.03060887988,3158.7472917960104,2194.4639747121405,0.0,49.0
3776.901657909399,2769.7089454605575,1762.516233011716,0.0,50.0
