upper,effects,lower,ate,ate_upper,ate_lower,z_values
-40848.68754133172,-43118.545584349995,-45388.40362736827,-44583.81245824255,-42822.82326134674,-46344.80165513836,30.0
-38310.83271744509,-40711.717783570675,-43112.60284969626,-44583.81245824255,-42822.82326134674,-46344.80165513836,31.0
-40846.3787943876,-42980.35840869798,-45114.338023008364,-44583.81245824255,-42822.82326134674,-46344.80165513836,32.0
-40293.77648321048,-42377.207924676884,-44460.63936614329,-44583.81245824255,-42822.82326134674,-46344.80165513836,33.0
-42757.14361422782,-44902.91667929616,-47048.68974436451,-44583.81245824255,-42822.82326134674,-46344.80165513836,34.0
-42148.55613134541,-44046.2330850462,-45943.910038746995,-44583.81245824255,-42822.82326134674,-46344.80165513836,35.0
-41783.81392312711,-43748.22237712785,-45712.63083112859,-44583.81245824255,-42822.82326134674,-46344.80165513836,36.0
-41339.62557158228,-43270.753676604116,-45201.881781625954,-44583.81245824255,-42822.82326134674,-46344.80165513836,37.0
-41862.68479175192,-43670.02185013336,-45477.3589085148,-44583.81245824255,-42822.82326134674,-46344.80165513836,38.0
-42588.786912664276,-44568.36011067851,-46547.93330869275,-44583.81245824255,-42822.82326134674,-46344.80165513836,39.0
-41852.01104747018,-43696.28955240476,-45540.56805733935,-44583.81245824255,-42822.82326134674,-46344.80165513836,40.0
-42286.38913769528,-44244.147750107615,-46201.90636251995,-44583.81245824255,-42822.82326134674,-46344.80165513836,41.0
-43447.60902970582,-45594.57970567162,-47741.55038163742,-44583.81245824255,-42822.82326134674,-46344.80165513836,42.0
-43470.41297302654,-45652.763442273324,-47835.11391152011,-44583.81245824255,-42822.82326134674,-46344.80165513836,43.0
-42683.04284491482,-44971.30737528645,-47259.571905658086,-44583.81245824255,-42822.82326134674,-46344.80165513836,44.0
-42798.12576555249,-45047.86398284885,-47297.602200145215,-44583.81245824255,-42822.82326134674,-46344.80165513836,45.0
-42757.70442234858,-45259.02471947129,-47760.345016593994,-44583.81245824255,-42822.82326134674,-46344.80165513836,46.0
-43251.84450437716,-45962.40369681582,-48672.96288925448,-44583.81245824255,-42822.82326134674,-46344.80165513836,47.0
-44328.39397416787,-46971.12532728477,-49613.85668040167,-44583.81245824255,-42822.82326134674,-46344.80165513836,48.0
-44023.26301763443,-46719.901781431356,-49416.54054522828,-44583.81245824255,-42822.82326134674,-46344.80165513836,49.0
-44196.74808008515,-46955.12625871763,-49713.504437350115,-44583.81245824255,-42822.82326134674,-46344.80165513836,50.0
