upper,effects,lower,ate,z_values
3124.6948400474394,891.8325130657242,-1341.029813915991,0.0,30.0
5654.24294417235,3193.1929248787646,732.1429055851795,0.0,31.0
2991.7077948548877,1004.2155337466735,-983.2767273615408,0.0,32.0
3657.4134719115928,1687.1977025566061,-283.0180667983807,0.0,33.0
1312.6437056058894,-506.86729029025673,-2326.378286186403,0.0,34.0
1760.2624752623128,280.13824457853036,-1199.9859861052523,0.0,35.0
1989.954069015854,607.069065325991,-775.815938363872,0.0,36.0
2653.5874923012425,1357.5001383984254,61.41278449560809,0.0,37.0
2014.8395092056883,808.6104691579969,-397.6185708896944,0.0,38.0
1316.8640808863436,242.67178185252007,-831.5205171813034,0.0,39.0
1728.7698024409506,804.5486200488119,-119.67256234332683,0.0,40.0
1433.8763557150764,506.64825752869524,-420.5798406576861,0.0,41.0
456.3882144552507,-653.3800741647989,-1763.1483627848484,0.0,42.0
311.89108746712145,-892.5235193839558,-2096.938126235033,0.0,43.0
706.1028060122153,-679.7823868016449,-2065.667579615505,0.0,44.0
983.1927827919114,-371.0652823675391,-1725.3233475269897,0.0,45.0
1392.1215097161548,-250.84436158629603,-1893.8102328887467,0.0,46.0
920.8128053659029,-813.7041882395918,-2548.2211818450864,0.0,47.0
-186.3597939072597,-2086.2453329252444,-3986.130871943229,0.0,48.0
143.82077528876334,-1809.4723157757667,-3762.7654068402967,0.0,49.0
77.34021978822625,-1939.051742496557,-3955.44370478134,0.0,50.0
