upper,effects,lower,ate,z_values
8038.652625967441,5525.0333502177,3011.4140744679585,0.0,8.0
5441.591650012718,3814.3133192588202,2187.0349885049227,0.0,9.0
1019.1498257437813,74.76918627801737,-869.6114531877465,0.0,10.0
-3894.587685139588,-6255.498911015127,-8616.410136890667,0.0,12.0
