upper,effects,lower,ate,ate_upper,ate_lower,z_values
-25736.296080481578,-27753.697947125136,-29771.099813768695,-27914.231731401036,-25946.026365519847,-29882.437097282225,1.0
-25587.336034089418,-27426.62515095336,-29265.914267817305,-27914.231731401036,-25946.026365519847,-29882.437097282225,2.0
-25806.54666402554,-27897.79428258993,-29989.04190115432,-27914.231731401036,-25946.026365519847,-29882.437097282225,3.0
-25872.905055404102,-28308.4808481817,-30744.0566409593,-27914.231731401036,-25946.026365519847,-29882.437097282225,4.0
