upper,effects,lower,ate,ate_upper,ate_lower,z_values
1.530738550954244,0.25602352685126273,-1.0186914972517185,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,30.0
1.3196333554524602,0.049756218800973695,-1.2201209178505128,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,31.0
1.362424225818902,0.11339442760700069,-1.1356353706049007,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,32.0
1.3049603855111533,0.07855183954266742,-1.1478567064258185,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,33.0
1.3788689465888837,0.1718994901240425,-1.0350699663407987,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,34.0
0.9848988769568945,-0.1547944315792873,-1.294487740115469,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,35.0
0.4249511038234526,-0.6691038194043883,-1.7631587426322293,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,36.0
0.09789424630201982,-0.9755589021872826,-2.049012050676585,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,37.0
0.5837823952998931,-0.5229966335376852,-1.6297756623752635,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,38.0
-0.4842674349232192,-1.4911026844314075,-2.4979379339395957,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,39.0
-0.5613851585022882,-1.5469956707169012,-2.5326061829315143,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,40.0
-0.6126717187513009,-1.6223198190068862,-2.6319679192624714,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,41.0
-0.13113453042229284,-1.1530485653310594,-2.1749626002398257,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,42.0
-0.3378263812877902,-1.3270066339362399,-2.3161868865846893,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,43.0
-0.9209958065173132,-1.897521021572218,-2.874046236627123,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,44.0
-0.9063790637481285,-1.9039862498070521,-2.901593435865976,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,45.0
-1.3655326549525937,-2.3523392867063886,-3.3391459184601837,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,46.0
-1.1651549596592856,-2.1627642640415954,-3.160373568423905,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,47.0
-0.9768855317141164,-1.9336229249804013,-2.890360318246686,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,48.0
-1.2657663519501687,-2.2487813217800605,-3.2317962916099523,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,49.0
-1.118842659740813,-2.109708816209753,-3.100574972678693,-1.1612701919913924,-0.16609218586296082,-2.156448198119824,50.0
