empl_chge_lc2vs0_iate,reg_ser
-1.9376496207548197,44.13662518418517
-2.238960356800459,43.794759766421855
-1.8585970665202245,56.00156836204996
-1.410617367783847,55.61319381311606
-1.3836025531647245,54.13462065843544
-2.052424475709446,51.64208012290497
-2.065700065711724,51.239202675284645
-2.0620953962890276,51.239202675284645
-1.8259478400722136,41.1263774068312
-2.0366692107262065,50.918617138569005
-1.1314351738716761,40.58472706107023
-2.0293050506635963,52.81671062158314
-1.8413723261506325,50.918617138569005
-2.0074398579806503,59.16605356399492
-2.4153632431323193,58.17571650868259
-1.5658822012922855,57.707357830393605
-2.4325452666157776,51.62276087243585
-1.6502813734014006,40.50652664870855
-1.6797697940982528,45.62378915966991
-1.0406366745532112,46.71352130193502
-1.1145505971045704,59.16605356399492
-2.262544255721852,40.424467677940896
-1.554666642353807,42.17211466032058
-1.376268746056748,41.04762817418116
-1.8113572275301342,47.94886509813647
-1.581501086672156,44.13662518418517
-0.6408259925741845,51.62276087243585
-1.3374769793853838,43.199874437569264
-2.237900305453701,47.1570315638461
-1.2825541338960904,51.239202675284645
-2.0348101491532136,45.62378915966991
-1.6459665259415144,43.794759766421855
-2.121881014624725,54.86573122936064
-1.6808991920914487,59.47595778135059
-2.061767815162848,44.82253612444929
-1.6117188850588486,40.1215023000053
-1.8737097584909477,51.99242497994736
-1.5959364354087606,56.19212068260055
-0.8507978145837756,55.88635513910959
-1.9135449977946033,56.45104328229763
-1.9129149557318414,40.31705615821635
-1.7106883914395463,54.89502272010587
-1.8468575616695153,40.50652664870855
-1.9945782009518185,54.89502272010587
-1.0251735052807986,40.58472706107023
-1.7672017184575124,44.13662518418517
-1.1519851152125784,48.36277186842874
-1.7408799977510574,57.91932836569297
-2.253994033450608,44.34699704539882
-1.3687491155658338,40.1215023000053
-2.277920524900105,41.797024702686336
-1.0191933357095952,42.793960732726966
-1.450149391332401,51.20649072287212
-1.5643637043905876,49.76105210425247
-0.8405310189723075,58.54521222112821
-2.1706116044989394,58.54521222112821
-1.3329324771486222,55.505871920133245
-2.204664209712405,46.71352130193502
-1.9286433938952237,57.707357830393605
-1.5000179160083675,41.04762817418116
-1.5308085697942326,43.794759766421855
-2.333426190305067,49.64290509414352
-1.5782936100076532,50.918617138569005
-1.8451354636893933,41.48296305222163
-1.605040105173947,43.19639221231764
-1.9148739783014328,55.918969385169504
-1.2893269968006988,50.71721377412224
-2.2047242125017923,40.1215023000053
-2.4001684279765207,58.54521222112821
-1.6525794664768756,40.50652664870855
-1.1502744492133226,47.05410925021325
-1.4922317990635463,50.71721377412224
-1.7457575394127933,47.97189674292668
-1.1128527948353741,51.62276087243585
-1.505255386022944,53.08541388864003
-1.7344016022005901,48.36277186842874
-2.0645279200216593,57.707357830393605
-1.7889196800039517,54.89502272010587
-1.5461513043231399,50.71721377412224
-1.0448444891495237,40.31705615821635
-1.6617126529447623,59.16605356399492
-1.6259150177996613,56.00156836204996
-2.04978471516278,52.40854258551276
-2.0047233898024794,43.49521587724775
-2.219585469838362,41.57278495048693
-2.16420707599502,51.11621272212679
-1.742638396890885,57.267873487302026
-1.4385835911093787,54.1093094876617
-0.7298880763773091,48.04528843141448
-1.678977303408725,41.797024702686336
-1.089430794211483,55.1660020929033
-1.6414300397571653,43.940765365608506
-1.5393671461219818,53.89097997615204
-2.1803461627265506,51.99242497994736
-2.1089497168040863,52.81671062158314
-1.2937821012776523,57.267873487302026
-1.9707171130389955,55.1660020929033
-1.6389660156096832,47.94886509813647
-2.441161982225367,53.3341229438205
-1.8741834074541075,59.47595778135059
-1.7604017152773368,51.64208012290497
-1.487061793881637,51.99242497994736
-1.315100976504008,40.45295140473965
-2.176721304054731,43.794759766421855
-2.3541551141476065,54.1093094876617
-1.8374290723290063,44.47355487462248
-1.3276992324464099,56.00156836204996
-1.935837810233064,53.89097997615204
-1.308546189569201,43.794759766421855
-1.670104198419995,47.05410925021325
-1.8172095337994303,41.57278495048693
-1.4048415956334352,54.13462065843544
-1.2985644387148743,49.76105210425247
-1.1254947783305786,56.45104328229763
-1.4016071805600592,53.08541388864003
-1.6849309972104758,57.267873487302026
-2.0461293994498075,58.54521222112821
