upper,effects,lower,ate,ate_l,ate_u
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8424.724624346034,-16975.73508475411,-25526.745545162186,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8384.225528857804,-16909.58853567582,-25434.951542493836,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8365.508839855043,-16844.507071502976,-25323.50530315091,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8331.696852284176,-16781.26276718396,-25230.82868208374,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8302.982389037043,-16717.679869683296,-25132.37735032955,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8280.638750436554,-16656.991880784703,-25033.34501113285,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8231.75936592113,-16598.108188519323,-24964.457011117516,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8211.229622357234,-16543.460211135152,-24875.69079991307,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8162.895740208118,-16490.311657566144,-24817.72757492417,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8124.790395734615,-16436.401853843196,-24748.013311951778,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8125.023640911417,-16382.6045386163,-24640.185436321182,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8115.398230554296,-16330.620539242376,-24545.842847930457,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8094.599976282962,-16279.620294570701,-24464.64061285844,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8096.359107238859,-16230.66263499094,-24364.96616274302,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8058.687486750629,-16182.09870131706,-24305.50991588349,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8035.359859537174,-16132.271228019485,-24229.182596501796,-813.1874490744776,1509.526910136276,-3135.9018082852313
-8010.847134437576,-16082.687468405951,-24154.527802374327,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7976.116368137456,-16032.905369737624,-24089.69437133779,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7963.485543072713,-15982.574323820476,-24001.663104568237,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7964.734963525115,-15932.736465512635,-23900.737967500154,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7898.923594628845,-15883.044294859868,-23867.16499509089,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7869.873490234026,-15833.188798382595,-23796.504106531163,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7863.2018057181795,-15783.254385616225,-23703.306965514268,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7847.426853183547,-15732.39172676223,-23617.35660034091,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7812.658585923485,-15682.978190871572,-23553.29779581966,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7805.281767026486,-15633.937048499332,-23462.59232997218,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7773.427631125681,-15584.979997379061,-23396.532363632443,-813.1874490744776,1509.526910136276,-3135.9018082852313
-7754.651955517122,-15536.513832621273,-23318.375709725424,-813.1874490744776,1509.526910136276,-3135.9018082852313
