sal_6_lc1vs0_iate,school
4786.872201996116,10.0
4937.874934741649,10.0
4491.1529504964365,10.0
-2632.953400414731,10.0
6295.935285934218,12.0
-2279.5498801757126,10.0
1765.0500781177966,8.0
4688.2744782647505,10.0
-638.9576443182386,10.0
960.9896371314953,9.0
-18236.03144106409,10.0
5589.539260932188,10.0
5523.929928554506,9.0
3044.660019174613,8.0
5738.071236309974,10.0
9723.306466737919,12.0
1567.0815830057522,9.0
-12953.701944487842,10.0
-2652.6528730746454,10.0
-7147.628432542682,12.0
-13012.106493399759,9.0
2818.2069071708634,9.0
-10446.08072625975,9.0
7484.3362878081425,12.0
7563.904390672156,12.0
6552.785888706552,12.0
-10088.094938680852,10.0
-9757.948007938514,9.0
2674.71503644095,9.0
-13536.185591746455,10.0
5272.717361686054,10.0
3624.9324330982417,12.0
-1790.5499210627895,8.0
4450.627062331363,9.0
3305.5147837330796,10.0
-4952.949111954733,10.0
3856.2134153104744,10.0
4582.272173993857,10.0
-13022.853196914615,10.0
3274.938842368805,8.0
6440.2186368125,12.0
6379.1694440535975,12.0
3022.208913924105,9.0
3647.860432091442,9.0
1213.3476412751952,12.0
4472.067582299371,12.0
-625.4468351277974,12.0
5087.5501253890525,12.0
3653.5182546119486,9.0
5794.630189021962,12.0
2954.959111921853,9.0
-3515.2100849879753,10.0
-5258.800008628911,9.0
7920.117367699964,12.0
-16237.205064735477,9.0
-1484.8822309506904,9.0
-17442.095032407662,10.0
2721.4020784109853,10.0
4197.474641707155,10.0
6680.9684430676425,12.0
-4404.343353272665,10.0
-100.26183126314459,8.0
8645.319146987422,12.0
5775.252323229994,12.0
-7801.850264728623,8.0
3311.4756508859937,10.0
-5269.406740862253,10.0
-2103.465159099962,8.0
1423.408359394517,8.0
4441.066818808057,10.0
-12212.603364041406,9.0
-14710.221032450838,10.0
5124.652344713599,10.0
-5095.864270302011,10.0
6891.059756759707,12.0
5808.817652304402,10.0
4665.370645478131,10.0
-1910.6901316000233,10.0
-2736.7668394826387,12.0
-16919.385068870564,10.0
6132.771242077291,10.0
4588.3405217631735,12.0
-151.8382505368927,10.0
4569.512182941551,10.0
1688.386174043886,8.0
3296.7419693332304,9.0
3392.7007231362218,10.0
-2851.7181784269014,10.0
-11597.630430945095,9.0
-768.0156106042305,9.0
-12207.421863217567,10.0
-1153.9752578158336,10.0
6904.169317361218,12.0
4069.2872177568606,10.0
3090.1067243680372,10.0
-19985.985395021125,9.0
3112.800600554565,12.0
-8072.731749132865,9.0
656.5945063531723,9.0
-1372.943665715262,10.0
1792.73632958477,10.0
6065.6464192528765,12.0
-2464.685386153289,10.0
3195.0308217386373,10.0
-665.6062343062113,9.0
6736.237288929911,12.0
-11077.76233821836,9.0
3716.3082070790533,10.0
-6644.117470081756,10.0
-5866.20075913652,10.0
-7181.167611531336,8.0
-2199.7969671853807,10.0
-8887.181049766528,10.0
-9770.4546985524,10.0
-6294.066371884856,9.0
159.15938019624286,10.0
-363.8276380789266,10.0
5281.933527274859,10.0
2420.6234099556304,9.0
6051.087569260875,12.0
3188.0270365525084,9.0
1827.904080350465,10.0
-17381.645628536415,10.0
-8371.247620275928,10.0
-12521.679696084033,9.0
1436.7539807482954,10.0
-7563.259859603859,10.0
4426.744283714175,10.0
4197.543312816202,9.0
2291.8686581650527,10.0
-334.6403208692823,8.0
-9193.829262261133,10.0
3901.6728331919912,9.0
2290.6801996781796,10.0
3601.5426088475156,9.0
4889.968415061783,12.0
4776.317397319317,10.0
-11383.71273018909,10.0
5345.62554010157,12.0
-369.97094475804306,10.0
5014.716319193913,10.0
4244.829693499269,10.0
-13335.411666802125,10.0
568.2271462547942,10.0
2873.590565807859,10.0
3744.9667557556386,9.0
-17472.935686990473,10.0
-12522.449827529661,8.0
-9022.093225154546,9.0
1927.0611601503383,9.0
-9927.082041628993,9.0
-5262.839785365225,9.0
-2620.9276462018597,9.0
3004.2085255513157,12.0
-4252.394767611782,9.0
2549.3645043564466,10.0
4224.078236457488,10.0
6065.821833518336,12.0
-3822.3889386733063,10.0
2254.8412594924753,9.0
9083.390159588915,12.0
2730.101535667811,9.0
2522.8744711917234,10.0
-6675.619571720854,10.0
1516.7544096736465,9.0
3678.903851086543,12.0
1636.3531959820139,9.0
-17603.85478488695,10.0
6151.87160310871,10.0
3326.5239687697285,10.0
6994.551797317554,12.0
-515.1958000604723,9.0
8205.681604173918,12.0
3847.0158588221548,10.0
2880.5922872683877,12.0
2531.6388774215416,8.0
-7029.300356241163,10.0
3739.701345841524,10.0
-591.1920712217357,12.0
1107.8634911683366,12.0
7296.11659145723,12.0
-6189.807873404587,9.0
4663.133189528241,10.0
4786.0036016931235,12.0
1429.8211195725046,8.0
-5748.666451559569,10.0
5356.535101539685,10.0
4415.268886380888,12.0
8130.494540700656,12.0
-11122.954612065634,10.0
-4241.32823274867,10.0
3187.6495469135916,10.0
-4141.795261008748,10.0
-2621.6192655842515,12.0
4365.166947262894,10.0
8698.744827095044,12.0
