sal_avg_lc1vs0_iate,reg_al
-463.513496485008,10.050615537983502
-1847.6121512813597,13.741563324684204
-3666.724739464621,8.825482962327687
-8612.12307443159,10.959246550795884
-2932.6937992341063,14.804185875909267
-5665.001479048336,6.677699816615499
-3441.4558967006274,7.51243705615898
-2838.081801430035,7.51243705615898
-5190.987333464111,8.466574711031729
-6679.015808655396,8.489792942049156
-21088.555720797518,6.2022476666536495
-5050.337640104915,5.715020948158258
-4330.400558687103,8.489792942049156
-4328.147398870946,14.40186392129919
-227.3310448535001,16.55187586437651
-3114.3760810520707,15.642798481867777
-2435.8406409209138,5.783144560228929
-16801.22053844198,13.57303201294301
-6820.418310267503,14.49019113834319
-13760.996006129913,5.86067097313722
-18046.204079078827,14.40186392129919
-2321.9146750212035,6.8852325544836805
-13241.46132851449,11.03190922138772
-3071.19154952596,6.129921717099373
-3206.1550970958815,17.826556324068328
-4154.286240049651,10.050615537983502
-15006.888634045421,5.783144560228929
-12021.335593992317,10.812397531915511
-2070.3202580666493,15.4126894841696
-18397.95356272177,7.51243705615898
-1889.9598735848053,14.49019113834319
-6092.692729795937,13.741563324684204
-7701.838036392345,19.45958127571632
-4284.474753541315,11.031587821201295
-3070.9207159497064,6.824294917274682
-10186.839265724966,12.627328492201132
-4058.7263050805213,15.9029059034019
-4234.555661910751,9.636531068070866
-14841.704162924554,10.603827650086728
-4721.648946031489,12.316557609793488
-146.3326538080487,10.08192028414992
-4296.263003798102,14.36506945499525
-3968.027247398873,13.57303201294301
-5487.076290863111,14.36506945499525
-10821.706583671672,6.2022476666536495
-3549.0933660013325,10.050615537983502
-11176.520391528746,19.07062212473508
-396.6216945757328,11.296729393764217
-1308.7933614894812,12.546763015475303
-4321.738163391496,12.627328492201132
-1679.3250543333627,13.589459515373113
-13825.385441420818,15.077459475794244
-9705.903919529803,16.065847450474042
-1941.5600032764141,18.46806689735796
-17026.261987989732,5.6673130249313965
-5681.74233304389,5.6673130249313965
-20707.033050715305,6.240418498934321
-2715.2386861927325,5.86067097313722
-2681.99010470236,15.642798481867777
-2220.630708743636,6.129921717099373
-8836.78346681875,13.741563324684204
