sal_7_lc1vs0_iate,lmp_cw
5953.581473813945,3.0
8464.159484895521,3.0
6955.343047811722,2.0
-2020.5311061799866,4.0
10542.252531731996,3.0
586.1306613070973,4.0
4807.944093878532,3.0
7682.542326626744,3.0
1447.4128988806024,4.0
3889.160303714727,3.0
-13394.278717608084,2.0
8937.643842383708,3.0
9798.967674830696,3.0
5767.038233563757,4.0
9222.468931014642,4.0
12962.039103616275,3.0
4298.5463141792625,2.0
-6621.019697649846,3.0
133.68620445255715,1.0
-3060.6652236598966,1.0
-10470.388925968799,1.0
5694.045952312681,4.0
-7517.611412784086,4.0
11040.959300204564,3.0
11872.05034125171,4.0
10152.859535544063,4.0
-7127.511350725146,3.0
-11020.03432546015,1.0
5034.745716134099,4.0
-10578.027809877753,3.0
9021.633432821927,3.0
8406.276128862872,1.0
278.76665326555303,1.0
8026.2134060793005,4.0
6758.007200695988,2.0
-1742.2094198848172,4.0
8594.167566480068,3.0
8082.334098990295,4.0
-10557.429991132147,2.0
6943.199170499402,4.0
9244.221824454078,4.0
11191.36275667878,4.0
6735.662395158109,3.0
7358.825751417266,1.0
5162.883729185534,3.0
8336.795607308964,1.0
2286.2286628231523,1.0
9865.436773882437,2.0
5945.2864227698765,4.0
9483.486279094846,1.0
5602.926294863125,4.0
278.7240398223512,4.0
-3430.0447231433486,4.0
11411.257030759025,1.0
-13931.246226538718,1.0
2317.3674088288203,1.0
-13012.4128266551,1.0
6456.48340913016,3.0
8592.023239682687,4.0
9119.19420782378,3.0
-3219.7497230973618,1.0
2397.4886960786343,1.0
12706.676142674845,4.0
8538.243984216904,4.0
-5304.0038690836245,4.0
6508.104397677311,1.0
-3988.5053650855634,3.0
1615.289563760261,1.0
4415.3708165775615,4.0
8835.536156199285,3.0
-12044.882760781256,1.0
-10803.475381155049,4.0
9145.399011089045,2.0
-2099.7586157564037,4.0
10908.435183384005,3.0
9230.27621807873,1.0
8265.641815684608,4.0
305.3775326601158,4.0
-1121.5174551133005,2.0
-14952.84147696511,2.0
8888.239247329333,2.0
7487.523067365499,3.0
4515.458127579723,1.0
8050.305828954646,1.0
5618.28913955684,3.0
6956.717943621493,3.0
6583.677596505942,2.0
-620.8995594502067,4.0
-11346.419775309856,3.0
3724.3961245651662,1.0
-9060.6659610383,1.0
-46.94769175680585,4.0
11725.2630929413,4.0
6737.310521582071,1.0
5973.998567087952,2.0
-16592.641741688924,1.0
7158.139647361583,1.0
-4138.537774801963,4.0
3321.413222094924,1.0
3018.14040708269,1.0
4475.890759536209,1.0
11147.871202982484,1.0
1441.9820689004682,3.0
6551.4836993799645,3.0
1620.2932177768207,1.0
10490.31907460737,1.0
-7935.279643743057,2.0
7556.40197964511,2.0
-5977.4594084478085,1.0
-1740.9561587619555,3.0
-5542.375007229213,2.0
1121.4808871324694,4.0
-6385.0161249033035,2.0
-6364.392670408334,2.0
-3489.575487743361,4.0
3742.4638845146137,1.0
3074.8483730289317,1.0
9979.366507432815,4.0
5533.110744655713,3.0
9823.657636166303,4.0
6577.993484535516,2.0
5862.389109399181,4.0
-12961.286293817771,3.0
-5472.733050946317,1.0
-11683.999950984784,4.0
5717.610708694821,1.0
-3715.9043121376817,2.0
9022.569713096253,2.0
7454.575807808329,4.0
7252.301254713004,1.0
1852.4210790244092,3.0
-6870.356304760772,4.0
8391.760362137906,4.0
6847.52770746928,3.0
6412.894216880856,4.0
8870.213662638736,3.0
7670.251758343303,3.0
-5976.99592069722,1.0
9822.331382048487,3.0
251.9720410739011,3.0
7838.198811300018,4.0
7607.586528126605,3.0
-10442.107289919986,2.0
5973.1144832948485,3.0
8059.315437646961,2.0
7434.233084097896,3.0
-11164.433449379261,2.0
-13643.476062710735,3.0
-6236.080887995198,4.0
4556.775943447266,3.0
-5082.410795351803,3.0
-4846.802279973035,4.0
1733.2615248744532,1.0
7794.59885867859,4.0
-2882.2559700648762,4.0
7618.494851945778,4.0
7989.862394188702,4.0
10467.058148143093,4.0
-665.6656395489825,3.0
5703.648481241107,2.0
12897.941861335292,4.0
6198.907156404188,2.0
4765.62944373544,2.0
-417.3079182288602,4.0
4698.790899526368,2.0
8866.6447242677,3.0
4319.05438116593,3.0
-12724.567034007583,1.0
9073.126065666132,4.0
6161.213741594821,1.0
10039.369923039816,1.0
2388.7559046340807,3.0
12590.101266164136,3.0
7915.789277838121,4.0
7586.45869251623,1.0
6112.7044568915135,4.0
-3246.8731967855374,1.0
7436.861982458164,2.0
703.6219076785469,3.0
4942.809989075662,4.0
9312.85697172311,4.0
-1877.344038053828,3.0
9269.483474279728,4.0
5488.295282540343,2.0
3368.1419897828637,3.0
-157.8551157930233,4.0
7678.554938120668,4.0
7987.997339932555,2.0
12150.243029309464,4.0
-5377.862479842148,2.0
-2666.237016405783,3.0
5897.910726446902,1.0
-983.7813141476336,4.0
-435.6543169783067,2.0
9032.780831628706,3.0
12690.010366076172,4.0
-3161.132877840128,4.0
2792.1357979298477,1.0
11474.40249163262,4.0
3849.0873486862924,3.0
-33.29933319416159,3.0
5033.471644933827,3.0
-12814.203620430588,3.0
4952.2919849913815,1.0
-975.4984867252473,3.0
-7818.983440139923,1.0
1073.7321556439801,2.0
-1627.0950645948496,1.0
10549.055300465105,4.0
-11671.049231093994,1.0
-1513.3038836349542,4.0
-3711.083264287314,4.0
-11486.903560378165,1.0
6820.446495544705,3.0
11085.172442372808,4.0
8102.193124863867,1.0
9983.078550149316,2.0
8145.272323393514,3.0
11237.604917969898,4.0
