sal_5_lc2vs0_iate,nation
-43205.575097367444,1.0
-31612.74166475369,1.0
-46704.817711159296,2.0
-41128.92407936568,1.0
-37531.557321233915,1.0
-42429.73100793613,1.0
-43691.548086423696,1.0
-50601.829310322006,1.0
-45935.04049140933,1.0
-29397.00890420819,1.0
-57343.20286396248,1.0
-51738.06696872513,1.0
-40702.56896795514,2.0
-53151.73381818073,2.0
-39053.330592124854,4.0
-60802.72070355086,1.0
-54263.14238906717,1.0
-57446.850140371535,1.0
-37373.10408515264,1.0
-44766.04315102434,1.0
-43017.294075881364,1.0
-51423.391964083894,1.0
-55091.652510234344,2.0
-32015.384040561086,2.0
-63067.97220150838,3.0
-30165.02175256297,1.0
-45912.93807434887,4.0
-37297.45991755476,1.0
-59644.76009299832,1.0
-48355.985403433966,1.0
-59991.60497889083,1.0
-57282.54457584222,1.0
-30181.415629577557,2.0
-60647.179740427324,1.0
-50684.91417180546,1.0
-58311.41424339509,1.0
-55829.148877668675,1.0
-52540.70581406061,1.0
-49873.17072216083,1.0
-55452.761735022206,3.0
-53720.306714589475,1.0
-46053.34056726598,1.0
-33465.08709001107,1.0
-28640.639015597197,1.0
-40979.83910366209,1.0
-58761.55175783551,1.0
-37635.01504533409,1.0
-40445.1419957479,1.0
-56010.16579163025,1.0
-31371.930982226473,1.0
-39124.4370569916,1.0
-47561.61514914325,1.0
-30805.77045990318,1.0
-55044.67172263587,1.0
-40328.820057502526,1.0
-42607.318233895465,1.0
-39224.513650440786,1.0
-35137.02375118504,1.0
-36393.256550058104,1.0
-54237.667060171036,1.0
-49732.246937498494,1.0
-52571.790250361984,4.0
-34133.02854636857,1.0
-38342.94759502422,1.0
-39793.675739769,1.0
-54171.79131030962,4.0
-35186.12318212549,1.0
-59041.6502330114,5.0
-37383.6398892759,1.0
-36567.176838289386,1.0
-43423.63358862846,1.0
-29488.608618845297,1.0
-51786.95643444762,2.0
-28728.021933360615,1.0
-44026.75767679905,1.0
-32310.802899377093,2.0
-41383.61880264395,2.0
-40783.699530575796,1.0
-59604.95862828419,4.0
-42211.67720078374,2.0
-36491.598242943364,1.0
-35541.4186364126,1.0
-55644.27422154048,1.0
-42164.90732020772,1.0
-48644.24264766915,1.0
-37035.66293959229,1.0
-29520.778104798494,2.0
-60175.80177226868,1.0
-40467.35927284875,3.0
-35694.25849234307,1.0
-62535.5720954726,1.0
-55810.86372258664,5.0
-29325.89070938416,1.0
-58109.17368147272,1.0
-39350.130190372285,1.0
-53335.49326033819,1.0
-29183.764188705376,1.0
-58296.14480818972,5.0
-30173.239978544316,3.0
-44573.750430446555,1.0
-44590.831254360586,1.0
-39354.374449837094,1.0
-30920.91867421205,4.0
-40902.81547857897,1.0
-33722.02366983726,1.0
-28854.573966013377,2.0
-48790.761352679554,2.0
-60781.196168725975,1.0
-52932.13723819622,1.0
-43769.29207097237,2.0
-41164.99230156542,1.0
-33156.33508692235,1.0
-37313.19816950017,1.0
-29603.666016667157,2.0
-55182.83919534911,5.0
-38453.14354407356,1.0
-35437.71948990795,2.0
-52922.93532643164,2.0
-57302.37074731577,1.0
-57058.1761482939,1.0
-50129.63850371418,1.0
-42082.858450893786,2.0
-54230.424815575636,1.0
-37387.5785147757,1.0
-42078.48440957941,1.0
-56017.17949018752,1.0
-32836.279766912296,1.0
-28102.446351187573,1.0
-52988.10257254014,1.0
-34396.28496183982,1.0
-42145.32242601464,1.0
-32948.94718686836,2.0
-41277.73494444862,1.0
-31640.075481812386,1.0
-43250.48640211301,1.0
-42544.2053776624,1.0
-62501.94591845115,1.0
-47980.29364726345,1.0
-53438.377904608744,1.0
-29290.476062290163,1.0
-40546.710595450146,1.0
-38466.564150677725,1.0
-58702.82115932193,1.0
-58480.35948481484,1.0
-43224.34900652067,1.0
-36467.44082863019,4.0
-31234.721557889618,1.0
-57692.2191531752,1.0
-58933.429036826215,1.0
-43052.079457583815,1.0
-36144.89034667432,1.0
-42214.54912260525,1.0
-55598.190261799464,4.0
-60489.820082307764,1.0
-43678.24247446909,1.0
-31059.280225307033,1.0
-41466.58461700556,1.0
-30396.022349913856,1.0
-28635.090241840837,1.0
-38522.59997101303,1.0
-59679.207332003585,1.0
-52001.59498246189,1.0
-43279.976685717025,1.0
-55735.579058566946,1.0
-32517.952751827776,1.0
-60948.49754062819,1.0
-57910.79032323443,1.0
-60047.05667860758,1.0
-44375.274649755076,1.0
-41835.65035885676,1.0
-32099.662672253806,1.0
-40572.73983736985,2.0
-34874.36897592294,1.0
-47894.74336803074,1.0
-30640.564736759137,4.0
-55694.53685918315,1.0
-46928.419750739704,1.0
-29451.477646693093,2.0
-53387.2926030589,1.0
-49018.378567729254,1.0
-34647.489120397804,1.0
-36416.55378650219,1.0
-28602.969904015903,1.0
-40356.53827605245,1.0
-32861.93896005655,1.0
-51773.38234393599,1.0
-52914.134541173975,1.0
-46610.17439979459,1.0
-42091.33639710627,1.0
-30901.25374034355,1.0
-42254.26043688933,1.0
-54559.34706519151,2.0
-48434.188882046095,1.0
-41089.78652528753,1.0
-57994.803080189304,1.0
-45271.04561853029,1.0
-59000.98318400991,1.0
-44551.60134630702,1.0
-30699.257014785835,1.0
-40867.407607107816,4.0
-42890.84254643809,1.0
-56053.220023682836,3.0
-29172.57395128511,1.0
-30911.275691296134,1.0
-46553.30568968046,1.0
-43091.510091269876,1.0
-52589.69361914155,1.0
-33073.934661387924,2.0
-40211.809132907656,1.0
-46709.67457756543,1.0
-41235.67204959024,2.0
-57446.30800250353,2.0
-44978.97043082993,1.0
-42441.75253404424,1.0
-39111.03979245308,2.0
-51023.83075267968,5.0
-49158.68133972831,1.0
-53444.65370381455,1.0
-31211.562510322357,1.0
-57197.768549515924,1.0
-37638.24378512871,4.0
-56827.72270338197,1.0
-51702.140276086866,2.0
-61536.27535225736,1.0
-47661.78979147467,2.0
-41538.310929720974,1.0
-38724.72872240059,1.0
-28345.34405806085,1.0
-35423.81633280586,1.0
-29489.681943211075,5.0
-32283.70054510025,1.0
-36648.904079690066,1.0
-40183.8112355442,2.0
-54739.494656630384,1.0
-40804.43216133442,1.0
-30865.740233437988,1.0
-49137.74947826976,2.0
-30770.33991342102,1.0
-57221.720096307996,1.0
-48374.752544266186,1.0
-39472.80878213661,1.0
-30113.647786057812,1.0
-43678.168887176675,1.0
-30492.88979396741,1.0
-62394.962290977186,1.0
-32844.58450105405,1.0
-53778.402417827136,1.0
-29416.97331835586,1.0
-51640.03909077295,2.0
-38100.54585587649,1.0
-38716.86419690672,1.0
-47432.51331535808,1.0
-52590.755146406475,4.0
-55283.71172597821,1.0
-57588.0175394682,1.0
-40835.42107034305,5.0
-56230.997156075886,1.0
-32108.687433816194,1.0
-41665.96768080083,1.0
-37091.895350255145,4.0
-55393.85574817416,1.0
-39768.27373576281,1.0
-59654.66018840205,1.0
-54862.47144879312,1.0
-35904.919956558624,5.0
-53188.78302240845,2.0
-52179.4785917725,1.0
-47839.017962302605,2.0
-39661.335889040995,4.0
-36504.93909631015,1.0
-34944.140136400194,2.0
-33154.1693532854,1.0
-52792.358715127586,5.0
-29592.551486973047,1.0
-53809.2910297924,2.0
-55000.2768898955,1.0
-29516.09798359116,1.0
-55981.956006518194,1.0
-50112.936006178934,1.0
-29259.307018205003,1.0
-45002.17922186604,2.0
-54754.7027833786,1.0
-34389.54761327584,2.0
-49723.4364518629,1.0
-52768.1673290622,1.0
-42425.58400365441,1.0
-37570.21938458023,4.0
-28472.308416532305,2.0
-30114.880036727518,1.0
-40323.382812038064,2.0
-57457.67453208958,1.0
-59261.76396676236,4.0
-31544.546256429418,1.0
-59340.20684653721,2.0
-46655.08680652478,1.0
-59855.99484700586,1.0
-43940.46728764572,1.0
-33448.758327223804,1.0
-28547.111844440024,2.0
-40628.025873931634,1.0
-40179.49948740159,2.0
-40004.44462582783,2.0
-48605.05193896657,1.0
-32800.47844276104,3.0
-61458.45340528108,2.0
-37926.99866039834,1.0
-59312.741641132416,1.0
-30095.31346054504,1.0
-57081.62389825001,1.0
-53924.9432359274,1.0
-39714.15294658809,1.0
-39060.71759872597,1.0
-58091.291094483706,1.0
-46598.446418889675,1.0
-41357.419881096386,1.0
-38398.87458567514,1.0
-51214.274847945955,1.0
-38786.03791666984,1.0
-59321.105338665424,1.0
-29570.952444463488,3.0
-55278.103360590016,1.0
-32423.41376551493,1.0
-36423.93983286583,1.0
-45907.26079526348,1.0
-31291.63266771402,1.0
-60198.040457002586,1.0
-40463.4296919785,3.0
-59170.14352073849,1.0
-50604.24959689607,1.0
-44454.15328465455,4.0
-37169.72063225992,3.0
-61624.87148928823,1.0
-55297.115788342126,2.0
-56503.24917597134,1.0
-29661.295179314067,1.0
-57106.71227553868,1.0
-56878.68832367925,1.0
-62571.09028741787,4.0
-56824.61751413417,1.0
-32566.676156568567,1.0
-33087.65492750659,1.0
-41098.876448567375,2.0
-46416.10675486471,1.0
-34942.599213359346,1.0
-42136.37532263064,1.0
-29012.46081650983,1.0
-39411.25071214297,1.0
-40957.55190465215,1.0
-57931.4702327622,1.0
-61133.07143552332,1.0
-56754.89757311215,1.0
-34126.764463420506,2.0
-33723.452751928635,1.0
-52684.48111925079,3.0
-45743.34077222516,1.0
-42614.01679202673,1.0
-62348.68389286651,1.0
-61345.427192399635,1.0
-32775.027344966446,1.0
-34644.23233149899,1.0
-56913.95208181525,1.0
-40279.27318815654,1.0
-40308.256563922165,4.0
-50900.75793288994,1.0
-29745.72295111011,1.0
-43208.85033972498,1.0
-43809.04564549462,1.0
-55601.23466366978,3.0
-28562.791957960697,4.0
-43297.01656956543,3.0
-47598.614053236524,5.0
-29651.551457340523,1.0
-35573.98099352649,1.0
-42278.20123251068,1.0
-46459.70596401504,2.0
-61886.60003349921,1.0
-35385.3304859285,1.0
-42261.630529210066,1.0
-56073.20737384665,1.0
-35270.43753358656,1.0
-32460.124632256735,1.0
-58329.696420916334,5.0
-30617.744754724474,1.0
-42660.842742513356,1.0
-35435.117614879746,4.0
-32998.25278978597,1.0
-58870.24593319163,1.0
-51848.76994035659,1.0
-57414.95878929569,1.0
-47305.49116749143,1.0
-42089.09539758311,1.0
-55194.444349652826,2.0
-46491.523419242614,3.0
-30868.435195398994,1.0
-59230.896315726604,1.0
-56816.90861544682,1.0
-45936.893478505124,1.0
-29588.14626187977,1.0
-33122.61379781825,5.0
-41891.34139270513,2.0
-57241.86872776687,4.0
-60133.12793348129,1.0
-30941.967418355238,1.0
-38298.63214125367,1.0
-45031.077418078254,1.0
-43397.4289647315,1.0
-42228.12389730721,2.0
-29314.08739513091,1.0
-55655.827195942155,3.0
-34376.63965992061,1.0
-40606.59001563627,1.0
-59826.695383703816,1.0
-39496.92660681013,1.0
-45716.90820735856,2.0
-52742.22828010362,1.0
-51881.19746850149,1.0
-37831.01415456553,1.0
-38020.9462169527,4.0
-37580.57730498747,1.0
-58794.90444650003,1.0
-47451.81512729968,1.0
-41770.478032521496,1.0
-46278.75026657763,1.0
-58291.966797193396,1.0
-47262.224216189206,1.0
-44256.194867907914,1.0
-57903.44619185267,1.0
-38280.594791170275,1.0
-59422.3113879769,1.0
-54857.44537705304,1.0
-56003.39030603291,1.0
-51332.15384342345,1.0
-60777.23570885285,5.0
-31415.223924911697,1.0
-45730.64164606569,5.0
-40036.08581669844,1.0
-45114.4542843823,1.0
-30122.887076611783,1.0
-45178.811044988644,1.0
-33757.78722655882,4.0
-33700.9849804248,2.0
-41095.35207475719,1.0
-54689.02754297521,4.0
-39457.97726596416,1.0
-44567.62244716339,1.0
-36914.39809055797,1.0
-35011.368470435744,2.0
-53385.72789583863,1.0
-34876.738905298465,1.0
-30655.33798489353,4.0
-29867.495367373915,2.0
-52104.693431448126,1.0
-34682.2095932011,1.0
-54070.98478063929,1.0
-49395.5452714828,1.0
-60099.912775303485,3.0
-43845.32770523433,1.0
-40656.284383220125,1.0
-46687.10991851188,3.0
-39894.49989854714,1.0
-49314.688127778354,2.0
-31195.148221065814,1.0
-29055.13214266577,1.0
-52862.599872880724,1.0
-59393.538316733386,4.0
-30459.958614468356,4.0
-58158.16200888911,1.0
-54455.542640374726,2.0
-28132.514864401997,1.0
-31163.95477265943,1.0
-43714.69913804914,1.0
-45993.05718947068,5.0
-46755.33933842633,1.0
-32791.070628040936,4.0
-57489.66640325301,1.0
-42284.26966539349,1.0
-57751.52469971366,1.0
-50986.28904637742,2.0
-38496.39904388262,2.0
-40086.35243170708,1.0
-54428.811015913714,1.0
-29801.022876045037,1.0
-31213.482376492735,1.0
-45941.11600332495,1.0
-51617.38637578163,1.0
-55590.842434643535,2.0
-31379.39160853366,1.0
-38738.03472557543,1.0
-61140.48238111929,1.0
-38647.62468337738,1.0
-43856.843645898785,1.0
-35628.290294684266,1.0
-52543.06059409766,1.0
-37094.95714940418,1.0
-41676.931625074736,1.0
-46944.84741815773,2.0
-30055.926715542595,2.0
-41027.86296014085,1.0
-50079.776211411474,1.0
-31848.898251873336,1.0
-52286.541703258925,2.0
-40570.06607990937,2.0
-57524.15774742741,1.0
-41211.92979070471,3.0
-33262.86617186158,1.0
-59255.3123572071,1.0
-54904.80673709672,4.0
-41626.57440455166,1.0
-48027.338548099375,3.0
-42495.74152248328,1.0
-44293.91420560164,1.0
-63136.40417358858,1.0
-37863.55387913956,1.0
-59784.522197168066,1.0
-44364.715989204466,2.0
-58695.71432177103,1.0
-40152.7479599348,1.0
-33643.26433914254,2.0
-41529.60729493818,1.0
-57764.258900834575,2.0
-40063.10147741955,5.0
-31061.252274238363,1.0
-60311.01127834335,1.0
-32428.56126342717,1.0
-41411.46207904068,1.0
-46290.91424731545,1.0
-34554.43641083324,1.0
-28181.581083253626,1.0
-52919.598128372534,1.0
-37694.94209062123,1.0
-35633.601543700075,4.0
-54163.35228722531,1.0
-56327.62741445499,1.0
-56603.248297797145,2.0
