sal_avg_lc2vs0_iate,unem_x0
-15864.205970432164,23.0
-23079.448995073464,16.0
-29980.728530193803,4.0
-24688.088857980358,8.0
-31388.185946603175,22.0
-20256.99488073739,20.0
-22349.18153309972,2.0
-26320.581606197768,20.0
-20451.587675426443,22.0
-29148.24776182525,13.0
-38144.07840543258,11.0
-34420.33433947743,21.0
-34014.21011732534,7.0
-25751.841320138214,15.0
-19017.880398452955,23.0
-37529.31505820888,14.0
-19002.558243310148,7.0
-35221.078551990446,19.0
-22080.246827442385,14.0
-40477.26435406655,12.0
-32631.565265711703,22.0
-19029.637836701866,24.0
-25133.88863809759,16.0
-35685.88729597314,22.0
-32132.181345698245,13.0
-35658.35592889748,23.0
-32906.85495893863,2.0
-20027.126965255993,23.0
-16803.655804456095,21.0
-37532.45800406931,2.0
-22628.976207526175,3.0
-34450.50266845961,12.0
-23602.634960387208,23.0
-30033.768250542795,10.0
-22920.06735976659,23.0
-31118.17147493957,9.0
-28262.537217533867,2.0
-31267.820384304137,5.0
-27346.607552115333,7.0
-27840.617332642338,23.0
-21286.91925297545,7.0
-35554.09421811897,10.0
-25175.513159132886,19.0
-29945.455455607786,12.0
-39743.946746744026,19.0
-28561.97126563842,3.0
-37970.696472985794,12.0
-20797.493768935372,4.0
-16587.560257676156,16.0
-32467.551917727505,10.0
-16797.45793660828,13.0
-36442.701887527655,21.0
-22117.836148699236,18.0
-31444.208516263105,2.0
-26732.55288146377,3.0
-22716.21258301172,20.0
-40530.335543376525,24.0
-22488.577185024587,20.0
-24790.52119555723,1.0
-30140.401536619498,21.0
-22918.038176249705,13.0
-19354.2682377322,19.0
-36142.39037368832,14.0
-20393.140922095776,17.0
-22293.437439738034,1.0
-31295.082571578598,22.0
-20101.573967742443,8.0
-19162.339039629573,8.0
-19787.295356166607,4.0
-22906.174107165858,10.0
-21052.519176178295,6.0
-38808.083536728314,23.0
-29810.166558622735,1.0
-22473.918470213837,18.0
-33507.6777368417,14.0
-31829.88030844733,8.0
-25237.679579268894,19.0
-23104.06811251522,16.0
-22081.196016998805,19.0
-37979.59917015616,2.0
-34995.76349042947,10.0
-35589.45086212165,0.0
-20697.770723661884,16.0
-32505.44856494393,2.0
-21932.254878575317,23.0
-23593.643836757004,12.0
-16964.106502578437,20.0
-40543.480172651165,5.0
-19312.650246493686,14.0
-27796.37787547359,2.0
-27500.613598387805,14.0
-24554.776336625437,12.0
-32520.850206108233,11.0
-16824.3416484617,20.0
-32587.980088671226,10.0
-33517.881293729515,13.0
-26051.360891609707,17.0
-23858.333984706318,7.0
-18213.954066905673,10.0
-25018.62057182721,2.0
-31973.254868333148,17.0
-35597.44858835732,2.0
-30801.491600067886,9.0
-18517.99639929902,12.0
-19336.999958295182,12.0
-35771.97619704387,13.0
-28047.425979227,12.0
-26816.526757330066,13.0
-23052.68690393554,12.0
-41541.860191256535,22.0
-21184.673942052552,11.0
-31321.40901921955,18.0
-21758.202718630913,9.0
-28290.439951831286,19.0
-31379.829617112973,17.0
-17740.478161094485,11.0
-25219.908194808293,12.0
-22698.61776282266,10.0
-23497.426577564478,23.0
-36416.25610045083,10.0
-28089.385360127693,21.0
-32292.973612899194,14.0
-39394.277618404754,10.0
-27800.13499521257,11.0
-24117.97214953949,2.0
-24164.365092577507,23.0
-41387.434144411345,10.0
-22229.331040858433,20.0
-30129.40381875647,4.0
-23602.031188310528,18.0
-19842.36749894056,10.0
-29278.500201664618,21.0
-32732.50450526743,18.0
-19273.658504711166,11.0
-18726.105606477242,12.0
-27787.11607748128,3.0
-31757.031939499524,14.0
-36728.32676921324,20.0
-44654.11089912646,15.0
-18697.986172396817,23.0
-31167.304647128407,17.0
-19442.441566890473,11.0
-39858.75207249119,4.0
-25402.61090019598,24.0
-29231.153979537186,2.0
-28908.49115848022,3.0
-40519.35153550848,23.0
-19653.81535104702,7.0
-25598.366306086395,21.0
-18027.883660542495,1.0
-37025.31401092086,19.0
-18331.479572558477,20.0
-19665.172037170156,19.0
-42559.25047957989,15.0
-17812.705321016252,13.0
-24253.10511009582,14.0
-24088.1410603907,10.0
-29746.65807414698,17.0
-20911.549837833976,15.0
-21205.737461221564,22.0
-38413.41338272876,1.0
-30563.87614973414,18.0
-17554.9509269246,8.0
-34304.465791764655,19.0
-23598.64687781509,20.0
-37357.06098449345,13.0
-23786.07286480303,6.0
-37441.53275477267,17.0
-29253.647334505702,8.0
-25974.53942217344,14.0
-32316.80527833054,20.0
-21683.76475825447,7.0
-37214.43664300066,6.0
-34602.88070396159,18.0
-23168.017431625478,7.0
-21328.45391613416,14.0
-25073.88161590329,17.0
-30601.33798280394,15.0
-22358.930546578857,21.0
-34188.16782354881,23.0
-17291.565221853918,6.0
-25834.296744942858,20.0
-24794.078522268366,0.0
-18195.18159293482,14.0
-17328.869973385146,17.0
-36748.74001598495,21.0
-28816.127718355285,15.0
-19039.280325354077,14.0
-36592.66537880285,0.0
-37130.54561675689,19.0
-35748.54504375991,12.0
-32501.547797038635,3.0
-31887.030123000695,23.0
-25226.93569279217,16.0
-23638.719747154588,0.0
-38832.42820858671,15.0
-22084.45835536208,21.0
-21570.77928100913,24.0
-31469.93285184954,20.0
-16926.357318548322,1.0
-23083.903104272493,24.0
-37431.29219190116,21.0
-24142.751975698626,16.0
-16690.67322528664,22.0
-21969.360259825906,23.0
-28995.06476366699,19.0
-23057.162443222216,22.0
-26329.64820450552,23.0
-25869.66374554422,15.0
-22542.011865353765,22.0
-30503.0544679717,0.0
-26203.10556731477,8.0
-40877.115106566765,13.0
-27355.037119983746,20.0
-32674.86237774603,21.0
-33217.92480987256,17.0
-34690.533563177974,15.0
-31756.19366389672,16.0
-34319.58507517743,7.0
-34699.65862414087,5.0
-17477.27769969989,17.0
-31696.072052589032,10.0
-21364.054902770997,12.0
-21955.069615738226,5.0
-27557.185066960483,0.0
-28729.399092337353,19.0
-19361.13564400986,6.0
-32020.01821738414,20.0
-23840.055069581882,3.0
-20989.6723995314,23.0
-24357.044343944595,9.0
-26315.156063357786,11.0
-32904.38262366894,12.0
-28327.448307467395,23.0
-16741.062737124732,20.0
-34913.4243953576,18.0
-31324.465814273106,23.0
-24643.352065466468,6.0
-34167.82833060961,6.0
-26266.789805814446,15.0
-40553.43342052563,14.0
-39023.01614091758,22.0
-36567.2246080028,20.0
-23045.762129317056,11.0
-27610.435096710058,24.0
-25269.50389083322,17.0
-33901.52563773919,16.0
-35525.09039154211,16.0
-19869.859132097088,9.0
-43880.42596083478,1.0
-17493.64347227204,22.0
-26581.1086796325,23.0
-22466.61351013029,5.0
-35441.21780563553,23.0
-32655.39258897854,19.0
-37242.50323138517,18.0
-38585.44062505931,18.0
-19131.326591545007,10.0
-43380.470754980095,4.0
-32880.425182940824,21.0
-40802.2467422669,9.0
-38771.48167544647,13.0
-34235.08868136223,10.0
-30164.551624088344,19.0
-37257.14820319899,23.0
-34096.64847562288,9.0
-28572.0951926436,9.0
-20031.704229482773,5.0
-17498.706842812084,16.0
-28519.303670002693,15.0
-40461.72755278963,2.0
-22179.27617083556,19.0
-24200.7903589361,15.0
-33315.88489321414,5.0
-20152.968965099077,23.0
-23593.033576900758,17.0
-28760.500778879352,6.0
-19935.48908363587,14.0
-33934.29700068016,5.0
-23567.84862945768,24.0
-23697.814544547284,23.0
-24488.300297774043,15.0
-20015.435117656016,17.0
-23286.965548322056,14.0
-32805.474930274606,7.0
-31607.855194685333,12.0
-34124.521260430665,2.0
-23723.76176099517,18.0
-23422.412450932483,7.0
-25040.277629889293,19.0
-33284.63070269166,11.0
-20922.173926357034,2.0
-37974.99419453096,13.0
-22996.786836439438,4.0
-25194.30986287372,18.0
-26495.608471545682,8.0
-18967.243459742313,5.0
-32906.52791241366,20.0
-15595.923276975818,22.0
-26006.708949388463,17.0
-19949.88646185769,3.0
-24149.701223659205,20.0
-28827.057227093566,4.0
-37558.16132703054,15.0
-23615.794395418707,8.0
-22903.99275995343,18.0
-23971.32061310987,2.0
-34951.024234676224,5.0
-24856.34655788912,14.0
-30712.495340904294,24.0
-22083.471784304882,9.0
-16280.555911134583,20.0
-38690.193023618616,23.0
-24820.84939391016,11.0
-22265.50085643446,4.0
-39643.53726013872,17.0
-32386.712739364208,15.0
-18149.42113489645,24.0
-34614.620138708335,11.0
-22935.569703250032,3.0
-31917.765575666468,24.0
-17131.56329754962,14.0
-36592.81123959896,15.0
-17667.16735614381,15.0
-27048.647871332203,6.0
-28336.851488953493,12.0
-24592.207608266577,16.0
-19188.704671069718,15.0
-25142.454828780526,18.0
-21452.201741686025,6.0
-15914.020896727834,14.0
-27092.73638242851,11.0
-36393.784425947335,4.0
-34847.00440868997,13.0
-26545.55701991854,10.0
-23739.77530190979,17.0
-22342.753090209582,6.0
-21275.32834713556,21.0
-17776.011586303943,20.0
-32699.23994713073,10.0
-25787.331841825657,1.0
-21089.134052159174,22.0
-36801.13288991453,19.0
-35213.37167934694,22.0
-33118.46824460874,8.0
-29700.447818946992,19.0
-26215.04794754248,12.0
-31888.81380557554,24.0
-25475.709768191155,1.0
-24141.145470035863,11.0
-35775.20049015316,17.0
-18902.993821136508,10.0
-16498.136481589532,17.0
-31760.081319548146,2.0
-24126.41647285673,2.0
-25498.990501211236,20.0
-21843.888044807143,7.0
-27028.79672183872,12.0
-19560.943119344756,17.0
-25950.31117585249,22.0
-24903.76837979076,23.0
-40442.09411025612,2.0
-31096.71863844701,6.0
-33587.2382435644,15.0
-18177.856802325783,20.0
-23490.06897353833,12.0
-26609.487556364522,11.0
-35306.99695054395,18.0
-38560.36890862882,14.0
-25321.20725820155,2.0
-23043.52428684503,14.0
-18908.34259162932,11.0
-35490.4424064608,6.0
-37977.53488233023,18.0
-24447.743496203802,20.0
-23505.04920923013,5.0
-28725.56654503194,21.0
-36703.234259337114,0.0
-36384.350482469665,4.0
-25417.081983871292,15.0
-18544.258397917438,12.0
-24935.78975201024,15.0
-19358.182194575453,5.0
-16426.5108327767,7.0
-25996.728331803366,14.0
-36927.85309459378,21.0
-30611.639949824807,6.0
-25568.94558702049,4.0
-34975.04214417301,20.0
-18758.109270040353,10.0
-43304.84816584768,21.0
-36733.58645941966,9.0
-39748.17998963261,8.0
-30517.587392638077,7.0
-26544.745542719662,8.0
-18989.965225829103,1.0
-24818.528811764227,18.0
-22585.015880196923,14.0
-31550.863171574838,19.0
-17951.441319244936,17.0
-34144.85211126547,6.0
-27017.131212758766,6.0
-17043.06104528744,8.0
-34028.115807072536,11.0
-29824.88655264509,11.0
-21235.875460348274,14.0
-22176.50218317831,4.0
-15904.44685903991,11.0
-22958.127842095495,20.0
-18733.46404638364,21.0
-32207.338668108023,2.0
-36009.74527077329,1.0
-31639.333201395566,19.0
-25169.201853262286,5.0
-17778.667904258196,18.0
-25022.198493973305,10.0
-32416.170940516007,22.0
-29447.473777423453,8.0
-23264.26479889019,10.0
-35071.65277572242,10.0
-26695.416927939208,10.0
-38356.629369519316,1.0
-25771.744349390792,6.0
-18148.49067014993,2.0
-22333.40851996324,11.0
-23878.4024652924,2.0
-36709.10323187383,17.0
-19294.667248390626,5.0
-18540.288144167203,5.0
-27078.281493816943,6.0
-24037.370747841,4.0
-30892.279915720494,14.0
-20574.30290901512,5.0
-25201.827761626504,20.0
-27192.524957671863,18.0
-23949.49444181974,9.0
-35599.96907882359,22.0
-31764.019001848894,15.0
-29621.59405036147,18.0
-23284.375768833925,7.0
-31843.55922078922,4.0
-30769.202166434865,4.0
-32399.530318657948,17.0
-18372.518807606146,4.0
-33599.303275693834,1.0
-21705.979241546498,21.0
-34867.05946818067,2.0
-30283.4558606422,2.0
-43261.47993795763,16.0
-27860.107649001126,8.0
-25197.338633762047,5.0
-22823.397315127004,3.0
-17606.142662566857,16.0
-22109.89856912088,16.0
-17764.925590821793,3.0
-20662.413122158636,10.0
-23438.198454366193,4.0
-22656.497988404994,0.0
-38704.82620848698,16.0
-25440.857558524986,15.0
-21118.264241824643,9.0
-29144.521505761124,9.0
-18262.089882403656,10.0
-35929.86243840441,7.0
-30066.96727066627,21.0
-23401.004957723293,9.0
-18497.271669617312,3.0
-28273.462207719225,9.0
-18162.636717321187,15.0
-40117.49429852633,6.0
-18328.48944784974,22.0
-32820.65764115315,7.0
-16398.487351958804,14.0
-30742.770082801864,2.0
-25389.62277019666,16.0
-25223.664968641486,23.0
-31947.951263903073,15.0
-33669.34742476268,15.0
-34779.40833901757,22.0
-36526.891716926286,18.0
-23569.855811048485,21.0
-32123.124701590936,2.0
-18103.84014331036,2.0
-23648.603685584792,6.0
-24458.11718485281,3.0
-33883.288565926196,7.0
-25956.281980164025,22.0
-37302.68016504716,8.0
