sal_6_lc1vs0_iate,emplx1_4
4786.872201996116,2.0
4937.874934741649,2.0
4491.1529504964365,3.0
-2632.953400414731,2.0
6295.935285934218,2.0
-2279.5498801757126,1.0
1765.0500781177966,2.0
4688.2744782647505,2.0
-638.9576443182386,2.0
960.9896371314953,2.0
-18236.03144106409,2.0
5589.539260932188,2.0
5523.929928554506,1.0
3044.660019174613,2.0
5738.071236309974,2.0
9723.306466737919,2.0
1567.0815830057522,2.0
-12953.701944487842,1.0
-2652.6528730746454,2.0
-7147.628432542682,2.0
-13012.106493399759,2.0
2818.2069071708634,2.0
-10446.08072625975,1.0
7484.3362878081425,2.0
7563.904390672156,2.0
6552.785888706552,3.0
-10088.094938680852,2.0
-9757.948007938514,2.0
2674.71503644095,2.0
-13536.185591746455,2.0
5272.717361686054,1.0
3624.9324330982417,2.0
-1790.5499210627895,2.0
4450.627062331363,2.0
3305.5147837330796,2.0
-4952.949111954733,1.0
3856.2134153104744,2.0
4582.272173993857,1.0
-13022.853196914615,2.0
3274.938842368805,2.0
6440.2186368125,2.0
6379.1694440535975,2.0
3022.208913924105,2.0
3647.860432091442,1.0
1213.3476412751952,2.0
4472.067582299371,1.0
-625.4468351277974,2.0
5087.5501253890525,1.0
3653.5182546119486,2.0
5794.630189021962,2.0
2954.959111921853,2.0
-3515.2100849879753,2.0
-5258.800008628911,2.0
7920.117367699964,1.0
-16237.205064735477,1.0
-1484.8822309506904,2.0
-17442.095032407662,1.0
2721.4020784109853,3.0
4197.474641707155,2.0
6680.9684430676425,2.0
-4404.343353272665,2.0
-100.26183126314459,2.0
8645.319146987422,3.0
5775.252323229994,1.0
-7801.850264728623,2.0
3311.4756508859937,1.0
-5269.406740862253,1.0
-2103.465159099962,2.0
1423.408359394517,2.0
4441.066818808057,2.0
-12212.603364041406,2.0
-14710.221032450838,2.0
5124.652344713599,1.0
-5095.864270302011,2.0
6891.059756759707,1.0
5808.817652304402,2.0
4665.370645478131,1.0
-1910.6901316000233,2.0
-2736.7668394826387,3.0
-16919.385068870564,1.0
6132.771242077291,1.0
4588.3405217631735,3.0
-151.8382505368927,2.0
4569.512182941551,2.0
1688.386174043886,1.0
3296.7419693332304,2.0
3392.7007231362218,2.0
-2851.7181784269014,1.0
-11597.630430945095,2.0
-768.0156106042305,2.0
-12207.421863217567,1.0
-1153.9752578158336,2.0
6904.169317361218,2.0
4069.2872177568606,2.0
3090.1067243680372,2.0
-19985.985395021125,1.0
3112.800600554565,1.0
-8072.731749132865,1.0
656.5945063531723,2.0
-1372.943665715262,1.0
1792.73632958477,1.0
6065.6464192528765,2.0
-2464.685386153289,2.0
3195.0308217386373,3.0
-665.6062343062113,2.0
6736.237288929911,1.0
-11077.76233821836,1.0
3716.3082070790533,2.0
-6644.117470081756,2.0
-5866.20075913652,1.0
-7181.167611531336,2.0
-2199.7969671853807,2.0
-8887.181049766528,2.0
-9770.4546985524,2.0
-6294.066371884856,1.0
159.15938019624286,1.0
-363.8276380789266,2.0
5281.933527274859,2.0
2420.6234099556304,2.0
