empl_chge_lc2vs0_iate,school
-1.9376496207548197,10.0
-2.238960356800459,10.0
-1.8585970665202245,10.0
-1.410617367783847,10.0
-1.3836025531647245,12.0
-2.052424475709446,10.0
-2.065700065711724,8.0
-2.0620953962890276,10.0
-1.8259478400722136,10.0
-2.0366692107262065,9.0
-1.1314351738716761,10.0
-2.0293050506635963,10.0
-1.8413723261506325,9.0
-2.0074398579806503,8.0
-2.4153632431323193,10.0
-1.5658822012922855,12.0
-2.4325452666157776,9.0
-1.6502813734014006,10.0
-1.6797697940982528,10.0
-1.0406366745532112,12.0
-1.1145505971045704,9.0
-2.262544255721852,9.0
-1.554666642353807,9.0
-1.376268746056748,12.0
-1.8113572275301342,12.0
-1.581501086672156,12.0
-0.6408259925741845,10.0
-1.3374769793853838,9.0
-2.237900305453701,9.0
-1.2825541338960904,10.0
-2.0348101491532136,10.0
-1.6459665259415144,12.0
-2.121881014624725,8.0
-1.6808991920914487,9.0
-2.061767815162848,10.0
-1.6117188850588486,10.0
-1.8737097584909477,10.0
-1.5959364354087606,10.0
-0.8507978145837756,10.0
-1.9135449977946033,8.0
-1.9129149557318414,12.0
-1.7106883914395463,12.0
-1.8468575616695153,9.0
-1.9945782009518185,9.0
-1.0251735052807986,12.0
-1.7672017184575124,12.0
-1.1519851152125784,12.0
-1.7408799977510574,12.0
-2.253994033450608,9.0
-1.3687491155658338,12.0
-2.277920524900105,9.0
-1.0191933357095952,10.0
-1.450149391332401,9.0
-1.5643637043905876,12.0
-0.8405310189723075,9.0
-2.1706116044989394,9.0
-1.3329324771486222,10.0
-2.204664209712405,10.0
-1.9286433938952237,10.0
-1.5000179160083675,12.0
-1.5308085697942326,10.0
-2.333426190305067,8.0
-1.5782936100076532,12.0
-1.8451354636893933,12.0
-1.605040105173947,8.0
-1.9148739783014328,10.0
-1.2893269968006988,10.0
-2.2047242125017923,8.0
-2.4001684279765207,8.0
-1.6525794664768756,10.0
-1.1502744492133226,9.0
-1.4922317990635463,10.0
-1.7457575394127933,10.0
-1.1128527948353741,10.0
-1.505255386022944,12.0
-1.7344016022005901,10.0
-2.0645279200216593,10.0
-1.7889196800039517,10.0
-1.5461513043231399,12.0
-1.0448444891495237,10.0
-1.6617126529447623,10.0
-1.6259150177996613,12.0
-2.04978471516278,10.0
-2.0047233898024794,10.0
-2.219585469838362,8.0
-2.16420707599502,9.0
-1.742638396890885,10.0
-1.4385835911093787,10.0
-0.7298880763773091,9.0
-1.678977303408725,9.0
-1.089430794211483,10.0
-1.6414300397571653,10.0
-1.5393671461219818,12.0
-2.1803461627265506,10.0
-2.1089497168040863,10.0
-1.2937821012776523,9.0
-1.9707171130389955,12.0
-1.6389660156096832,9.0
-2.441161982225367,9.0
-1.8741834074541075,10.0
-1.7604017152773368,10.0
-1.487061793881637,12.0
-1.315100976504008,10.0
-2.176721304054731,10.0
-2.3541551141476065,9.0
-1.8374290723290063,12.0
-1.3276992324464099,9.0
-1.935837810233064,10.0
-1.308546189569201,10.0
-1.670104198419995,10.0
-1.8172095337994303,8.0
-1.4048415956334352,10.0
-1.2985644387148743,10.0
-1.1254947783305786,10.0
-1.4016071805600592,9.0
-1.6849309972104758,10.0
-2.0461293994498075,10.0
-2.3223642530685984,10.0
