sal_8_lc2vs0_iate,empl_x0
-10640.602832549695,43.0
-19197.80689807979,76.0
-13239.5388726667,55.0
-7698.705860482627,34.0
-8403.83715808361,32.0
-16925.87742997753,70.0
-15443.853765018848,63.0
-26489.770039860963,42.0
-32439.39309977882,69.0
-9836.64184116644,55.0
-17787.756900753466,92.0
-17199.62035261083,94.0
-28787.398711471516,90.0
-13611.636933011727,91.0
-8788.609005349892,88.0
-11707.752520868713,94.0
-28420.892329321316,76.0
-9017.434527057594,102.0
-12893.257218505933,76.0
-7726.069504399047,76.0
-21685.039040158696,53.0
-7890.740356703595,46.0
-7962.82577193678,99.0
-27077.96469273285,70.0
-7457.032934422474,78.0
-14298.479671744848,61.0
-10487.060358118482,89.0
-17149.425189867266,77.0
-13012.514226093313,93.0
-8866.169842147421,15.0
-21995.158342164395,54.0
-11290.039315053966,40.0
-7097.7064944668355,40.0
-18993.60723190813,87.0
-8388.517453040646,80.0
-22343.058481445547,44.0
-6146.817396132015,81.0
-21872.97693888677,96.0
-11145.459436193058,48.0
-10301.771338755809,24.0
-16830.29204857134,50.0
-12785.061973985477,91.0
-19173.380694941086,49.0
-19362.225473852606,56.0
-6088.104218178562,98.0
-9421.5776810159,53.0
-15276.869349586428,69.0
-14599.630791879737,65.0
-14156.733629994702,42.0
-14877.666594340306,91.0
-10112.261997573736,51.0
-13807.378141663183,54.0
-10901.512399812742,45.0
-10117.611447563946,36.0
-6599.896309034922,39.0
-16542.21625910188,76.0
-20199.75050525751,62.0
-10267.98156749343,30.0
-19153.81749064121,111.0
-20288.308055710193,74.0
-18895.14909662037,52.0
-15272.051621049512,100.0
-21392.667758497722,55.0
-17938.086812944384,89.0
-8430.203278028921,58.0
-23031.391593886434,43.0
-12745.25270896825,78.0
-10165.819450001158,38.0
-15900.627311473432,76.0
-8645.217809161126,70.0
-12984.767214183812,36.0
-22678.644256130694,42.0
-12553.461600753013,91.0
-7870.456317975895,60.0
-12354.101538333134,65.0
-15447.242214867216,70.0
-13091.270947482402,52.0
-20604.331757102816,75.0
-14024.604376438143,63.0
-13260.948915050805,87.0
-21352.24126047085,116.0
-14395.630409975365,80.0
-30349.750470750543,85.0
-12881.34391852099,73.0
-16578.238141267084,55.0
-19154.371446922938,81.0
-18229.152669806608,71.0
-15018.185347042197,100.0
-17301.961461203464,44.0
-23990.89839345229,55.0
-11056.504685815651,80.0
-16597.818338926856,90.0
-11770.202353452189,92.0
-13838.215397875067,110.0
-6466.339078840418,103.0
-18629.132361764947,87.0
-8669.234615590054,79.0
-23406.980721640513,78.0
-8639.964150338925,46.0
-6714.189602891527,45.0
-9544.328491507049,79.0
-11776.856009782197,63.0
-21263.35448351017,49.0
-14058.71011971784,55.0
-7546.583991201441,44.0
-16113.173700043419,79.0
-15881.890649145667,25.0
-12718.397934185294,71.0
-20185.887087490624,103.0
-17150.097886081716,91.0
-24757.70677391385,62.0
-29798.1994017042,65.0
-20384.863617014908,42.0
-12441.459563333276,69.0
-14798.931008320036,61.0
-9610.36008692729,64.0
-23187.07038385429,61.0
-22331.207273767563,33.0
-9488.747891050549,92.0
-30179.34676331887,65.0
-7244.082698264069,24.0
-9150.788263097837,60.0
-11799.152527468794,36.0
-16268.658613314294,64.0
-22380.22357793032,82.0
-21604.923596258795,48.0
-29719.8336962935,49.0
-12973.449497856618,89.0
-33493.5908172367,58.0
-18522.337818062115,54.0
-30993.655052159418,85.0
-29504.763230067532,86.0
-19224.5650513492,98.0
-13642.899254681619,64.0
-26183.787181146203,59.0
-19651.465173731063,44.0
-15427.758841724504,83.0
