sal_3_lc2vs0_iate,school
-16923.173348648626,10.0
-24425.473765904528,10.0
-26813.287085257885,10.0
-22971.782494882864,10.0
-30434.83555095693,12.0
-19014.31388860634,10.0
-21135.67245243467,8.0
-25064.60173021705,10.0
-18954.104150514177,10.0
-28194.13986779473,9.0
-32883.70415135079,10.0
-33020.416928181774,10.0
-32525.985681458304,9.0
-24633.58062771205,8.0
-20572.52381512164,10.0
-36636.6903340174,12.0
-17555.501491280273,9.0
-31485.7504858642,10.0
-20536.656198922283,10.0
-34848.43624643609,12.0
-33140.767210530285,9.0
-18915.670724752326,9.0
-22444.743926233212,9.0
-34698.07604360116,12.0
-32747.73627490861,12.0
-33888.49367149004,12.0
-29580.82900453663,10.0
-18323.126237372606,9.0
-17354.599964247187,9.0
-33587.9778927639,10.0
-23930.00487642102,10.0
-33918.897065245284,12.0
-24064.91024048072,8.0
-28599.879285158982,9.0
-22617.403866011686,10.0
-26760.31266227669,10.0
-28523.977503210084,10.0
-29689.342175152316,10.0
-24333.95942132083,10.0
-28051.683729842272,8.0
-20966.314051829286,12.0
-35107.40302738761,12.0
-24718.746705674734,9.0
-31007.018614486842,9.0
-38360.34580953767,12.0
-28311.669884017916,12.0
-37669.5838600071,12.0
-21405.66834304331,12.0
-16592.66641353112,9.0
-33450.55204961363,12.0
-17471.262165722364,9.0
-37137.58397309229,10.0
-21923.28151397136,9.0
-30828.706224825466,12.0
-24667.25379337976,9.0
-22678.739160996673,9.0
-35174.5575322707,10.0
-21545.54046553262,10.0
-24649.531248491527,10.0
-28022.864246839476,12.0
-20967.77655245453,10.0
-17746.153195591804,8.0
-36497.637017913316,12.0
-19097.233467196864,12.0
-21976.8759579138,8.0
-30872.56225774072,10.0
-18090.64426215939,10.0
-18841.164299183558,8.0
-19190.06217292416,8.0
-23247.02813776976,10.0
-20057.75509093124,9.0
-34324.00352331811,10.0
-30511.08580526404,10.0
-20522.356083726438,10.0
-32702.98119694244,12.0
-32789.47459294546,10.0
-24186.536804600983,10.0
-20651.164790592382,10.0
-19574.44515829937,12.0
-32075.655113101515,10.0
-34314.58282534281,10.0
-33689.62955848127,12.0
-21713.102529466618,10.0
-33391.29639365126,10.0
-22682.842654112552,8.0
-23359.659945902673,9.0
-17068.21834018603,10.0
-36442.229534095844,10.0
-18486.329863221203,9.0
-29583.80895821537,9.0
-24546.72731624168,10.0
-22186.848326690073,10.0
-31323.29892592713,12.0
-17505.222360101052,10.0
-31281.448169565963,10.0
-30257.350231226086,9.0
-25417.13148371489,12.0
-23066.809739908032,9.0
-17799.08467886717,9.0
-25778.00329100289,10.0
-31088.555894776062,10.0
-33800.56112386,12.0
-30599.72179447142,10.0
-20439.390652365517,10.0
-17926.37132732393,9.0
-32943.38421643246,12.0
-26887.64688985982,9.0
-26564.720933012642,10.0
-20654.138881536433,10.0
-36278.01584106205,10.0
-21975.87834698413,8.0
-30453.1153566327,10.0
-18908.661945263597,10.0
-25756.086927994722,10.0
-30013.166586930267,9.0
-18257.33008407926,10.0
-25420.590041746465,10.0
-22795.421936469542,10.0
-23598.70477967346,9.0
-35458.500697813426,12.0
-28563.96539222388,9.0
-31389.168392071217,10.0
-32726.425778772715,10.0
-23790.595898569143,10.0
-21951.301017329617,9.0
-24760.87626305456,10.0
-37401.671524043486,10.0
-23291.046996115707,10.0
-30701.015848488394,9.0
-24998.339483950564,10.0
-18884.64620914324,8.0
-25854.595764480502,10.0
-31753.981217445173,9.0
-19820.114339558066,10.0
-18714.02159538571,9.0
-25824.891686391118,12.0
-30891.02630385872,10.0
-32517.257835531134,10.0
-39701.48808272249,12.0
-18332.385908992903,10.0
-29960.59051524253,10.0
-17214.417108557696,10.0
-36177.21990484433,10.0
-24064.981167414146,10.0
-31483.828814994045,10.0
-30162.954272328545,9.0
-36096.88669638837,10.0
-18946.93057809726,8.0
-24654.12932456362,9.0
-19127.74131979531,9.0
-35416.210125972655,9.0
-18360.483591662036,9.0
-20193.058521134684,9.0
-38773.718847551965,12.0
-18346.801972787172,9.0
-22925.397760155975,10.0
-23612.941060778496,10.0
-27084.62480941761,12.0
-19544.370185633954,10.0
-21612.916693745232,9.0
-36245.84104163987,12.0
-30708.29626534351,9.0
-18087.91944276189,10.0
-32588.29256137771,10.0
-24075.31144021464,9.0
-34431.980609668724,12.0
-24945.022223528184,9.0
-35738.794172507995,10.0
-29829.82285947381,10.0
-25560.539285567524,10.0
-31348.484334438082,12.0
-20102.51836018442,9.0
-35755.371781015245,12.0
-31908.34682108796,10.0
-25091.551018122253,12.0
-21055.652617838212,8.0
-23451.37691214538,10.0
-29645.84121627949,10.0
-20331.57674173922,12.0
-33535.83693452503,12.0
-17144.5185199138,12.0
-24333.642118877295,9.0
-24547.32795343499,10.0
-17781.544533139466,12.0
-17830.439309417983,8.0
-36997.98661784583,10.0
-25549.84617822826,10.0
-18708.846126364027,12.0
-35646.02708737519,12.0
-36189.52141627112,10.0
-35348.293767616306,10.0
-32317.171788398613,10.0
-28416.038780262257,10.0
-22077.09522599433,12.0
-24272.11555946,10.0
-35895.650794437795,12.0
-20214.25218821059,9.0
-21162.219640713432,9.0
-30421.344664350225,12.0
-17237.179368172707,8.0
-21499.8958458932,10.0
-35510.55803274134,12.0
-22771.00928279478,8.0
-17097.446051477575,10.0
-21102.678430620097,10.0
-27016.19319630818,9.0
-22164.976634809034,10.0
-21926.192002733384,12.0
-24613.07288095734,12.0
-20531.701269762496,9.0
-27324.084388646414,10.0
-24893.070591976724,9.0
-35750.85661902303,10.0
-27086.356262313962,10.0
-31085.743779489003,12.0
-30626.44640636173,12.0
-32781.754479188356,10.0
-31675.75371245665,9.0
-33663.00143266491,12.0
-31041.79998028763,12.0
-16745.512149227485,9.0
-30640.41143761223,8.0
-20823.8755131891,10.0
-19549.932057223206,9.0
-29797.840426244828,9.0
-25809.52601585966,9.0
-18709.879957023677,9.0
-27892.109518381105,10.0
-24164.13680054403,10.0
-22015.582534858564,10.0
-24910.612177961928,10.0
-25406.288421787558,8.0
-30373.69424405735,12.0
-26988.13078437454,8.0
-17464.494334746716,10.0
-34460.94807325474,12.0
-30988.152019308494,12.0
-23970.6487537145,12.0
-31985.358947790006,10.0
-23528.637807394865,12.0
-38117.85813081161,12.0
-33383.29993965699,12.0
-34491.91812520511,10.0
-22318.37595455294,12.0
-26069.482645152628,10.0
-25057.60636625397,9.0
-30368.075630981584,10.0
-32634.073303459474,12.0
-18990.538380956346,9.0
-39946.58721678271,12.0
-17537.941676490216,8.0
-26505.52960404988,9.0
-22234.9160753933,12.0
-35433.735188455816,12.0
-29567.645790209153,12.0
-35782.64398638405,9.0
-33435.42393450406,10.0
-17840.292864884108,12.0
-37274.69177229203,12.0
-30679.660249045675,10.0
-34625.41364244597,10.0
-34390.48633066505,12.0
-31416.785164022316,8.0
-29435.291334807676,8.0
-33339.70336822906,12.0
-31814.91025452126,10.0
-26950.879503691038,12.0
-20366.525781711352,12.0
-17174.956261311127,12.0
-24272.51603163423,12.0
-36588.38879520891,12.0
-22104.767551239252,10.0
-23600.16177110964,12.0
-33402.1808908954,10.0
-18866.582853646392,10.0
-22947.10300683109,9.0
-27752.04361280307,12.0
-18297.921126128917,10.0
-32310.822045203637,10.0
-23365.730143646266,10.0
-24999.166856664837,8.0
-23659.257069095675,9.0
-20464.090225289638,9.0
-21838.591538077693,9.0
-32441.47437344666,12.0
-28922.36208082393,10.0
-31723.86211433229,10.0
-20507.161596865335,12.0
-22783.62581428657,12.0
-23763.657567541224,12.0
-32227.19155332949,10.0
-21122.76992230839,9.0
-35081.349376147,12.0
-21836.653574841046,9.0
-22385.37324564329,10.0
-25825.130051571978,9.0
-17825.749641771978,12.0
-30800.53468096065,10.0
-17254.086518439184,10.0
-25771.497528337895,10.0
-19029.88867844396,8.0
-24368.141695497754,9.0
-24495.5477164298,10.0
-35956.93471216934,12.0
-24649.072283847454,10.0
-21603.46430553527,10.0
-21256.253510462528,10.0
-33729.56457735936,12.0
-24351.426271325334,9.0
-28832.732047616475,12.0
-21397.157010313982,8.0
-17138.225312247334,9.0
-36054.39024772825,10.0
-23254.55299189582,9.0
-21390.001458619976,12.0
-37354.89894325769,10.0
-33791.64059710041,9.0
