sal_9_lc2vs0_iate,earnx1_1
5002.12072535216,1549.1580758266812
2333.694370181294,1475.9064529252903
-1209.4361386853727,2671.3347622139872
1357.126032102096,2070.486133058548
1025.8153641810868,0.0
4789.808420354146,2120.8005597532747
3201.729492317505,1959.9964981363337
-4368.087100133629,3733.200125228008
11094.893192672818,1501.1242125642875
-1903.0311055453167,3712.9038072832977
8861.516269349662,2580.299544770664
4080.4617919035745,2298.969824534019
-5950.799700368052,2605.6331838149085
4277.838024626774,2868.918457971652
6878.863381604721,1100.5237176381502
-2881.178959967005,3457.868092949245
-644.4257154004176,2932.952300939904
1624.9946608007785,0.0
739.453801854524,3429.599686014731
-44.405003966874574,1363.157206884121
4275.757134578092,2491.1540151333866
8360.842670058159,2458.8105466931734
5222.381513106283,1280.4564222257372
-42.40001203765405,1822.2694030563405
8256.698733975945,2648.4651330558936
9301.694395929615,1330.523012865002
773.8190272034471,1109.073498085804
-14506.009908279198,0.0
9931.912652049274,1040.9854683268186
-2525.9902713693446,3375.111239910248
10116.426817603979,2256.6761343381168
3491.6324704941144,1088.9569963009378
-1428.6926293557478,2101.8826279759915
-120.30409285974656,2922.6920753497475
3862.583789802544,1098.098919727341
11528.290075061966,2658.720180542776
-4208.4926714595895,1735.8635401361632
2056.8822033795195,2565.979050803489
6797.155406089764,2580.2430514783778
5182.713542345606,2269.326671054471
7105.144165192007,2988.3449030281204
5640.774558769839,2926.352708622714
6837.773151095449,1656.9668157502415
-2291.258945573389,1185.29257909185
-1954.9941951851579,2892.394261218089
-3493.1502872143737,2898.060653869544
-8178.688951978636,2247.57545370684
7337.963313576706,2797.596202168861
4439.089933903569,2054.8811400561094
9704.149133723502,2125.5948580242884
1385.3333354925655,0.0
2232.0061498816412,1823.4769355731064
-16222.076400892178,4576.667663366543
5614.275349358474,1937.9905733786456
-8328.94742855412,2012.4395810246483
8923.193960557835,2266.775220166556
202.98277484125128,3376.269681781312
-1445.2495489232033,0.0
7483.990396266965,1934.8633830363883
3170.023595509796,1847.02780749385
-5800.975892878386,3743.6260656507934
6560.162855797693,0.0
1165.5810024671764,0.0
2417.1618459071224,2272.735535486183
6848.366504668422,1749.154526526684
-955.0086573138396,3798.966210965002
-12881.037013264679,4726.73458536472
4940.759875921211,1065.9889780311769
7766.198153790139,2541.6250195557504
5979.843681212924,2737.659376064515
1447.8418517706214,2264.341359165937
6358.504916062309,1460.3918285034094
-732.663985973199,3183.985128028573
-3597.1608908981166,1509.2359688023903
558.1333711594327,2780.0863987117823
-17924.72944744666,3208.425649457337
-821.8832392083327,2874.830200301056
-7565.013080276265,1399.1693103228804
3102.898646807644,2218.1951144260447
-405.5050323726573,1544.3983974863472
7861.079960150175,2552.010557712314
30.534360228567948,2413.4398504418905
6622.969936511583,1803.63616460996
-498.93278577500814,3206.1615613270333
6151.197634162008,1775.391068166778
10396.17862338941,2656.036299580716
4755.672188231007,1991.770157794339
1283.5063704811746,3306.5223626054944
-3358.680895159322,3432.4328796897616
-1903.6280669545886,2891.250180528053
-4931.958321867742,3068.997105346932
2983.9704667949895,2166.8850339406235
-3604.485973955432,1052.403487199976
