empl_chge_lc1vs0_iate,emplx2_2
0.19348226718683503,2.0
-0.6561314834979083,2.0
-0.84494281868543,2.0
0.945692841418351,2.0
-1.0064907230465774,2.0
0.5348488850662148,2.0
-0.17750663801513133,2.0
-0.5012945001812743,1.0
0.5140829216959502,2.0
0.28396070907677595,2.0
1.3832264855414242,2.0
-0.8769711535691751,2.0
-0.20315471068873964,2.0
-0.30900037196505603,2.0
-0.6885925620519506,2.0
-1.2742951940684368,2.0
-0.013785470693807866,2.0
0.7669310625337044,2.0
0.6112494780097184,1.0
0.6735771192693415,2.0
1.0389574174377803,2.0
-0.13201401606238844,3.0
1.759654190162267,1.0
-1.1551552381266537,2.0
-1.2779368405702924,2.0
-1.2282012228479373,2.0
1.1030083464080185,2.0
2.2366299789057447,2.0
-0.19474240830381317,2.0
0.7004783076462677,1.0
-0.5795729727442487,2.0
-0.7740850018451025,2.0
0.2556931532509614,1.0
-0.7456553522870846,2.0
-0.37347974753997915,2.0
0.7769388974168199,2.0
-0.7652187664344375,2.0
-0.07621465039704661,2.0
1.5318977829809315,2.0
-0.4464310376354319,2.0
-0.5853448782456725,2.0
-1.28401740963856,1.0
-0.21566380838760535,2.0
-0.4340267573781114,2.0
-0.31346775306921404,2.0
-0.44239693323754126,2.0
-0.20932286758749127,2.0
-0.6587384725625713,2.0
-0.07349412323191945,2.0
-0.9997574944937051,2.0
-0.254379047303225,2.0
0.2857753351560003,2.0
0.9832261792628562,2.0
-0.8006883604148183,2.0
1.646412659587566,3.0
0.020150261832001526,2.0
1.322590485712704,2.0
-0.16830086380884582,1.0
-0.5839209503821947,2.0
-0.8265403245508942,2.0
1.7509948299627835,1.0
0.16046801893791363,2.0
-1.187653762339714,2.0
-0.24389060410859928,2.0
1.1272153546722774,2.0
-0.02258445740998727,2.0
1.2120198316363247,2.0
0.3463006888629179,2.0
-0.11837925775810193,2.0
-0.5247772229501366,2.0
2.079864172086026,2.0
0.39544014428129354,2.0
-0.4196759849535544,1.0
1.1524337334662893,2.0
-1.1521166745290445,2.0
