sal_5_lc1vs0_iate,school
-2481.9990918268495,10.0
-1430.2026846162762,10.0
-4489.066068861717,10.0
-11449.086047238936,10.0
-2621.9158112681944,12.0
-9307.768394496368,10.0
-3663.882554510728,8.0
-2922.2717433481994,10.0
-8681.341162061635,10.0
-6274.984713808693,9.0
-23050.036448475887,10.0
-4468.773777198032,10.0
-1791.544694904027,9.0
-4944.384089321699,8.0
-985.7288185997254,10.0
-332.9000730049629,12.0
-3128.5858267013637,9.0
-20174.249270295943,10.0
-9694.514652801749,10.0
-15482.65631253578,12.0
-16864.316977723323,9.0
-3854.6605514252133,9.0
-15512.063404353617,9.0
-737.5592811277274,12.0
-3907.2066466053657,12.0
-3121.7491029205485,12.0
-15304.32706086959,10.0
-13543.905380875236,9.0
-2648.5947456058148,9.0
-17866.57769455155,10.0
-2403.451674007315,10.0
-6434.73448281351,12.0
-8296.69576024561,8.0
-5509.827570719333,9.0
-4641.313601073668,10.0
-11752.237241047436,10.0
-4379.075625140769,10.0
-3376.3762733938984,10.0
-18070.252683228307,10.0
-3868.6695721607903,8.0
-2411.7559709667385,12.0
-2800.2412569148146,12.0
-4610.403673240824,9.0
-3839.2066885664553,9.0
-13850.616232426319,12.0
-3205.912961450713,12.0
-13405.433064226892,12.0
-1393.8747596588864,12.0
-3827.2478162996267,9.0
-3340.8646766977945,12.0
-3220.8614755280187,9.0
-18159.677478107253,10.0
-11768.15836671055,9.0
-601.8838962788832,12.0
-19723.8513584647,9.0
-5725.515170755169,9.0
-20073.777211113367,10.0
-4066.4327409611055,10.0
-3625.4468209149654,10.0
-1856.2438022488477,12.0
-12507.116191895593,10.0
-5499.508275093274,8.0
-2988.3278667493832,12.0
-2417.048462230993,12.0
-13423.154585586632,8.0
-4529.740101638286,10.0
-12385.393034090346,10.0
-7667.121295823748,8.0
-4271.361729465954,8.0
-4112.1976155222665,10.0
-15459.894259582992,9.0
-15491.075196322374,10.0
-2381.7882978653433,10.0
-11096.739581289625,10.0
-1727.2109991136676,12.0
-2921.828590101006,10.0
-3254.8992132057465,10.0
-10556.837650846033,10.0
-10455.722659357674,12.0
-20661.927004180106,10.0
-1423.1313431016351,10.0
-3351.387528416253,12.0
-5120.885342422156,10.0
-5935.030731679892,10.0
-4976.0319035312405,8.0
-3968.682633044399,9.0
-3634.456463656472,10.0
-9066.127307525749,10.0
-15018.688640553491,9.0
-8111.284690909317,9.0
-17642.50484838362,10.0
-10839.494059506758,10.0
-1867.112092734591,12.0
-3010.58230744502,10.0
-6071.455601997541,10.0
-21320.914805274697,9.0
-1710.138748034251,12.0
-12414.134823481707,9.0
-3599.0447080056374,9.0
-5926.637928848386,10.0
-5718.414619240622,10.0
-2509.7359093447667,12.0
-13663.1771612767,10.0
-4033.978686479327,10.0
-5100.974057773645,9.0
-2192.726906782671,12.0
-15263.631141748427,9.0
-3386.1423112113425,10.0
-12195.480706996037,10.0
-14172.420734003885,10.0
-14439.967598591506,8.0
-9048.159561008595,10.0
-13926.822995011875,10.0
-13700.278418759126,10.0
-12333.05242406501,9.0
-3675.057545060019,10.0
-5367.654395430776,10.0
138.4776854907468,10.0
-4687.764581692623,9.0
-1270.997471406965,12.0
-6269.418312184018,9.0
-4233.027892930539,10.0
-22212.101919735465,10.0
-13084.67588178134,10.0
-17165.329435814063,9.0
-2912.170621465182,10.0
-13504.384406074629,10.0
-3268.6385958975497,10.0
-3091.9152833653443,9.0
-3990.25896334791,10.0
-4787.805977663429,8.0
-13083.954220749194,10.0
-1282.4598854414908,9.0
-2866.3517518214044,10.0
-3235.3814262391174,9.0
-2167.875516107175,12.0
-5316.7737462200985,10.0
-19438.058438510867,10.0
-4579.149770817781,12.0
-9358.890585744632,10.0
-5203.818795432897,10.0
-3787.595076680779,10.0
-18966.873058341105,10.0
-4401.41584603144,10.0
-4131.751212488023,10.0
-4634.892212804394,9.0
-25827.080229285075,10.0
-16014.769338234188,8.0
-14562.973671890468,9.0
-3461.479854856258,9.0
-16302.53504056557,9.0
-9524.583472066335,9.0
-7341.373915371651,9.0
-7954.488198774543,12.0
-9140.948460039317,9.0
-2648.63698183188,10.0
-3812.09534316147,10.0
-3109.927187189409,12.0
-11121.07401745646,10.0
-2995.358495047498,9.0
1170.1312156810236,12.0
-3029.91906506361,9.0
-2758.081931164009,10.0
-18156.34535903604,10.0
-4643.473547032025,9.0
-1223.8552101226778,12.0
-5688.846360649893,9.0
-23838.634134453827,10.0
-3865.639866280335,10.0
-5035.879839467418,10.0
-2856.2286010098796,12.0
-5936.4591529422805,9.0
1549.8746490409649,12.0
-5037.703809441773,10.0
-2457.791259170148,12.0
-3744.4134273431137,8.0
-11780.249925911903,10.0
-5208.740962084879,10.0
-8283.285950736947,12.0
-9420.056949572649,12.0
-1351.4954124650162,12.0
-12359.355770980193,9.0
-1921.5972709595062,10.0
-3396.3153520985184,12.0
-2523.1013173419956,8.0
-19680.119143043317,10.0
-3662.9788562026733,10.0
-1813.8284066994177,12.0
-1929.4502405485655,12.0
-18473.376925254204,10.0
-10235.55657615969,10.0
-4467.038205499357,10.0
-10216.100215415927,10.0
-10398.435339800724,12.0
-1977.3450391388687,10.0
-371.8095684415348,12.0
-11178.479565200749,9.0
-4848.809083663544,9.0
-1455.7608402893638,12.0
-3504.6534266163035,8.0
-10608.856670115681,10.0
-14842.137517069898,12.0
-19043.144660105587,8.0
-3940.0068283597766,10.0
-11089.839073897609,10.0
-16045.222243166478,9.0
-8872.668920638253,10.0
-8764.232361529641,12.0
-744.5201364443092,12.0
-15853.751076890274,9.0
-13269.777642340361,10.0
-12175.955955306577,9.0
-20438.03779952736,10.0
-4208.2072426075065,10.0
-2088.049357156826,12.0
-3072.7941787421114,12.0
-3007.1361696807653,10.0
-4247.789874483329,9.0
394.90865578222656,12.0
-6220.286097535742,12.0
-2533.4913310290403,9.0
-4629.908943759723,8.0
-3580.119740847034,10.0
-15179.331531589365,9.0
-5250.554192597281,9.0
-19824.48843790569,9.0
-13961.771413975295,9.0
-15679.964204096266,10.0
-2473.6644484802437,10.0
-2549.048403292869,10.0
-4808.15456737716,10.0
-6112.866546040383,8.0
-2054.054733363866,12.0
-4116.815076209841,8.0
-4667.85781356056,10.0
-687.7678721856246,12.0
-1572.4739265848293,12.0
-2229.9449051810197,12.0
-17912.271224062046,10.0
-10959.5875081798,12.0
-13438.2518203146,12.0
-5765.292613450059,12.0
-1882.0292594248676,10.0
-1394.986552865009,12.0
-2766.4287728552717,10.0
-8227.80630448794,9.0
