sal_9_lc2vs0_iate,emplx2_4
5002.12072535216,2.0
2333.694370181294,2.0
-1209.4361386853727,2.0
1357.126032102096,2.0
1025.8153641810868,2.0
4789.808420354146,2.0
3201.729492317505,2.0
-4368.087100133629,2.0
11094.893192672818,2.0
-1903.0311055453167,2.0
8861.516269349662,2.0
4080.4617919035745,2.0
-5950.799700368052,2.0
4277.838024626774,2.0
6878.863381604721,2.0
-2881.178959967005,2.0
-644.4257154004176,2.0
1624.9946608007785,2.0
739.453801854524,2.0
-44.405003966874574,2.0
4275.757134578092,3.0
8360.842670058159,2.0
5222.381513106283,2.0
-42.40001203765405,2.0
8256.698733975945,2.0
9301.694395929615,2.0
773.8190272034471,2.0
-14506.009908279198,2.0
9931.912652049274,2.0
-2525.9902713693446,2.0
10116.426817603979,2.0
3491.6324704941144,2.0
-1428.6926293557478,2.0
-120.30409285974656,2.0
3862.583789802544,2.0
11528.290075061966,2.0
-4208.4926714595895,2.0
2056.8822033795195,2.0
6797.155406089764,2.0
5182.713542345606,2.0
7105.144165192007,2.0
5640.774558769839,2.0
6837.773151095449,1.0
-2291.258945573389,2.0
-1954.9941951851579,2.0
-3493.1502872143737,2.0
-8178.688951978636,2.0
7337.963313576706,2.0
4439.089933903569,2.0
9704.149133723502,2.0
1385.3333354925655,2.0
2232.0061498816412,2.0
-16222.076400892178,2.0
5614.275349358474,2.0
-8328.94742855412,2.0
8923.193960557835,2.0
202.98277484125128,2.0
-1445.2495489232033,2.0
7483.990396266965,2.0
3170.023595509796,2.0
-5800.975892878386,2.0
6560.162855797693,2.0
1165.5810024671764,2.0
2417.1618459071224,2.0
6848.366504668422,2.0
-955.0086573138396,2.0
-12881.037013264679,2.0
4940.759875921211,2.0
7766.198153790139,2.0
5979.843681212924,2.0
1447.8418517706214,1.0
6358.504916062309,2.0
-732.663985973199,2.0
-3597.1608908981166,2.0
558.1333711594327,1.0
-17924.72944744666,2.0
-821.8832392083327,2.0
-7565.013080276265,2.0
3102.898646807644,2.0
-405.5050323726573,2.0
7861.079960150175,2.0
30.534360228567948,2.0
6622.969936511583,2.0
-498.93278577500814,2.0
6151.197634162008,2.0
10396.17862338941,1.0
4755.672188231007,2.0
1283.5063704811746,2.0
