empl_chge_lc2vs0_iate,emplx1_4
-1.9376496207548197,2.0
-2.238960356800459,2.0
-1.8585970665202245,3.0
-1.410617367783847,2.0
-1.3836025531647245,2.0
-2.052424475709446,1.0
-2.065700065711724,2.0
-2.0620953962890276,2.0
-1.8259478400722136,2.0
-2.0366692107262065,2.0
-1.1314351738716761,2.0
-2.0293050506635963,2.0
-1.8413723261506325,1.0
-2.0074398579806503,2.0
-2.4153632431323193,2.0
-1.5658822012922855,2.0
-2.4325452666157776,2.0
-1.6502813734014006,1.0
-1.6797697940982528,2.0
-1.0406366745532112,2.0
-1.1145505971045704,2.0
-2.262544255721852,2.0
-1.554666642353807,1.0
-1.376268746056748,2.0
-1.8113572275301342,2.0
-1.581501086672156,3.0
-0.6408259925741845,2.0
-1.3374769793853838,2.0
-2.237900305453701,2.0
-1.2825541338960904,2.0
-2.0348101491532136,1.0
-1.6459665259415144,2.0
-2.121881014624725,2.0
-1.6808991920914487,2.0
-2.061767815162848,2.0
-1.6117188850588486,1.0
-1.8737097584909477,2.0
-1.5959364354087606,1.0
-0.8507978145837756,2.0
-1.9135449977946033,2.0
-1.9129149557318414,2.0
-1.7106883914395463,2.0
-1.8468575616695153,2.0
-1.9945782009518185,1.0
-1.0251735052807986,2.0
-1.7672017184575124,1.0
-1.1519851152125784,2.0
-1.7408799977510574,1.0
-2.253994033450608,2.0
-1.3687491155658338,2.0
-2.277920524900105,2.0
-1.0191933357095952,2.0
-1.450149391332401,2.0
-1.5643637043905876,1.0
-0.8405310189723075,1.0
-2.1706116044989394,2.0
-1.3329324771486222,1.0
-2.204664209712405,3.0
-1.9286433938952237,2.0
-1.5000179160083675,2.0
-1.5308085697942326,2.0
-2.333426190305067,2.0
-1.5782936100076532,3.0
-1.8451354636893933,1.0
-1.605040105173947,2.0
-1.9148739783014328,1.0
-1.2893269968006988,1.0
-2.2047242125017923,2.0
-2.4001684279765207,2.0
-1.6525794664768756,2.0
-1.1502744492133226,2.0
-1.4922317990635463,2.0
-1.7457575394127933,1.0
-1.1128527948353741,2.0
-1.505255386022944,1.0
-1.7344016022005901,2.0
-2.0645279200216593,1.0
-1.7889196800039517,2.0
-1.5461513043231399,3.0
-1.0448444891495237,1.0
-1.6617126529447623,1.0
-1.6259150177996613,3.0
