sal_avg_lc1vs0_iate,olf_x0
-463.513496485008,56.0
-1847.6121512813597,85.0
-3666.724739464621,51.0
-8612.12307443159,54.0
-2932.6937992341063,38.0
-5665.001479048336,28.0
-3441.4558967006274,83.0
-2838.081801430035,52.0
-5190.987333464111,12.0
-6679.015808655396,39.0
-21088.555720797518,14.0
-5050.337640104915,71.0
-4330.400558687103,41.0
-4328.147398870946,51.0
-227.3310448535001,62.0
-3114.3760810520707,17.0
-2435.8406409209138,67.0
-16801.22053844198,1.0
-6820.418310267503,16.0
-13760.996006129913,31.0
-18046.204079078827,54.0
-2321.9146750212035,40.0
-13241.46132851449,6.0
-3071.19154952596,56.0
-3206.1550970958815,44.0
-4154.286240049651,47.0
-15006.888634045421,26.0
-12021.335593992317,59.0
-2070.3202580666493,63.0
-18397.95356272177,15.0
-1889.9598735848053,59.0
-6092.692729795937,38.0
-7701.838036392345,32.0
-4284.474753541315,57.0
-3070.9207159497064,27.0
-10186.839265724966,33.0
-4058.7263050805213,57.0
-4234.555661910751,21.0
-14841.704162924554,42.0
-4721.648946031489,18.0
-146.3326538080487,68.0
-4296.263003798102,30.0
-3968.027247398873,41.0
-5487.076290863111,30.0
-10821.706583671672,37.0
-3549.0933660013325,26.0
-11176.520391528746,2.0
-396.6216945757328,75.0
-1308.7933614894812,33.0
-4321.738163391496,40.0
-1679.3250543333627,75.0
-13825.385441420818,37.0
-9705.903919529803,34.0
-1941.5600032764141,71.0
-17026.261987989732,12.0
-5681.74233304389,75.0
-20707.033050715305,49.0
-2715.2386861927325,33.0
-2681.99010470236,57.0
-2220.630708743636,71.0
-8836.78346681875,54.0
-4080.6812910874987,35.0
-3567.75067401295,9.0
-61.33569109278403,24.0
-11229.120037878332,14.0
-5514.657729756766,81.0
-8119.786103787981,47.0
-5653.523153591791,31.0
-3021.041312560856,38.0
-2202.385252410415,44.0
-13711.86613623781,23.0
-18989.89525567234,26.0
-3881.4391296977374,63.0
-8124.260113193132,41.0
-3051.0709837098966,69.0
-4554.147313564168,55.0
-2590.3474344504575,29.0
-6908.662810779986,7.0
