empl_chge_lc1vs0_iate,nation
0.19348226718683503,1.0
-0.6561314834979083,1.0
-0.84494281868543,1.0
0.945692841418351,1.0
-1.0064907230465774,1.0
0.5348488850662148,5.0
-0.17750663801513133,1.0
-0.5012945001812743,1.0
0.5140829216959502,1.0
0.28396070907677595,2.0
1.3832264855414242,1.0
-0.8769711535691751,1.0
-0.20315471068873964,1.0
-0.30900037196505603,1.0
-0.6885925620519506,1.0
-1.2742951940684368,1.0
-0.013785470693807866,4.0
0.7669310625337044,2.0
0.6112494780097184,1.0
0.6735771192693415,4.0
1.0389574174377803,2.0
-0.13201401606238844,1.0
1.759654190162267,4.0
-1.1551552381266537,1.0
-1.2779368405702924,1.0
-1.2282012228479373,1.0
1.1030083464080185,4.0
2.2366299789057447,1.0
-0.19474240830381317,1.0
0.7004783076462677,2.0
-0.5795729727442487,1.0
-0.7740850018451025,1.0
0.2556931532509614,5.0
-0.7456553522870846,1.0
-0.37347974753997915,1.0
0.7769388974168199,1.0
-0.7652187664344375,1.0
-0.07621465039704661,1.0
1.5318977829809315,5.0
-0.4464310376354319,1.0
-0.5853448782456725,1.0
-1.28401740963856,1.0
-0.21566380838760535,2.0
-0.4340267573781114,2.0
-0.31346775306921404,4.0
-0.44239693323754126,2.0
-0.20932286758749127,2.0
-0.6587384725625713,1.0
-0.07349412323191945,1.0
-0.9997574944937051,1.0
-0.254379047303225,4.0
0.2857753351560003,1.0
0.9832261792628562,5.0
-0.8006883604148183,1.0
1.646412659587566,1.0
0.020150261832001526,1.0
1.322590485712704,1.0
-0.16830086380884582,1.0
-0.5839209503821947,1.0
-0.8265403245508942,1.0
1.7509948299627835,2.0
0.16046801893791363,1.0
-1.187653762339714,1.0
-0.24389060410859928,1.0
1.1272153546722774,1.0
-0.02258445740998727,1.0
1.2120198316363247,1.0
0.3463006888629179,1.0
-0.11837925775810193,1.0
-0.5247772229501366,1.0
2.079864172086026,2.0
0.39544014428129354,2.0
-0.4196759849535544,2.0
1.1524337334662893,1.0
-1.1521166745290445,1.0
-0.9634167948022159,1.0
-0.5453422981201134,2.0
0.6666494513194443,1.0
0.5096580440423704,4.0
1.4517159452015946,1.0
-0.7428061191956841,1.0
-0.9324086589977639,2.0
-0.0708192196109973,1.0
-1.1342814806760286,1.0
-0.24015640346631162,1.0
-0.4281509720397187,1.0
-0.017549189285268996,1.0
0.08314187591059807,1.0
1.9700375599991249,2.0
-0.26604671348066145,3.0
1.4431274486522965,1.0
1.0253038315072935,1.0
-0.9335430663136792,1.0
-0.3383814866922218,2.0
-0.6863659672846407,1.0
1.4563309729326495,4.0
-0.5012921884964866,1.0
1.2244150014060864,1.0
0.10325358397794482,4.0
0.167782965639094,3.0
-0.06522088831465278,1.0
-0.7387763401160594,1.0
0.39889371790338285,1.0
-0.22620092924556698,5.0
0.27973286551168286,1.0
-0.6813837673007856,5.0
1.042715275942969,1.0
-0.6102665915996517,1.0
1.6547640212993209,1.0
0.06710447210823561,1.0
1.261506079449823,1.0
-0.12452002668364232,1.0
1.1981694137222523,1.0
1.6480667532783304,1.0
0.4723977096511649,2.0
0.5764040837909852,1.0
0.020034179529311358,1.0
-0.9016373642386782,2.0
-0.15112230893682,5.0
-1.1126734393718425,1.0
-0.8117893988746361,3.0
-0.12859496040714946,1.0
1.1457490981889908,2.0
1.63680142012793,5.0
1.8363203343579357,2.0
-0.19694942423269074,1.0
0.43030078084021356,1.0
-0.7990705614977177,1.0
-0.5148589590097756,2.0
-0.11736448261705099,2.0
0.31612780724826584,5.0
1.0323661874412438,1.0
-0.30143405623396685,1.0
-0.07583006583612778,1.0
-0.4020993588794355,2.0
-0.4956229535645935,1.0
-0.24584878810364721,1.0
1.1443442737082392,1.0
-0.5792170374671181,4.0
1.1185622456268927,1.0
-0.37968106589607786,1.0
-0.20596170594076893,1.0
0.8458362451584277,1.0
-0.06852917512813511,1.0
-0.4794923788640046,1.0
-0.4139784740465601,1.0
1.2846120180458254,1.0
2.213154106676043,1.0
1.1691090957142825,1.0
-0.059416253187400625,2.0
0.6866369254480924,5.0
1.8550118144210082,1.0
0.4086139545449891,5.0
-0.3265132929023289,2.0
1.2655477209888675,1.0
-0.41708982225665525,1.0
-0.3694795696032014,2.0
-0.6112833783025833,3.0
0.6713983887754189,2.0
-0.3557326605351567,1.0
-1.0548318988013126,5.0
-0.3382453586252589,1.0
0.17362599073451823,1.0
0.2627595589949704,1.0
-0.17525815291986152,1.0
-0.8351048940856525,1.0
0.053919042064154765,3.0
1.188040281935225,1.0
-0.5899738269541508,1.0
-0.3300977369326793,1.0
-1.1611768272210239,1.0
0.13485727190327318,1.0
-0.9908396711873769,1.0
-0.22362743265405316,1.0
-0.49971106677545185,2.0
-0.07640406077893286,1.0
1.2980150783484128,1.0
-0.6749952017873703,1.0
0.9948274358378627,1.0
-0.6325029125316368,2.0
-0.3421230745870592,1.0
