empl_chge_lc1vs0_iate,lmp_cw
0.19348226718683503,3.0
-0.6561314834979083,3.0
-0.84494281868543,2.0
0.945692841418351,4.0
-1.0064907230465774,3.0
0.5348488850662148,4.0
-0.17750663801513133,3.0
-0.5012945001812743,3.0
0.5140829216959502,4.0
0.28396070907677595,3.0
1.3832264855414242,2.0
-0.8769711535691751,3.0
-0.20315471068873964,3.0
-0.30900037196505603,4.0
-0.6885925620519506,4.0
-1.2742951940684368,3.0
-0.013785470693807866,2.0
0.7669310625337044,3.0
0.6112494780097184,1.0
0.6735771192693415,1.0
1.0389574174377803,1.0
-0.13201401606238844,4.0
1.759654190162267,4.0
-1.1551552381266537,3.0
-1.2779368405702924,4.0
-1.2282012228479373,4.0
1.1030083464080185,3.0
2.2366299789057447,1.0
-0.19474240830381317,4.0
0.7004783076462677,3.0
-0.5795729727442487,3.0
-0.7740850018451025,1.0
0.2556931532509614,1.0
-0.7456553522870846,4.0
-0.37347974753997915,2.0
0.7769388974168199,4.0
-0.7652187664344375,3.0
-0.07621465039704661,4.0
1.5318977829809315,2.0
-0.4464310376354319,4.0
-0.5853448782456725,4.0
-1.28401740963856,4.0
-0.21566380838760535,3.0
-0.4340267573781114,1.0
-0.31346775306921404,3.0
-0.44239693323754126,1.0
-0.20932286758749127,1.0
-0.6587384725625713,2.0
-0.07349412323191945,4.0
-0.9997574944937051,1.0
-0.254379047303225,4.0
0.2857753351560003,4.0
0.9832261792628562,4.0
-0.8006883604148183,1.0
1.646412659587566,1.0
0.020150261832001526,1.0
1.322590485712704,1.0
-0.16830086380884582,3.0
-0.5839209503821947,4.0
-0.8265403245508942,3.0
1.7509948299627835,1.0
0.16046801893791363,1.0
-1.187653762339714,4.0
-0.24389060410859928,4.0
1.1272153546722774,4.0
-0.02258445740998727,1.0
1.2120198316363247,3.0
0.3463006888629179,1.0
-0.11837925775810193,4.0
-0.5247772229501366,3.0
2.079864172086026,1.0
0.39544014428129354,4.0
-0.4196759849535544,2.0
1.1524337334662893,4.0
-1.1521166745290445,3.0
-0.9634167948022159,1.0
-0.5453422981201134,4.0
0.6666494513194443,4.0
0.5096580440423704,2.0
1.4517159452015946,2.0
-0.7428061191956841,2.0
-0.9324086589977639,3.0
-0.0708192196109973,1.0
-1.1342814806760286,1.0
-0.24015640346631162,3.0
-0.4281509720397187,3.0
-0.017549189285268996,2.0
0.08314187591059807,4.0
1.9700375599991249,3.0
-0.26604671348066145,1.0
1.4431274486522965,1.0
1.0253038315072935,4.0
-0.9335430663136792,4.0
-0.3383814866922218,1.0
-0.6863659672846407,2.0
1.4563309729326495,1.0
-0.5012921884964866,1.0
1.2244150014060864,4.0
0.10325358397794482,1.0
0.167782965639094,1.0
-0.06522088831465278,1.0
-0.7387763401160594,1.0
0.39889371790338285,3.0
-0.22620092924556698,3.0
0.27973286551168286,1.0
-0.6813837673007856,1.0
1.042715275942969,2.0
-0.6102665915996517,2.0
1.6547640212993209,1.0
0.06710447210823561,3.0
1.261506079449823,2.0
-0.12452002668364232,4.0
1.1981694137222523,2.0
1.6480667532783304,2.0
0.4723977096511649,4.0
0.5764040837909852,1.0
