sal_avg_lc1vs0_iate,earn_x0
-463.513496485008,1193.332697145667
-1847.6121512813597,3244.6781523613786
-3666.724739464621,3719.2213222458727
-8612.12307443159,3085.6925448433512
-2932.6937992341063,4004.131002137021
-5665.001479048336,1755.8269456412604
-3441.4558967006274,2584.370630726857
-2838.081801430035,3413.5281476890164
-5190.987333464111,1933.0884472848177
-6679.015808655396,3968.939722213053
-21088.555720797518,4292.975371818628
-5050.337640104915,4686.399666895838
-4330.400558687103,4759.08314777485
-4328.147398870946,3485.7685658506025
-227.3310448535001,2430.071681191421
-3114.3760810520707,6995.563964901388
-2435.8406409209138,1800.598031556699
-16801.22053844198,4116.599833906231
-6820.418310267503,2272.22316109235
-13760.996006129913,4645.666832185667
-18046.204079078827,4911.659106698894
-2321.9146750212035,2285.6646826609804
-13241.46132851449,2845.918390197516
-3071.19154952596,5615.714002697792
-3206.1550970958815,4666.231885699818
-4154.286240049651,5196.638068029913
-15006.888634045421,4076.92783250837
-12021.335593992317,1749.6442113020514
-2070.3202580666493,1342.3696338424595
-18397.95356272177,4490.609342053655
-1889.9598735848053,3043.1471959793835
-6092.692729795937,5155.20693112442
-7701.838036392345,3362.485159182663
-4284.474753541315,4016.4146395269454
-3070.9207159497064,2790.325407162434
-10186.839265724966,3760.962602912711
-4058.7263050805213,3844.823230717023
-4234.555661910751,3925.744144977282
-14841.704162924554,3494.914466391914
-4721.648946031489,3914.4693519501134
-146.3326538080487,2504.4669564633064
-4296.263003798102,5127.58637675137
-3968.027247398873,3562.886665982977
-5487.076290863111,4346.035705503462
-10821.706583671672,5810.071824153135
-3549.0933660013325,3785.74193468117
-11176.520391528746,6312.9529453602845
-396.6216945757328,2434.186954334409
-1308.7933614894812,1479.981545887037
-4321.738163391496,5557.065867351301
-1679.3250543333627,1104.7599895524174
-13825.385441420818,5894.174450994807
-9705.903919529803,2843.929690002449
-1941.5600032764141,4204.431798818756
-17026.261987989732,3367.087933725305
-5681.74233304389,2758.136380043928
-20707.033050715305,4848.983973726757
-2715.2386861927325,2644.3239547182543
-2681.99010470236,3348.914555933196
-2220.630708743636,3839.682281385358
-8836.78346681875,2467.059948003984
-4080.6812910874987,1236.9125442854886
-3567.75067401295,5868.199214033304
-61.33569109278403,2123.3307829249434
-11229.120037878332,2944.7052830965613
-5514.657729756766,4086.564922510373
-8119.786103787981,1236.4920310371217
-5653.523153591791,2203.298269765708
-3021.041312560856,2242.9010708714964
-2202.385252410415,2976.345607665452
-13711.86613623781,2272.331181046973
-18989.89525567234,4828.744599623171
-3881.4391296977374,4165.808696028897
-8124.260113193132,2500.315969941594
-3051.0709837098966,4574.99517557822
-4554.147313564168,5258.3726816026565
-2590.3474344504575,3270.529189816006
-6908.662810779986,2434.5966870970765
-6718.468603575588,1786.5048007083049
-20004.117829970786,4163.551036313568
-4994.176749152037,5599.091023144334
-5496.55923926767,5274.488011403746
-4302.962053225012,2588.3768914809834
-5998.531895427333,4984.429703094995
-4408.920118722363,2905.0417548316573
-3362.96784283539,3032.276959379162
-1128.8177198612439,1435.250251714145
-12334.234629367968,5350.084099674365
-12821.893128497695,1416.433288731004
-8054.5514265533075,4316.491897663433
-14090.634343899204,3159.514622200561
-7617.009346591939,2857.256750136862
-2796.7528572068677,4187.695951252252
-924.3493473975333,1942.731746497484
-6411.868072222465,4363.1648051243
-20986.804676169333,4102.243463528355
-3079.8646357343596,3192.489464462401
-11235.677003808369,2960.379801999077
-3300.177699021645,1821.6106586686767
-6319.144300785712,3525.110567871369
-7220.067168747152,4273.646766912285
-3752.450922899925,5005.150621529395
-10122.392623717966,4166.827593997135
-2059.022433649012,2466.037967760853
-4420.459952515184,1392.4133414491428
-3657.864961302712,4794.484188827246
-14497.581488513384,3751.7426100040575
-3280.972619140175,3733.3803090074
-10016.712359354979,2463.1960026471934
-14130.109560966343,4941.75256753342
-11526.239612007645,2959.1602158750347
-9627.575265321331,4176.901486798269
-10242.502781571558,1970.7023382414168
-12375.299110150592,3607.59350893063
-12775.022272749107,3980.372097176493
-2962.4747961838993,2005.871285241926
-5733.944012197649,3473.3885679187806
-412.16662863333386,2801.278027465041
-4173.934912833149,3180.064792589384
-4446.523276926742,5955.268136243457
-5546.287796963205,4029.063675124101
-6644.113947641672,4251.443448339634
-20463.510461793707,4376.287514555002
-11421.985827900826,2914.4940641390226
-14588.283114557971,3007.191003591542
-4296.9341605022455,3171.015817943025
-15308.381580177347,5723.4384249604
-1918.6337455126786,2869.2253710300465
-4904.122555143581,4296.829243576472
-3782.712618864375,3155.162002986955
-4336.14058556478,2189.401971175196
-13019.588975640676,3764.2748020453705
-4701.720109369653,4701.282450358163
-1862.2777478242606,2338.9285731119826
-1651.7998929613914,2203.096480877128
-2245.9113882877136,3525.529953768866
-5098.816434561996,4041.3365993475
-16139.686901748268,4137.11279849873
-7755.282672002699,7140.324224398464
-5407.08598283951,1888.5507874313764
-4648.452389895047,3978.142203617335
-520.2555182121823,1615.7314115125334
-19495.373864824534,5713.4417634892
-4733.99346998361,3086.749538023775
-5677.709380763718,4385.364117998522
-5579.931288879409,4377.644339969802
-21197.190502766305,5378.628361660634
-14020.929154737749,1931.0782440644648
-12981.516844003236,3555.0888770035867
-2648.987215829232,2288.560613092506
-16753.22068041909,5310.097974352306
-8524.629155095867,1581.78916347634
-5975.722087964356,2354.727117399696
-9125.532586995547,5918.104208776785
-7619.046303009428,1796.579736764528
-2855.586163825934,2802.223139718544
-3025.8097797928276,3295.4554934628763
-2497.1665053223387,3722.339124487471
-7184.193202091382,2138.2240765651104
-2807.523195563472,2601.928364168456
-3080.209531283679,6323.573096570325
-5494.654000863124,4338.226220740814
-1819.1616023078786,2040.3741533227096
-13599.512198976117,4471.393377297148
-4661.803029523228,3329.7790955631845
-4762.071432685161,5336.830195138055
-5145.8303435802845,3443.4292234999743
-21717.09240546481,5468.090696668703
-3919.964005010719,4121.935428767277
-4024.195172315309,3476.709266023497
-2932.832439347376,4348.132331540891
-4971.014798354618,2421.5381742493128
-2767.8809390932056,5836.328468882115
-5493.866697337418,4447.062698665194
-3395.332213811672,3102.841731317086
-2909.1529854074083,2468.074948640741
-9920.038541856886,2826.4073615878106
-4852.356244613504,4030.121512328451
-5584.926950041488,2233.316892300849
-7964.870549707955,4488.992329483356
1188.264489757641,1799.1312460844028
-10620.14815116794,3344.532240136754
-1895.3452563455148,3171.728825790159
-797.0658975308497,1732.4346918845558
-2664.5307177555405,1385.2972817249608
-14399.804235434925,5776.512629351454
-2840.982919313621,3544.538988758148
-294.82386166505825,2112.146559783313
-3326.16243834518,5145.180783131548
-17341.001304706522,5097.243335181243
-13342.804826578384,5426.0752291613
-6679.770675387857,4894.706522457524
-10378.034609233018,3861.0471569373294
-7586.032266469161,2698.784413288972
-2138.3843792674666,3013.629550984904
-2962.947797366007,6382.177927898954
-9445.061591712045,2403.0838435498385
-4628.850483957177,2482.1997869676475
-2371.945529551689,4276.496145311158
-2504.6642034590986,1454.506432689
-7650.088853001283,2714.933118758521
-10049.364534438411,4914.307897645444
-16409.512754677424,3126.3134159404417
-2227.1544694534746,1619.3065509972791
-7726.152897312457,2527.784509468013
-14604.01587291501,3771.7859168083537
-6757.192295640221,2801.6215599245006
-7165.033228111048,2623.0446577251205
-996.4244833159028,2978.601011678399
-13969.073750347066,2467.6711803404537
-11130.593381398496,3830.3825104348575
-11059.005339752526,3653.944223358132
-20418.00601613143,5165.984056671632
-4505.262376376644,3668.846712783567
-2650.541807093163,4197.2032693262
-4300.2829864926025,4119.146808841497
-4476.765153839629,4808.331879334657
-5152.243767786587,4924.730435581283
-2561.134512646271,5484.717660448678
-7682.127741808816,4148.473288289153
-1111.2948748196618,1606.1147844477057
-4978.012447428833,4467.088637684439
-2407.823753415889,2569.359907167069
-12672.240773153246,2123.234946887559
-6232.158946257013,4096.23341909503
-18260.908580148935,3640.7433975626655
-12529.22791783786,1503.696198122301
-14267.555802736057,3837.818161742435
-3386.4387374681355,3211.2343253916074
-2321.113462848197,2680.867361264716
-6625.325877134188,3388.4628070053545
-6255.207636035607,3472.1371672790897
-2312.351440555054,4032.918742548976
-4528.12110400387,3743.445491839093
-2136.024496009291,2021.4275954292896
-3797.049319575912,5027.096147286086
-2549.244477343338,4138.790223026816
-1035.8719310758015,2976.7510811775605
-16020.440062487536,4230.856145406076
-7332.0449117115495,2639.3325484822367
-12498.667019472758,6395.766599036037
-7674.683263877325,4325.880865350576
-5373.937467221862,4945.593607146445
-686.1375662136179,2681.0544517537974
-2780.854156387918,3644.329421057144
-7917.3120189264855,3578.338011785222
-15153.016100497083,4149.713017436649
-2322.729195925518,4415.613048401213
-13659.446268026304,1601.23685270193
-6929.011200109049,7344.155862815863
-4178.24318679288,1749.8680771010422
-6760.580360149945,3717.6271465220457
129.0258704716989,2675.427876970608
-3188.3456954588783,5694.560637039672
-9516.46720148789,3929.545770025674
-12148.93119437116,5600.964882255158
-17467.404146722078,4317.687849879147
-99.55215731127976,1877.6096410846887
-9954.110087712743,5603.655026878279
-12340.991839544762,4090.269455960972
-22115.340534184277,4839.295697285171
-13646.644695816767,4732.561724408808
-19331.30150918461,4325.724163879226
-5221.6323170013475,4106.151619280391
-9035.514445965619,4361.470025204451
-5633.825468059045,4401.974094292035
-3150.3597379570047,3582.986235138961
61.60349985900598,2396.8216599158263
-809.3600076635769,1545.5361721913766
-5088.28188985917,2924.3115114992097
-9845.0089091722,5251.487895026775
-2325.1764468510314,2702.920525576427
-1401.3863216818309,2779.9177988280103
-5462.314517675968,4773.25577055998
-9208.440692572243,1580.0183101562484
-12060.361812287852,3233.4004413836265
-1877.1333062559233,3671.814012414072
-7939.821816474209,1682.1542984864168
-4289.047389677109,4334.9066569034985
-4329.475988185808,2675.562095034877
-6057.285302540814,3455.3698717180587
-12858.643002236695,3349.360290052079
-3233.468108602967,2358.593893386679
-15721.164024572408,2843.614949911287
-4019.193578120883,4475.585073367943
-4551.624874001085,3964.938592382787
-12667.710940098934,4351.170191832786
-7407.42116595402,2265.743373180881
-791.8595690477705,2771.5722882504115
-516.7286420895107,2840.6761015771926
-4374.179819366849,4510.020611392953
-9612.92341891613,2383.101873835544
-3124.1194900100436,5281.458383583068
-4393.087762808688,2740.174751903613
-9281.123888493767,2538.0321217606747
-13369.916645841364,3706.67304924324
-332.6247287640011,2009.6085419498827
-4420.848347727806,4291.770222497403
843.4764231047986,1863.8456945563528
-4501.6520178244255,3538.710331361924
-14574.756331154886,1352.6012884120844
-5898.811925904288,3274.830892397048
-10915.62995720756,3499.685219244584
-3393.5474613805527,6077.322935931496
-1790.2938023615297,3296.054125853884
-6779.62190486842,2764.907385378634
-11186.295105876992,2501.5096641316745
-2072.3387249033312,4994.505609377051
-4728.134292884335,3522.5940590049067
-2464.544454967063,3815.2142896743344
-4890.754711351303,2679.505093299584
-1975.4436891613843,1439.1453292663118
-14353.168442913953,5173.880188324628
-5248.791732272066,3318.043515559716
-3258.65984380615,2477.3306624772454
-14484.53520635545,5909.943684941671
-13719.42061313944,4991.221792357429
418.7795160312018,1945.2972425361472
-5820.403460492718,5611.451270163821
-3923.809481553683,2784.3278084847807
-6012.458123978593,4633.852762579146
