sal_9_lc2vs0_iate,earnx2_3
5002.12072535216,0.0
2333.694370181294,0.0
-1209.4361386853727,0.0
1357.126032102096,0.0
1025.8153641810868,0.0
4789.808420354146,0.0
3201.729492317505,0.0
-4368.087100133629,0.0
11094.893192672818,0.0
-1903.0311055453167,0.0
8861.516269349662,0.0
4080.4617919035745,0.0
-5950.799700368052,0.0
4277.838024626774,0.0
6878.863381604721,0.0
-2881.178959967005,0.0
-644.4257154004176,0.0
1624.9946608007785,0.0
739.453801854524,0.0
-44.405003966874574,0.0
4275.757134578092,0.0
8360.842670058159,0.0
5222.381513106283,0.0
-42.40001203765405,0.0
8256.698733975945,2795.4651330558936
9301.694395929615,0.0
773.8190272034471,0.0
-14506.009908279198,0.0
9931.912652049274,0.0
-2525.9902713693446,0.0
10116.426817603979,0.0
3491.6324704941144,0.0
-1428.6926293557478,0.0
-120.30409285974656,0.0
3862.583789802544,0.0
11528.290075061966,2856.720180542776
-4208.4926714595895,0.0
2056.8822033795195,0.0
6797.155406089764,2228.2430514783778
5182.713542345606,3228.057339476259
7105.144165192007,0.0
5640.774558769839,0.0
6837.773151095449,0.0
-2291.258945573389,0.0
-1954.9941951851579,0.0
-3493.1502872143737,2941.060653869544
-8178.688951978636,0.0
7337.963313576706,0.0
4439.089933903569,0.0
9704.149133723502,0.0
1385.3333354925655,0.0
2232.0061498816412,2110.476935573106
-16222.076400892178,0.0
5614.275349358474,0.0
-8328.94742855412,0.0
8923.193960557835,0.0
202.98277484125128,0.0
-1445.2495489232033,0.0
7483.990396266965,0.0
3170.023595509796,0.0
-5800.975892878386,0.0
6560.162855797693,0.0
1165.5810024671764,0.0
2417.1618459071224,0.0
6848.366504668422,2603.8810613816268
-955.0086573138396,3807.966210965002
-12881.037013264679,0.0
4940.759875921211,0.0
7766.198153790139,0.0
5979.843681212924,0.0
1447.8418517706214,0.0
6358.504916062309,0.0
-732.663985973199,3061.985128028573
-3597.1608908981166,2631.568111331729
558.1333711594327,0.0
-17924.72944744666,0.0
-821.8832392083327,0.0
-7565.013080276265,0.0
3102.898646807644,0.0
-405.5050323726573,0.0
7861.079960150175,0.0
30.534360228567948,0.0
