sal_9_lc1vs0_iate,school
13616.941949582555,10.0
14561.636348288506,12.0
2612.784853292573,10.0
1995.4200494509923,8.0
19047.129579976954,12.0
13967.332616799922,12.0
8929.994170390752,10.0
19788.292614293332,12.0
14301.752857796055,10.0
15584.990089997635,12.0
11490.44332534962,10.0
8091.321827212738,10.0
-6546.59054743239,9.0
15777.387834350324,10.0
10888.679181173531,10.0
16086.903103419907,12.0
13992.419154180177,12.0
12041.260923857491,10.0
17435.53834667283,12.0
16736.48143870632,12.0
16384.470219926454,12.0
6898.459366938971,9.0
14465.21384341352,10.0
-8871.274722749533,8.0
10733.760550851219,10.0
14583.05557328072,9.0
4426.55053044283,9.0
12122.325832532544,12.0
13537.452226946512,9.0
3959.8844539221905,10.0
12048.876577309296,10.0
3914.9416574317,9.0
3925.525457980086,10.0
16144.00447104589,12.0
6571.044688796559,10.0
9483.059543947784,10.0
15461.23480130708,12.0
5264.703744474601,10.0
11376.070717435485,10.0
13969.988481105249,10.0
10730.59600958038,10.0
14046.73810062982,10.0
11992.39593475417,9.0
-3098.0258535708076,10.0
14864.158381082278,12.0
4135.930583493321,10.0
12598.981422288934,12.0
12836.451800619394,9.0
4582.153952174714,9.0
11230.477534117119,8.0
5815.134298443156,10.0
5798.5057803683485,10.0
11320.10369915316,12.0
7742.5643132719615,10.0
7115.804916140647,12.0
8948.285733730143,9.0
15315.535291025466,12.0
-5939.284914559379,10.0
11685.329194369138,9.0
8462.869840033749,10.0
14238.434453861655,12.0
13917.985781218777,10.0
2998.826575074746,10.0
1499.17982908614,8.0
11306.99822741522,9.0
7459.066496079418,10.0
7344.49989731111,12.0
8545.827722205288,9.0
13246.786460610689,10.0
14240.520196341316,10.0
6610.844393678556,10.0
14093.342263612312,10.0
3616.3766052894216,9.0
-505.2644426811871,10.0
-717.0291062804331,8.0
7940.476318410712,12.0
-12.168793221941314,8.0
10247.744681233846,12.0
12737.601298251153,12.0
14907.08242093292,12.0
8676.790640309297,8.0
14531.988030536764,12.0
7536.650370788451,9.0
14452.530052057038,12.0
11205.607263936578,10.0
12779.908367605982,9.0
569.352747604858,8.0
10018.021199847259,10.0
16990.16861442631,12.0
-2938.2743928436807,10.0
19167.036519000663,12.0
9568.292924365505,10.0
-844.3157610722874,10.0
14660.752466299868,12.0
17641.80057320682,12.0
-4645.971594969394,10.0
8810.451559253619,9.0
3082.6984641762274,10.0
-7164.724164226943,10.0
4176.283064255036,9.0
8655.267210750542,12.0
15214.385747346172,12.0
8071.241097093477,12.0
6520.306137574858,9.0
16468.768226671033,12.0
3819.872880679216,10.0
7979.2584227352945,10.0
12422.929838140419,9.0
8925.186674474222,9.0
3807.721932642902,9.0
6027.51232223353,10.0
12894.896558196759,10.0
-4584.450478543794,9.0
11907.106804257917,10.0
6193.962458663478,12.0
16759.08293638954,12.0
13480.095313319587,10.0
7673.806919897914,10.0
13502.904825934682,9.0
1362.1438906520357,8.0
8780.850295708522,10.0
7734.634731724438,9.0
18499.166593903807,12.0
8553.955759036186,12.0
3542.1547028061523,10.0
18748.168475545855,12.0
10139.638878688156,12.0
-3297.1095848034756,10.0
14027.683849545214,10.0
258.45656057366205,9.0
5063.1870551053,10.0
13284.279042943363,9.0
9059.484795333145,10.0
11778.766179427965,10.0
11966.798156585452,10.0
1709.4077376097528,9.0
8904.030828784322,12.0
13885.51896218439,10.0
13284.881245024293,12.0
4923.775529644643,10.0
5052.712654778252,10.0
11992.503553732886,10.0
9682.473441638358,8.0
12339.719346121237,9.0
5705.2801466353685,12.0
12882.951704596897,9.0
18634.110646558027,12.0
-6794.672748528597,9.0
7833.208746846644,12.0
13992.635469006524,10.0
15867.972327658446,12.0
17703.343766622223,12.0
4442.189920812201,10.0
15064.856281041844,12.0
12725.496977075385,9.0
14614.14102905184,9.0
15672.85410877606,12.0
4190.450793350154,9.0
14356.209752285791,12.0
-5603.073445441426,9.0
4328.486566301417,10.0
10779.555417660165,9.0
10769.962972236543,10.0
11697.012801797213,10.0
10686.670291208175,9.0
11078.989485519667,9.0
4857.767776007376,9.0
-2587.6452251710975,10.0
6744.913777433461,10.0
14394.75309023629,12.0
3260.905623449946,10.0
3242.998366873585,9.0
12227.174899030148,10.0
5242.4612153926255,9.0
4637.596169828265,10.0
17385.214673610197,12.0
11460.986932679538,8.0
15031.265383197868,10.0
-1670.2496426235332,10.0
3657.1722853648034,9.0
2873.117793613329,10.0
-1185.0414084890267,9.0
13675.758727538292,10.0
