sal_9_lc2vs0_iate,empl_x0
7870.874531802361,41.0
12888.31944530725,19.0
533.8423601638247,65.0
-1375.4042867302223,58.0
2326.3934122477795,60.0
2189.1032991588672,72.0
6308.470549369706,35.0
7422.200161121675,48.0
2768.0959296571223,86.0
5783.8232725536645,68.0
-6503.029360579615,95.0
5259.368196432813,28.0
4258.426784341282,72.0
7442.142983665517,54.0
11407.064320834663,35.0
-1510.5974733271523,89.0
4786.14573972855,46.0
268.30291500480166,100.0
2812.513305606575,90.0
-14299.216998691398,77.0
3938.7411709633507,44.0
9903.44204291061,56.0
-468.4642055409872,98.0
1014.4725232456653,42.0
3490.897808633712,63.0
-990.3984104745596,50.0
-3846.847991681563,92.0
485.3361923592811,38.0
10165.330203671287,36.0
-2799.1980315123214,103.0
11917.406228366232,58.0
618.9191795214319,70.0
10810.338397599466,65.0
4113.437234271604,53.0
7502.008570958751,70.0
-520.5007288973543,78.0
8497.136296901012,61.0
3131.4967945946546,94.0
-3894.2167515392657,71.0
10345.932455492191,79.0
8109.94983462007,45.0
690.9116503369569,80.0
11306.908387927857,60.0
10928.188097720822,78.0
-7337.3799809622815,64.0
3026.654833039015,91.0
-3217.6829752884587,106.0
4691.455642526189,41.0
9828.21458093688,71.0
4783.484859219515,70.0
10922.347453858445,32.0
5038.277976958489,62.0
5364.634809299793,68.0
3858.4404426667506,47.0
-1887.9457014265129,105.0
7727.857015203586,25.0
-7451.419736903625,47.0
3144.751606235801,67.0
8544.08065323127,62.0
1473.3046484063984,28.0
286.29846981384026,53.0
4298.421442218057,66.0
1449.7054672341178,97.0
2458.0215681235823,79.0
5939.140853150055,105.0
8188.651597377383,17.0
-1372.7021021247883,65.0
7066.150737845894,81.0
8803.63143310327,78.0
10679.729853334135,66.0
1758.6255096828081,91.0
-3623.536330502402,71.0
9521.298228434054,56.0
-2659.213659020679,61.0
1967.8643507951167,37.0
9877.034288757308,57.0
6898.648807185147,72.0
-1569.7050754635648,97.0
-2376.735042950808,98.0
-8544.735303795649,109.0
7165.6263531346785,48.0
-317.21542523743256,82.0
6737.147800886679,50.0
9612.428422419647,49.0
12191.632820418617,92.0
11340.004034195721,54.0
5728.328925326718,51.0
-2174.6386915408552,87.0
1283.1444527377867,77.0
10608.865448603176,85.0
-3799.0736535541346,71.0
553.4506746018251,51.0
2023.901218245027,84.0
7551.769632087734,53.0
4051.4179886735483,46.0
-2934.424393040462,93.0
3214.2508965920197,37.0
