empl_ttl_lc1vs0_iate,school
-4.94805426166886,10.0
-4.578111859088715,10.0
-3.230183773696281,10.0
1.3276327758599846,10.0
-5.504426802571932,12.0
0.19740218502416762,10.0
-3.7681734953965305,8.0
-4.058591155271899,10.0
-0.612743072735806,10.0
-1.3866245580209615,9.0
5.684290253260674,10.0
-3.9245604592515027,10.0
-4.249977880810943,9.0
-2.7508514322438367,8.0
-5.343410681848838,10.0
-5.859476615922035,12.0
-3.5603169489435893,9.0
3.9605823782354577,10.0
-0.2781985129849933,10.0
1.2274432011773229,12.0
3.8812397465118122,9.0
-3.3427260873530398,9.0
4.9152560967964956,9.0
-4.71026634939384,12.0
-4.215989504466777,12.0
-5.861797327600664,12.0
3.195668435079152,10.0
5.222338304708721,9.0
-2.9020687387710535,9.0
4.280266659497552,10.0
-3.7225476618861912,10.0
-3.486853278044228,12.0
-1.3057265460516698,8.0
-3.2785683578171336,9.0
-3.342427794012711,10.0
1.3763720464244351,10.0
-4.010554469233904,10.0
-2.6537893485242208,10.0
4.728494152405938,10.0
-2.9711600162350447,8.0
-5.293375960119727,12.0
-5.378046175097144,12.0
-2.9478466195738484,9.0
-2.616589569519482,9.0
-1.1791202450774634,12.0
-4.311464470350409,12.0
-0.12053856032070254,12.0
-5.553943871730289,12.0
-2.5097217097954987,9.0
-2.955066446938946,12.0
-3.1294046369614796,9.0
1.1985676546152861,10.0
1.9355864102435405,9.0
-4.196079625440849,12.0
6.449172312966962,9.0
-3.0829091482839517,9.0
4.891619174263027,10.0
-4.391780743250741,10.0
-3.4463184400290006,10.0
-4.47581358746775,12.0
1.3776060924220008,10.0
-1.913303056766548,8.0
-6.274316227690828,12.0
-4.837873860188848,12.0
3.386321604051256,8.0
-3.489929017616989,10.0
1.63337041131164,10.0
-1.4524888182921774,8.0
-3.4897655460277974,8.0
-3.8998745555076644,10.0
5.436816063188527,9.0
3.7496934542546665,10.0
-4.248230258791732,10.0
0.3138072392002005,10.0
-4.149337294975304,12.0
-2.4455956673903776,10.0
-3.5938970168129813,10.0
0.12389493903963,10.0
1.0171740108050566,12.0
6.390183591814025,10.0
-3.450569901201286,10.0
-3.8400120684612906,12.0
-4.406178341738958,10.0
-2.9490994516832165,10.0
-1.9759975006251942,8.0
-3.1223764769021933,9.0
-3.9963374702913477,10.0
1.3313914137511298,10.0
5.8144092617826555,9.0
-0.6622089022793183,9.0
3.849187277029741,10.0
0.09658460201370977,10.0
-4.6117175715266345,12.0
-4.449272870511718,10.0
-2.736970506720067,10.0
7.193584233035986,9.0
-3.8302579895709554,12.0
3.20544308579557,9.0
-2.5526540996384313,9.0
-2.186318953991026,10.0
-1.2875165043921646,10.0
-4.0054989881365115,12.0
-0.09933864261648351,10.0
-4.973522661912384,10.0
-1.5365758327191974,9.0
-3.9842499680379646,12.0
3.976228403146549,9.0
-3.481802111213266,10.0
2.051912397968515,10.0
1.209600134149532,10.0
3.6863759561993543,8.0
-0.7506920493004086,10.0
2.7223543517259374,10.0
3.47577607850244,10.0
2.347982875400124,9.0
-3.835688449799336,10.0
-2.294756710314047,10.0
-5.388084664678197,10.0
-2.5804622695616173,9.0
-5.825823605192124,12.0
-2.945849181596061,9.0
-3.3863182264720795,10.0
5.302877003082863,10.0
1.9493689406136316,10.0
4.7848177038834745,9.0
-3.422833772512836,10.0
2.0196300685915873,10.0
-4.789290297255821,10.0
-3.1225787908962204,9.0
-2.7542017409301556,10.0
-2.1347439539077815,8.0
3.0914216505186207,10.0
-4.795990592082758,9.0
-4.998245575217604,10.0
-4.278209409956684,9.0
-4.092050333249997,12.0
-3.2722100341891887,10.0
