sal_9_lc2vs0_iate,school
5002.12072535216,10.0
2333.694370181294,12.0
-1209.4361386853727,10.0
1357.126032102096,8.0
1025.8153641810868,12.0
4789.808420354146,12.0
3201.729492317505,10.0
-4368.087100133629,12.0
11094.893192672818,10.0
-1903.0311055453167,12.0
8861.516269349662,10.0
4080.4617919035745,10.0
-5950.799700368052,9.0
4277.838024626774,10.0
6878.863381604721,10.0
-2881.178959967005,12.0
-644.4257154004176,12.0
1624.9946608007785,10.0
739.453801854524,12.0
-44.405003966874574,12.0
4275.757134578092,12.0
8360.842670058159,9.0
5222.381513106283,10.0
-42.40001203765405,8.0
8256.698733975945,10.0
9301.694395929615,9.0
773.8190272034471,9.0
-14506.009908279198,12.0
9931.912652049274,9.0
-2525.9902713693446,10.0
10116.426817603979,10.0
3491.6324704941144,9.0
-1428.6926293557478,10.0
-120.30409285974656,12.0
3862.583789802544,10.0
11528.290075061966,10.0
-4208.4926714595895,12.0
2056.8822033795195,10.0
6797.155406089764,10.0
5182.713542345606,10.0
7105.144165192007,10.0
5640.774558769839,10.0
6837.773151095449,9.0
-2291.258945573389,10.0
-1954.9941951851579,12.0
-3493.1502872143737,10.0
-8178.688951978636,12.0
7337.963313576706,9.0
4439.089933903569,9.0
9704.149133723502,8.0
1385.3333354925655,10.0
2232.0061498816412,10.0
-16222.076400892178,12.0
5614.275349358474,10.0
-8328.94742855412,12.0
8923.193960557835,9.0
202.98277484125128,12.0
-1445.2495489232033,10.0
7483.990396266965,9.0
3170.023595509796,10.0
-5800.975892878386,12.0
6560.162855797693,10.0
1165.5810024671764,10.0
2417.1618459071224,8.0
6848.366504668422,9.0
-955.0086573138396,10.0
-12881.037013264679,12.0
4940.759875921211,9.0
7766.198153790139,10.0
5979.843681212924,10.0
1447.8418517706214,10.0
6358.504916062309,10.0
-732.663985973199,9.0
-3597.1608908981166,10.0
558.1333711594327,8.0
-17924.72944744666,12.0
-821.8832392083327,8.0
-7565.013080276265,12.0
3102.898646807644,12.0
-405.5050323726573,12.0
7861.079960150175,8.0
