earn_x0_lc1vs0_iate,emplx1_1
23.78527665531658,1.0
-22.50828681940889,1.0
-22.601612232263022,3.0
-16.087916876895328,1.0
-6.1919856964122175,1.0
-5.552825662473424,1.0
-24.471484055019687,1.0
-8.032845525292473,1.0
-2.246078249687514,1.0
8.322979550908695,1.0
1.1924326635043485,1.0
-13.577385574935136,1.0
-49.51418056773085,1.0
-20.70744351553887,1.0
-37.7255884456215,1.0
-99.34538689358862,1.0
-20.416265855803772,1.0
7.5143400419796365,1.0
-23.492332296038796,1.0
-37.664103420173205,1.0
-48.69692444108318,1.0
-14.309769617743768,1.0
-12.019441379588017,1.0
-126.86582173377269,1.0
-45.529567160823206,1.0
-68.39780746469978,1.0
-1.5525405094400497,1.0
13.588847426484222,1.0
-7.978580304243565,1.0
-5.483599822904807,1.0
17.851289805601695,1.0
-90.24419529275735,1.0
-15.696515625834024,1.0
-41.47631303637661,1.0
-3.1150487975052457,2.0
12.707457374225072,1.0
-14.53631504753055,1.0
-10.5396161943154,1.0
10.082031911666894,1.0
-7.590198447384267,1.0
-17.735631854250727,1.0
-90.75435476857695,1.0
-24.808900890765187,1.0
-10.32519506318603,1.0
-131.83294644516104,1.0
26.64076422206979,1.0
-123.68731342853926,1.0
-15.306129075933768,1.0
3.5602461991422842,1.0
-65.69275096410843,1.0
-12.537893646453085,1.0
-93.49139060611333,1.0
-20.20504620042528,1.0
13.161769065211764,1.0
20.80116197197873,1.0
-26.17080608616829,1.0
-55.802123978159415,1.0
-14.946220208994447,1.0
-15.468169404355514,1.0
-16.115089949227155,3.0
-3.448112722697516,1.0
2.2849224926960687,1.0
-61.4752007074452,1.0
9.718157270027405,1.0
5.382679534768393,1.0
5.634064502767316,1.0
10.297376289350154,1.0
27.729066760331136,1.0
-48.53576416559628,1.0
-9.195977512400956,2.0
5.270941541251716,1.0
-19.80981954578715,1.0
14.143360292550465,1.0
-12.504267510507333,1.0
-61.41003918691098,1.0
-52.19811663740927,1.0
-0.8649235917726541,1.0
-28.41304017779862,1.0
-22.98555958796493,1.0
1.724201517918953,1.0
-74.74429398033817,1.0
-54.3766478200979,1.0
-4.9535900207475265,1.0
-61.71148548144504,1.0
0.28019519651680724,1.0
-19.414149937986807,1.0
-27.01703105987076,1.0
-22.552808693825625,1.0
27.455016923528888,1.0
-16.25573404749727,1.0
21.403605764849786,1.0
-20.09196142508845,1.0
-15.575769292967315,1.0
9.337599860441571,1.0
-6.202268429730111,1.0
11.09936174592788,1.0
37.74083034651292,1.0
0.3648775138140081,1.0
-46.39992585527784,1.0
12.506241369612269,1.0
-9.732903052976187,1.0
-70.36455133872164,1.0
-6.763382272416123,2.0
-14.56506235098999,1.0
-29.343713131197433,1.0
-57.12872745414029,1.0
69.5669080127877,1.0
-17.708142374198573,1.0
-6.868591009983987,1.0
-67.26275112293129,1.0
-38.82256982737432,1.0
-15.103329320538393,1.0
-0.8695016803977751,1.0
-5.7731077061948035,1.0
23.5595298997941,1.0
-16.48816726120691,1.0
-20.083293196920238,1.0
-16.458844366632196,1.0
-1.2745151540618576,1.0
-147.85259185306234,1.0
-41.02599306591384,3.0
28.7798194492565,1.0
6.9217178630114375,1.0
15.994012212478381,1.0
-4.599273143093569,1.0
7.196317403817062,1.0
-17.33989616206918,1.0
-27.697561869680015,1.0
-27.28051525695316,1.0
0.5362616650259895,1.0
-4.183667012685305,1.0
11.713737430877217,1.0
-37.45709157288218,1.0
-9.345823621815612,1.0
-16.305013694507522,1.0
15.587138744549895,1.0
-2.52874082067855,1.0
-0.8115576437217307,1.0
-99.23796811084878,1.0
-13.87740828076602,1.0
-27.378628216662097,1.0
-35.0647704866542,2.0
-56.66280284902416,1.0
-17.093917375254478,1.0
-12.050131334468645,1.0
-29.69682877943626,1.0
-77.12642479892628,2.0
-5.615677952437011,1.0
-1.2155391726343368,1.0
-23.261993355078516,1.0
-83.47090282572549,1.0
24.810059974442424,1.0
-5.233583190487025,1.0
-49.86986628515092,1.0
2.5317991765365377,1.0
1.2606955362352044,1.0
-2.2863704346416824,1.0
-50.11028996830156,1.0
-6.67454572774318,1.0
-51.42855276980245,3.0
-36.29503865410106,1.0
-8.63187389541244,1.0
-19.241427556559927,1.0
-0.4070919454629234,1.0
-22.84500532905558,1.0
-109.75377309630653,1.0
13.625178038162488,1.0
-59.22914899821694,1.0
-11.01402077567414,1.0
5.407440975849397,1.0
-52.43294722787951,2.0
-41.269139802205615,1.0
-74.05787398242535,1.0
-16.289759627445164,1.0
25.07770978205322,1.0
5.128205538217287,1.0
18.803656259913993,1.0
-11.598952509234778,1.0
-7.5530743727894105,1.0
-25.89166276324437,2.0
-21.712623166822368,1.0
-2.7113898093948166,1.0
7.652155955961717,1.0
11.949433123454924,1.0
54.52348153223454,1.0
-84.31950423064063,1.0
-32.641438388185584,1.0
-8.344657281425839,1.0
-69.44240772296058,1.0
-63.84715338048784,1.0
-81.05817001723369,2.0
-34.37355313557185,1.0
41.10438550103247,1.0
-26.489592567833782,1.0
7.9067299710008285,1.0
-163.50862215831012,1.0
10.586567276074078,1.0
-32.845321594117195,3.0
-8.514226864319312,3.0
-17.11075592807174,1.0
-9.728054184004662,1.0
-50.7107965541764,1.0
2.568874301738405,1.0
-7.1134515975787735,1.0
-41.280483630118056,1.0
24.486055844361772,1.0
-1.0440877980588965,1.0
-0.4732908286020887,1.0
9.746965892080098,1.0
-6.302617248676427,1.0
3.8113900849479645,1.0
-12.739666569549307,1.0
-63.5423406263331,1.0
6.941722805941918,1.0
-17.021900762210606,1.0
13.195784684640056,1.0
-37.679799231249945,1.0
-62.571931360799454,1.0
-43.43753802539379,1.0
-0.44476380052551434,1.0
27.43958313401879,1.0
-26.904218070412185,3.0
-6.499163887814007,1.0
-0.46382011254024746,1.0
-8.012847193947408,1.0
12.174912589039542,1.0
-17.212428070426768,1.0
-17.13017074797743,1.0
-5.277842369025516,1.0
-15.786993859209304,1.0
18.61555574503076,1.0
51.63789443466729,1.0
-5.253541910605172,1.0
0.7234908080222653,1.0
-23.901435365219925,1.0
-94.723743846599,1.0
-31.664504049622565,1.0
-18.85417675405935,1.0
-12.155401969407727,1.0
-16.329053538480508,1.0
-123.39874494407775,1.0
-13.041652560719335,1.0
-84.371038783681,1.0
-6.2671296356879225,1.0
-15.419380523347305,1.0
-22.28121960957217,1.0
3.1056082995784067,1.0
-12.363116880143963,1.0
-20.816464362889178,1.0
