earn_x0_lc2vs0_iate,olf_x0
402.61869073504147,56.0
366.0100724439353,85.0
163.8518999549147,51.0
296.89686479473323,54.0
176.4278736922687,38.0
520.9404115534439,83.0
389.0508508547497,52.0
314.98864408537213,12.0
160.44918410335296,39.0
181.1053914497443,14.0
87.15588390627511,71.0
87.00624820264386,41.0
185.5783285605771,62.0
79.79599521132161,17.0
297.9929767378393,67.0
137.46607725225033,1.0
247.31665372288555,16.0
157.71967612483422,31.0
447.7048995409559,54.0
390.13713693149646,40.0
259.00225868964753,6.0
46.50696629488766,56.0
172.91537985940738,44.0
245.9612133025576,47.0
252.56719883045682,26.0
344.4549021950641,59.0
364.08901457277244,63.0
217.19876985209783,15.0
198.31551701605414,59.0
122.17094534587318,38.0
301.4181478258839,32.0
67.08348904212573,57.0
315.3018547576386,27.0
84.64366400657397,33.0
200.12884786676256,57.0
67.49240935784307,21.0
199.1054902780786,42.0
241.07530876343623,18.0
269.14734737689673,68.0
7.555602283883104,30.0
400.1005354285779,41.0
132.99515649976325,30.0
-24.967151808784593,37.0
88.88604854023309,26.0
309.3232911041556,2.0
6.803231120547196,75.0
181.69455770506966,33.0
363.60250603239234,40.0
392.47704816335784,75.0
217.4648409051372,37.0
198.49686863041967,34.0
208.7559482436707,71.0
167.9478891268436,12.0
187.81554013011157,75.0
148.72327564199637,49.0
311.75524382163326,33.0
142.61480803941663,57.0
209.51868748524294,71.0
338.387729667707,54.0
221.38059597129808,35.0
65.34130368694866,9.0
124.51866729395871,24.0
422.9669392882884,14.0
133.86546316805394,81.0
313.66997541030685,47.0
340.4179413427343,31.0
228.61559251196803,38.0
311.5524664352671,44.0
463.0142686127832,23.0
125.0197672540038,26.0
158.16017258704585,63.0
222.48568765556837,41.0
115.6100756842153,69.0
313.96397046859516,55.0
18.66921270476908,29.0
229.65042773086665,7.0
197.771345164454,3.0
47.23410477642199,9.0
104.84165267656712,62.0
357.90698652512833,38.0
303.6996304248426,54.0
136.22639727804966,69.0
229.0580255014072,5.0
369.51649657820246,49.0
27.49908833161328,28.0
366.75151147316257,29.0
441.51364741509235,33.0
152.13491418642184,35.0
135.24382020303187,25.0
306.1772110215108,47.0
254.17728659383437,41.0
280.55004763435113,64.0
178.93274676602618,14.0
117.29114606225002,66.0
124.8665603515255,24.0
359.80794478110056,63.0
84.98544199086425,57.0
165.84306467943082,20.0
109.64503650781728,57.0
146.74019879848922,48.0
368.01530665870973,54.0
325.8495435417833,59.0
-26.361016166624893,71.0
116.33920930276079,58.0
317.8837612823156,65.0
505.6617235873639,38.0
-2.2733054729034734,14.0
234.67382534898525,47.0
244.43941967301612,38.0
381.57029569151484,14.0
125.6921243432688,28.0
185.4005322692725,18.0
67.71145622202295,69.0
140.69754329151453,57.0
426.222502511348,75.0
156.1653547449095,41.0
-30.27439747304868,82.0
105.42686062002,34.0
103.84252368528394,27.0
174.1130053566383,15.0
165.97991406161688,34.0
497.177163855852,57.0
153.08892373356437,58.0
94.79256953157926,45.0
290.4133318400806,28.0
97.27040452183832,75.0
192.86804834893394,43.0
342.696026950566,67.0
290.1987328032491,23.0
47.98883166490941,47.0
377.330470930885,75.0
240.09609706119426,76.0
107.82357832707424,47.0
149.47240411986186,43.0
15.824284030847934,58.0
42.682811049945485,36.0
381.9070795811854,42.0
178.49516117961394,11.0
140.19827262283036,15.0
78.30135617481835,26.0
122.29830008611549,5.0
200.01583776166478,30.0
223.99290645574288,23.0
88.74764315345824,21.0
453.92102781419123,11.0
163.69594761525258,23.0
317.4607551799055,43.0
142.45304812785145,48.0
240.41486042402988,54.0
354.92941692532486,2.0
-80.40801446225566,35.0
96.40326342945428,29.0
373.76938832674017,45.0
-59.77753456770467,26.0
264.86829740756673,12.0
321.38861178441243,83.0
27.361643489165544,65.0
138.6910328137334,62.0
77.29043950227617,72.0
376.9674999400562,14.0
44.98990574416166,63.0
90.53178378284409,33.0
139.12402871353356,7.0
284.1018261269279,64.0
294.3994760438756,82.0
164.227664018221,50.0
276.3745147857674,22.0
71.5737627660493,65.0
224.82759926436634,46.0
124.06332117077804,15.0
-3.503103128152901,53.0
197.1934933445655,34.0
311.4473962815957,40.0
351.15007823257105,57.0
310.2887340102926,6.0
298.5427843275675,63.0
193.74625331995443,46.0
85.99889046168056,75.0
324.4064517557798,70.0
188.20492577064624,64.0
267.7863228520638,23.0
186.40511540329322,43.0
295.0186030594172,76.0
150.49245747908873,9.0
123.7685095521474,27.0
198.1113572359581,56.0
216.38167101369817,17.0
154.05175586907302,42.0
223.3538506518871,15.0
127.62244080061942,62.0
-16.67260726254642,62.0
263.4214774023095,21.0
237.05686356747592,58.0
319.35336451845245,24.0
210.36195063498548,49.0
211.8159861735437,60.0
34.73659537463459,57.0
183.64189624327182,13.0
475.9596437447233,38.0
225.55191062487262,32.0
143.35363454996082,31.0
203.87726225451138,46.0
336.0380317445515,22.0
71.27023489963828,42.0
336.41373030434033,11.0
192.2331361821383,4.0
323.5100640329045,32.0
66.14385443246476,22.0
48.0759062747469,27.0
237.22214163584854,44.0
224.2300844841237,22.0
167.06868814064558,34.0
243.38074461799204,4.0
262.6788761646626,69.0
42.288277501986954,60.0
289.9153737977954,23.0
158.13815484926295,20.0
204.39212571333167,16.0
189.26759548031725,5.0
163.14532087801172,17.0
205.8023699402297,14.0
337.0323285105784,35.0
152.69444632259572,22.0
217.49139572827912,71.0
216.7414417073485,52.0
39.63719786622195,32.0
176.68858473917123,46.0
-32.94649220523536,59.0
147.92317840952643,42.0
169.38007554215886,56.0
61.23010305330814,23.0
260.87605613116574,72.0
184.8306107685978,43.0
118.91284411570794,11.0
238.87017216343514,14.0
312.66501949880205,44.0
37.06046026757895,33.0
29.96109019965263,58.0
381.2286849050996,40.0
-9.934125489194315,35.0
356.98339036331265,39.0
308.66857471541516,43.0
101.62522545763358,71.0
458.98010257883254,19.0
7.6330414484534685,54.0
147.70773059014766,74.0
160.31698394662203,37.0
113.44610150790699,79.0
87.73524788753241,33.0
129.81067409332775,19.0
100.10909237817549,54.0
134.34301242511066,53.0
203.35729308697412,21.0
23.93789901377886,58.0
-21.69749025848199,45.0
192.3801330750312,26.0
209.73385758212606,21.0
217.2712668035835,12.0
267.73074313399377,37.0
66.06349788712629,38.0
166.99474098445836,67.0
168.16986550120794,28.0
173.6546887475015,54.0
283.04755389007363,41.0
88.92437474174974,39.0
145.57563156631,45.0
192.15824729038204,21.0
