earn_x0_lc2vs0_iate,age
126.63122253894579,34.0
36.851058608103585,44.0
3.2939705960494052,42.0
16.663052189337847,47.0
17.756163344088158,46.0
25.349303371850283,48.0
20.031667744862673,37.0
14.665438964788706,44.0
17.340316273156475,45.0
14.412969131303726,35.0
13.343480530266376,34.0
-5.434673696521656,46.0
-38.604641355196065,49.0
-15.060706845706733,49.0
-23.061523511219605,47.0
-117.11821364081084,46.0
26.786091136754237,38.0
24.38561756209655,41.0
-1.9818873958425343,48.0
4.759819238263162,30.0
-0.611707137283247,35.0
-11.587332542510694,42.0
36.012409265116474,40.0
-110.37055273629085,38.0
8.012231588521843,46.0
-35.12077191671426,45.0
19.85969005527008,34.0
59.38322803541354,34.0
98.07238597100957,40.0
34.609973001821345,37.0
30.211875158493626,47.0
-67.68768149015216,33.0
9.384158650703519,41.0
11.115965170351998,48.0
0.7897519258528298,40.0
30.23233911056319,46.0
6.379767042568787,45.0
3.526360030370501,41.0
17.065418529725953,37.0
-1.7942470498055059,49.0
-16.060414825233494,50.0
-98.42071454770678,38.0
12.182750473168923,44.0
24.715104756757086,43.0
-160.72113579895506,48.0
36.107025566404374,36.0
-70.4984120113212,37.0
-34.14123583226308,41.0
77.39537477034867,45.0
-40.58021004129023,36.0
95.70769803343683,46.0
-73.37095489028775,50.0
-29.997068883810844,48.0
40.671644820127476,40.0
27.604607457646054,33.0
-3.827903433471036,31.0
-11.477810278325705,34.0
14.86371916674473,39.0
-0.8153192997331006,45.0
27.032615414878023,36.0
18.338001523176302,38.0
66.05265916571886,33.0
-61.33277569958511,50.0
6.449322407813327,45.0
20.202807603591143,47.0
10.112949415408288,45.0
93.16393635530983,33.0
19.02922352732628,31.0
-9.463404169081628,47.0
8.649489412010023,43.0
22.788394707578618,34.0
-5.964063693285539,35.0
32.301224803097,41.0
4.14022289590136,40.0
-12.078519619490237,42.0
-33.25322795490604,42.0
-13.238935112463878,49.0
-9.044096711074275,46.0
61.29091860278771,37.0
14.256663958510561,31.0
-82.55581988783865,48.0
-7.833226506750293,32.0
9.209651366864222,31.0
-67.39917161861854,41.0
-0.8495124471176396,49.0
-16.28390432171426,49.0
56.79847562223995,36.0
-86.68557585288363,44.0
128.31599402639245,33.0
74.45125976857696,32.0
29.579005782174704,30.0
8.627148796600345,47.0
15.106940043795518,48.0
21.171737295645187,45.0
56.52278873532617,35.0
44.23262415966977,32.0
14.440912917838972,32.0
19.530438472453028,46.0
31.52022100882391,40.0
12.56093992570662,31.0
27.327175131658805,36.0
-16.852546906613725,34.0
46.90844227208305,50.0
31.070515226489647,41.0
71.74023229522408,36.0
-31.17755481679893,35.0
17.539895070996092,45.0
1.3472319527246839,40.0
26.93357076522375,30.0
-84.47870284392377,47.0
7.517283054424652,48.0
11.749996803636606,46.0
42.14878507604544,31.0
16.34909456033701,40.0
35.822640343360504,48.0
-31.26384696477413,31.0
15.113817338591073,36.0
-6.81813690325486,39.0
9.38861683436375,43.0
-148.03955003133478,36.0
9.565360201169554,43.0
26.737962524838697,36.0
9.397544459265433,32.0
24.262100309110238,30.0
12.316616284631166,35.0
19.232498130378318,34.0
-88.12004424480415,44.0
2.0503146721005763,49.0
-0.4994258315312976,48.0
39.34592945821605,46.0
-7.151925128628079,37.0
-5.840355140227182,37.0
-25.277867031901224,49.0
-10.315744108231456,34.0
20.080278170550514,43.0
5.9241414383821684,35.0
37.314424384626754,45.0
2.161141916816252,42.0
-164.2842156440022,47.0
9.798774708563997,43.0
16.08685651069001,47.0
79.49917622573969,42.0
-29.250477233801462,37.0
16.987457572130353,35.0
30.783764846949992,38.0
31.228961994840347,39.0
-111.60136440537872,34.0
26.956774800012226,31.0
3.241001805669045,45.0
-32.26308600478569,46.0
-72.06288805786306,42.0
70.17981092125422,41.0
5.783025747578392,30.0
-172.3706852473424,49.0
14.003034135909957,50.0
-1.3331802576377823,33.0
7.1421687735626165,48.0
-14.725225137434279,45.0
14.294845597587823,46.0
5.148047366157414,47.0
-148.37216855535746,50.0
5.40921207688956,36.0
-23.849820291527408,31.0
28.87431080269465,43.0
3.04929678465669,48.0
-80.5555500054752,33.0
9.097249068963478,39.0
-14.728051416560902,31.0
38.604021799691054,46.0
11.32606774073679,44.0
33.905269781291196,48.0
7.852918796814123,35.0
-84.98886463500935,42.0
16.50722871918964,45.0
12.367795011703393,36.0
-30.434113135299242,50.0
23.970299250285365,38.0
14.986801681553032,35.0
-1.3203089791530829,38.0
58.605642890826346,48.0
20.57395635434989,40.0
37.51281457265519,46.0
7.257945106336578,46.0
58.288132107609556,32.0
95.85439295132073,40.0
-53.052028230159294,44.0
9.400764493027495,40.0
14.818125126582629,50.0
-38.59489041775652,47.0
-60.060090376692415,39.0
-79.13820248148863,40.0
-3.49793637748769,35.0
