earn_x0_lc2vs0_iate,empl_x0
402.61869073504147,41.0
366.0100724439353,19.0
163.8518999549147,65.0
296.89686479473323,58.0
176.4278736922687,60.0
520.9404115534439,35.0
389.0508508547497,48.0
314.98864408537213,86.0
160.44918410335296,68.0
181.1053914497443,95.0
87.15588390627511,28.0
87.00624820264386,72.0
185.5783285605771,35.0
79.79599521132161,89.0
297.9929767378393,46.0
137.46607725225033,100.0
247.31665372288555,90.0
157.71967612483422,77.0
447.7048995409559,44.0
390.13713693149646,56.0
259.00225868964753,98.0
46.50696629488766,42.0
172.91537985940738,63.0
245.9612133025576,50.0
252.56719883045682,92.0
344.4549021950641,38.0
364.08901457277244,36.0
217.19876985209783,103.0
198.31551701605414,58.0
122.17094534587318,70.0
301.4181478258839,65.0
67.08348904212573,53.0
315.3018547576386,70.0
84.64366400657397,78.0
200.12884786676256,61.0
67.49240935784307,94.0
199.1054902780786,71.0
241.07530876343623,79.0
269.14734737689673,45.0
7.555602283883104,80.0
400.1005354285779,60.0
132.99515649976325,78.0
-24.967151808784593,64.0
88.88604854023309,91.0
309.3232911041556,106.0
6.803231120547196,41.0
181.69455770506966,71.0
363.60250603239234,70.0
392.47704816335784,32.0
217.4648409051372,62.0
198.49686863041967,68.0
208.7559482436707,47.0
167.9478891268436,105.0
187.81554013011157,25.0
148.72327564199637,47.0
311.75524382163326,67.0
142.61480803941663,62.0
209.51868748524294,28.0
338.387729667707,53.0
221.38059597129808,66.0
65.34130368694866,97.0
124.51866729395871,79.0
422.9669392882884,105.0
133.86546316805394,17.0
313.66997541030685,65.0
340.4179413427343,81.0
228.61559251196803,78.0
311.5524664352671,66.0
463.0142686127832,91.0
125.0197672540038,71.0
158.16017258704585,56.0
222.48568765556837,61.0
115.6100756842153,37.0
313.96397046859516,57.0
18.66921270476908,72.0
229.65042773086665,97.0
197.771345164454,98.0
47.23410477642199,109.0
104.84165267656712,48.0
357.90698652512833,82.0
303.6996304248426,50.0
136.22639727804966,49.0
229.0580255014072,92.0
369.51649657820246,51.0
27.49908833161328,87.0
366.75151147316257,77.0
441.51364741509235,85.0
152.13491418642184,71.0
135.24382020303187,84.0
306.1772110215108,53.0
254.17728659383437,69.0
280.55004763435113,46.0
178.93274676602618,93.0
117.29114606225002,37.0
124.8665603515255,89.0
359.80794478110056,47.0
84.98544199086425,61.0
165.84306467943082,83.0
109.64503650781728,61.0
146.74019879848922,63.0
368.01530665870973,54.0
325.8495435417833,49.0
-26.361016166624893,36.0
116.33920930276079,50.0
317.8837612823156,42.0
505.6617235873639,70.0
-2.2733054729034734,84.0
234.67382534898525,62.0
244.43941967301612,64.0
381.57029569151484,97.0
125.6921243432688,73.0
185.4005322692725,85.0
67.71145622202295,40.0
140.69754329151453,51.0
426.222502511348,35.0
156.1653547449095,56.0
-30.27439747304868,28.0
105.42686062002,65.0
103.84252368528394,79.0
174.1130053566383,95.0
165.97991406161688,75.0
497.177163855852,61.0
153.08892373356437,39.0
94.79256953157926,65.0
290.4133318400806,72.0
97.27040452183832,41.0
192.86804834893394,59.0
342.696026950566,43.0
290.1987328032491,76.0
47.98883166490941,55.0
377.330470930885,34.0
240.09609706119426,32.0
107.82357832707424,70.0
149.47240411986186,63.0
15.824284030847934,42.0
42.682811049945485,69.0
381.9070795811854,55.0
178.49516117961394,92.0
140.19827262283036,94.0
78.30135617481835,90.0
122.29830008611549,91.0
200.01583776166478,88.0
223.99290645574288,94.0
88.74764315345824,76.0
453.92102781419123,102.0
163.69594761525258,76.0
317.4607551799055,76.0
142.45304812785145,53.0
240.41486042402988,46.0
354.92941692532486,99.0
-80.40801446225566,70.0
96.40326342945428,78.0
373.76938832674017,61.0
-59.77753456770467,77.0
264.86829740756673,93.0
321.38861178441243,15.0
27.361643489165544,54.0
138.6910328137334,40.0
77.29043950227617,40.0
376.9674999400562,87.0
44.98990574416166,44.0
90.53178378284409,81.0
139.12402871353356,96.0
284.1018261269279,48.0
294.3994760438756,24.0
164.227664018221,50.0
276.3745147857674,91.0
71.5737627660493,49.0
224.82759926436634,56.0
124.06332117077804,98.0
-3.503103128152901,53.0
197.1934933445655,69.0
