grid,density
-176.39543667627436,2.067173932593967e-05
-176.08110564802638,2.000360756792662e-05
-175.7667746197784,1.968126740157506e-05
-175.4524435915304,2.027989921510638e-05
-175.13811256328242,2.080911474209085e-05
-174.82378153503444,2.126891398252851e-05
-174.50945050678644,2.165929693641939e-05
-174.19511947853846,2.1980263603763424e-05
-173.88078845029048,2.2231813984560644e-05
-173.5664574220425,2.2413948078811063e-05
-173.25212639379453,2.2526665886514674e-05
-172.93779536554652,2.2569967407671474e-05
-172.62346433729854,2.2543852642281457e-05
-172.30913330905054,2.244832159034463e-05
-171.99480228080256,2.2283374251860994e-05
-171.68047125255458,2.2049010626830557e-05
-171.3661402243066,2.1745230715253298e-05
-171.05180919605863,2.1372034517129238e-05
-170.73747816781062,2.0929422032458333e-05
-170.42314713956264,2.0417393261240648e-05
-170.10881611131467,1.9835948203476158e-05
-169.79448508306666,1.983282453891465e-05
-169.48015405481868,2.0509549674811093e-05
-169.1658230265707,2.1151566667434122e-05
-168.85149199832273,2.1758875516783747e-05
-168.53716097007472,2.2331476222860022e-05
-168.22282994182675,2.2869368785662836e-05
-167.90849891357877,2.3372553205192253e-05
-167.59416788533076,2.38410294814483e-05
-167.27983685708278,2.4274797614430895e-05
-166.9655058288348,2.4673857604140093e-05
-166.65117480058683,2.503820945057589e-05
-166.33684377233882,2.5367853153738306e-05
-166.02251274409085,2.566278871362729e-05
-165.70818171584287,2.592301613024287e-05
-165.39385068759486,2.6148535403585054e-05
-165.0795196593469,2.633934653365383e-05
-164.7651886310989,2.6495449520449187e-05
-164.45085760285093,2.6616844363971148e-05
-164.13652657460295,2.7986953253585872e-05
-163.82219554635495,2.935175689042928e-05
-163.50786451810697,3.064714424072574e-05
-163.19353348985896,3.187311530447551e-05
-162.879202461611,3.302967008167836e-05
-162.564871433363,3.411680857233439e-05
-162.25054040511503,3.513453077644362e-05
-161.93620937686705,3.6082836694006055e-05
-161.62187834861905,3.6961726325021734e-05
-161.30754732037107,3.7817349356436284e-05
-160.9932162921231,3.990213289748427e-05
-160.6788852638751,4.1882792008712204e-05
-160.3645542356271,4.375932669011973e-05
-160.05022320737913,4.617220194542676e-05
-159.73589217913116,4.916998494025137e-05
-159.42156115088315,5.202893536198262e-05
-159.10723012263517,5.474905321061998e-05
-158.7928990943872,5.733033848616372e-05
-158.4785680661392,5.977279118861405e-05
-158.1642370378912,6.207641131797055e-05
-157.84990600964323,6.424119887423344e-05
-157.53557498139526,6.62671538574027e-05
-157.22124395314728,6.815427626747835e-05
-156.90691292489927,7.055352036948883e-05
-156.5925818966513,7.349220447270192e-05
-156.2782508684033,7.699694978178047e-05
-155.9639198401553,8.09154924550691e-05
-155.64958881190734,8.462578626871735e-05
-155.33525778365936,8.812783122272511e-05
-155.02092675541138,9.142162731709252e-05
-154.70659572716337,9.45071745518197e-05
-154.3922646989154,9.738447292690624e-05
-154.07793367066742,0.00010005352244235232
-153.76360264241941,0.0001025143230981582
-153.44927161417144,0.00010476687489432339
-153.13494058592346,0.00010681117783084822
-152.82060955767548,0.00010864723190773257
-152.50627852942748,0.00011027503712497663
-152.1919475011795,0.00011169459348258016
-151.87761647293152,0.00011290590098054324
-151.56328544468352,0.00011390895961886595
-151.24895441643554,0.00011470376939754818
-150.93462338818756,0.00011628741121781627
-150.62029235993958,0.00011807148673772551
-150.3059613316916,0.0001196820215412677
-149.9916303034436,0.00012111901562844299
-149.67729927519562,0.00012238246899925115
-149.36296824694762,0.00012347238165369236
-149.04863721869964,0.00012438875359176642
-148.73430619045166,0.0001251315848134735
-148.41997516220368,0.00012570087531881352
-148.1056441339557,0.00012609662510778657
-147.7913131057077,0.0001263188341803926
-147.47698207745972,0.00012636750253663154
-147.16265104921175,0.00012693640967057198
-146.84832002096374,0.00012796611915969386
-146.53398899271576,0.00012878757978917517
-146.21965796446779,0.00012940079155901612
-145.9053269362198,0.00012980575446921658
-145.5909959079718,0.00013118039862413294
-145.27666487972382,0.00013338388847486678
-144.96233385147585,0.00013663372364987593
-144.64800282322784,0.00014006362205891114
-144.33367179497986,0.00014318114717848537
-144.0193407667319,0.00014667489047398677
-143.7050097384839,0.0001508932703306198
-143.39067871023593,0.00015598725593135975
-143.07634768198793,0.00016175381251727752
-142.76201665373995,0.00016835165123898308
-142.44768562549194,0.0001745989671508195
-142.13335459724397,0.00018113879082264005
-141.819023568996,0.00018781052884856193
-141.504692540748,0.00019399635286865613
-141.19036151250003,0.00019969626288292264
-140.87603048425203,0.00020491025889136203
-140.56169945600405,0.00020963834089397313
-140.24736842775604,0.000213880508890757
-139.93303739950807,0.00021763676288171288
-139.6187063712601,0.00022145187869779557
-139.3043753430121,0.00022733181895395627
-138.99004431476413,0.0002346616385058296
-138.67571328651616,0.00024241574672793546
-138.36138225826815,0.00025036806025799174
-138.04705123002017,0.00025869706021142824
-137.73272020177217,0.0002693555627857226
-137.4183891735242,0.0002794498661877037
-137.1040581452762,0.000288850006724217
-136.78972711702824,0.00029755598439526205
-136.47539608878026,0.00030622404677230105
-136.16106506053225,0.0003152119507216108
-135.84673403228427,0.0003254102321734691
-135.53240300403627,0.0003363495541683935
-135.2180719757883,0.00034823362610596795
-134.9037409475403,0.0003595015172869697
-134.58940991929234,0.00037004053745922976
-134.27507889104436,0.0003798506866227483
-133.96074786279635,0.00038977920966057626
-133.64641683454838,0.00039945577471180524
-133.33208580630037,0.0004083687606110202
-133.0177547780524,0.0004165181673582193
-132.70342374980441,0.0004239039949534035
-132.38909272155644,0.00043151071000067514
-132.07476169330846,0.00044131191401232926
-131.76043066506048,0.0004504169242110147
-131.44609963681248,0.0004600915743955819
-131.13176860856447,0.00047020912293103495
-130.8174375803165,0.00048237606018804955
-130.50310655206852,0.0004940826495422509
-130.18877552382054,0.0005058496706618963
-129.87444449557256,0.0005189851022410362
-129.56011346732458,0.0005315806603902226
-129.24578243907658,0.0005437519494291055
-128.9314514108286,0.0005570720000020222
-128.6171203825806,0.0005693607008941392
-128.30278935433262,0.0005806081574880528
-127.98845832608464,0.0005908143697837644
-127.67412729783665,0.0005999793377812744
-127.35979626958867,0.0006081030614805815
-127.04546524134068,0.0006151855408816872
