earn_x0_lc1vs0_iate,empl_x0
23.785276655316352,41.0
-22.50828681940891,19.0
-22.60161223226305,65.0
-16.087916876895356,58.0
-6.191985696412242,60.0
-5.55282566247331,72.0
-24.4714840550198,35.0
-8.032845525292458,48.0
-2.2460782496876845,86.0
8.322979550908645,68.0
1.192432663504377,95.0
-13.57738557493525,28.0
-49.514180567731046,72.0
-20.70744351553887,54.0
-37.72558844562158,35.0
-99.34538689358874,89.0
-20.416265855803772,46.0
7.514340041979516,100.0
-23.49233229603891,90.0
-37.664103420173376,77.0
-48.69692444108341,44.0
-14.309769617743768,56.0
-12.019441379588073,98.0
-126.86582173377258,42.0
-45.529567160823206,63.0
-68.39780746469978,50.0
-1.5525405094400782,92.0
13.588847426484108,38.0
-7.978580304243792,36.0
-5.483599822904864,103.0
17.85128980560158,58.0
-90.24419529275747,70.0
-15.696515625834031,65.0
-41.47631303637668,53.0
-3.1150487975053274,70.0
12.707457374224987,78.0
-14.536315047530522,61.0
-10.539616194315492,94.0
10.082031911666897,71.0
-7.590198447384282,79.0
-17.73563185425084,45.0
-90.75435476857672,80.0
-24.80890089076523,60.0
-10.32519506318614,78.0
-131.83294644516116,64.0
26.64076422206964,91.0
-123.68731342853914,106.0
-15.306129075933768,41.0
3.5602461991421706,71.0
-65.69275096410865,70.0
-12.537893646453085,32.0
-93.49139060611333,62.0
-20.20504620042535,68.0
13.161769065211669,47.0
20.801161971978615,105.0
-26.170806086168312,25.0
-55.80212397815964,47.0
-14.946220208994504,67.0
-15.468169404355558,62.0
-16.115089949227183,28.0
-3.4481127226976582,53.0
2.284922492695955,66.0
-61.47520070744508,97.0
9.718157270027461,79.0
5.382679534768361,105.0
5.6340645027672025,17.0
10.297376289349927,65.0
27.729066760331023,81.0
-48.53576416559633,78.0
-9.195977512401004,66.0
5.270941541251489,91.0
-19.80981954578732,71.0
14.143360292550394,56.0
-12.504267510507276,61.0
-61.41003918691109,37.0
-52.198116637409385,57.0
-0.8649235917727118,72.0
-28.413040177798678,97.0
-22.98555958796487,98.0
1.7242015179188703,109.0
-74.74429398033828,48.0
-54.376647820098015,82.0
-4.953590020747555,50.0
-61.711485481445095,49.0
0.2801951965167575,92.0
-19.414149937986863,54.0
-27.017031059870988,51.0
-22.552808693825625,87.0
27.455016923528888,77.0
-16.2557340474973,85.0
21.403605764849658,71.0
-20.091961425088524,51.0
-15.575769292967337,84.0
9.337599860441458,53.0
-6.202268429730168,46.0
11.099361745927787,93.0
37.74083034651278,37.0
0.3648775138139797,89.0
-46.39992585527801,47.0
12.506241369612127,61.0
-9.732903052976342,83.0
-70.3645513387217,61.0
-6.763382272416138,63.0
-14.565062350990019,54.0
-29.343713131197433,49.0
-57.12872745414046,36.0
69.56690801278764,50.0
-17.708142374198587,42.0
-6.868591009984129,70.0
-67.26275112293143,84.0
-38.822569827374366,62.0
-15.103329320538364,64.0
