empl_ttl_lc2vs0_iate,age
-8.520648196382673,34.0
-9.036513960348046,44.0
-11.027773318354884,42.0
-10.848264449380427,47.0
-9.21650221798034,46.0
-10.240856190244775,48.0
-9.725046360586145,37.0
-9.938630770402966,44.0
-9.913164399056683,45.0
-10.384701992095362,35.0
-12.35703702519145,34.0
-10.206003305037905,46.0
-10.336910455060144,49.0
-10.084121869868143,49.0
-8.57793623589498,47.0
-9.189087976506789,46.0
-10.517601117325048,38.0
-11.851816466179356,41.0
-10.195639754351077,48.0
-11.859182022907174,30.0
-10.81232871119416,35.0
-9.660448430618596,42.0
-11.43371924959742,40.0
-9.931826079819142,38.0
-9.629763409224312,46.0
-9.30756712552746,45.0
-11.09519707280143,34.0
-10.193717574721898,34.0
-9.644149294128837,40.0
-12.197905925355364,37.0
-9.19903107632146,47.0
-9.709522015720562,33.0
-9.14993085073568,41.0
-10.246272495497909,48.0
-9.433105520454761,40.0
-11.694647948666105,46.0
-9.658495738053084,45.0
-11.272177264526704,41.0
-10.997258730813522,37.0
-9.896400354963323,49.0
-9.110285730342847,50.0
-9.195455312792545,38.0
-9.923578455317159,44.0
-10.166569676919792,43.0
-10.221938147931361,48.0
-9.645664771620027,36.0
-10.892739424930184,37.0
-8.889015773942447,41.0
-9.850789041142534,45.0
-9.849731472238828,36.0
-9.473503196280683,46.0
-10.899028343915301,50.0
-10.1746247162341,48.0
-10.200970269729648,40.0
-11.01270215324514,33.0
-8.91894469940708,31.0
-12.568795042857769,34.0
-9.4218358786568,39.0
-9.757775059995858,45.0
-10.1421925883794,36.0
-10.203073547533272,38.0
-10.384217787089623,33.0
-8.769977288930122,50.0
-10.119649571597561,45.0
-9.909160025655645,47.0
-10.252262104664542,45.0
-9.721356317654827,33.0
-9.461787390242426,31.0
-9.840602584946117,47.0
-9.509233593680545,43.0
-9.907832384522505,34.0
-12.035366856823707,35.0
-9.67219695674288,41.0
-9.702311541182748,40.0
-10.157645570391917,42.0
-10.354063568541932,42.0
-9.840356491401145,49.0
-10.789384180048387,46.0
-10.492377888830074,37.0
-12.92503242542784,31.0
-10.736164896877035,48.0
-10.3160545963501,32.0
-8.153613023544457,31.0
-10.055940317757285,41.0
-9.427374998052786,49.0
-10.121700859929309,49.0
-9.629959329284103,36.0
-12.370405682234214,44.0
-9.459626785566492,33.0
-9.753075045881447,32.0
-10.998309657816325,30.0
-10.5236644558253,47.0
-9.621047811319128,48.0
-9.448364762468906,45.0
-10.577199773266319,35.0
-11.960123499908063,32.0
-9.446066246066291,32.0
-10.57145580949983,46.0
-9.996614347794411,40.0
-9.443048800394221,31.0
-11.001752564168724,36.0
-10.668446763813105,34.0
-10.011057218589505,50.0
-8.428429536592514,41.0
-10.438100915285943,36.0
-11.030835377331124,35.0
-10.621612861922124,45.0
-9.728779524226058,40.0
-9.89604588781933,30.0
-12.560974413090882,47.0
-9.588746663009614,48.0
-10.080868281245316,46.0
-10.458322574945484,31.0
-11.760905447335789,40.0
-11.095523206858587,48.0
-9.017471192249786,31.0
-9.61967810906311,36.0
-8.888460249681081,39.0
-9.725023991346584,43.0
-9.223526953560905,36.0
-9.816592033588343,43.0
-10.168953910915132,36.0
-12.777593094882313,32.0
-10.946109751742318,30.0
-9.81864233063424,35.0
-9.20604145695558,34.0
-12.174833274821353,44.0
-8.727100680617012,49.0
-10.13833918351474,48.0
-9.876879346001232,46.0
-10.098750870818735,37.0
-11.482464156191416,37.0
-9.36664555807634,49.0
-8.882778296244648,34.0
-9.491075591425286,43.0
-9.773661529379572,35.0
-10.806979095629483,45.0
-11.502484371212766,42.0
-10.820756766692915,47.0
-9.36303577799761,43.0
-11.090329675143817,47.0
-10.566436276298457,42.0
-12.373428021172355,37.0
-9.828773552568743,35.0
-9.632346997587275,38.0
-9.99944994107756,39.0
-12.471106491651504,34.0
-10.229312508183632,31.0
-10.87864092859638,45.0
-9.02126843339164,46.0
-11.029485251422436,42.0
-9.397521856454375,41.0
-9.155591950998469,30.0
-11.023932103741574,49.0
-9.396471513935985,50.0
-9.205618277247035,33.0
-9.964954190713566,48.0
-10.716810416266659,45.0
-10.123332432491273,46.0
-9.200909757716554,47.0
-9.792386472748367,50.0
-10.269910985776223,36.0
-8.796766366474326,31.0
-10.18980652394047,43.0
-9.707114129850378,48.0
-9.811818881657667,33.0
-9.590029593766667,39.0
-12.163348331632665,31.0
-9.626638301955285,46.0
-10.275839982642612,44.0
-10.584206704675292,48.0
-9.92929785273191,35.0
-9.3801771920225,42.0
-10.792492469547005,45.0
-8.488964044793173,36.0
-9.929976957334661,50.0
-10.245445066130117,38.0
-9.710914159450242,35.0
-10.16837791285629,38.0
-10.846009148558688,48.0
-9.175507122345785,40.0
-11.084580025927547,46.0
-10.393545648955406,46.0
-8.906668990916799,32.0
-9.545397255610915,40.0
-11.350070919132278,44.0
-11.197821078092343,40.0
-9.78297510397784,50.0
-9.544021756433812,47.0
-11.638677212620133,39.0
-11.257170035861432,40.0
-10.916084727332322,35.0
-11.292630191892869,47.0
-10.996237073413829,40.0
-9.699770107359642,45.0
-9.826246106728401,50.0
-10.452878712385223,43.0
-9.708460969490758,38.0
-9.285266191947777,40.0
-9.319065296932298,44.0
-9.551053387718753,41.0
-10.131757011917648,50.0
-10.695010362797136,38.0
-9.29782372688057,32.0
-9.958603238914307,44.0
-10.981752971820377,43.0
-9.785313117857454,46.0
-10.475753736385265,30.0
-9.584577915525891,41.0
-10.370812448110561,36.0
-11.521581612436446,48.0
-10.576285360919034,50.0
-12.921362579643823,30.0
-9.583987832081535,39.0
-9.110697986254165,50.0
-10.101621556293546,34.0
-10.275016041914846,44.0
-10.881973324723234,40.0
-9.786187123820554,48.0
-11.1305212576761,47.0
-9.831910338742563,43.0
-10.882095157604024,47.0
-9.426007077340014,37.0
-10.855950374187795,34.0
-10.100272999496665,42.0
-11.352679805154512,33.0
-10.043606923205123,34.0
-11.416687553915487,37.0
-9.876606690650842,42.0
-8.686414258739367,38.0
-9.387966518471234,31.0
-10.310051634190936,35.0
-10.06756478366998,42.0
-10.283005778805665,48.0
-9.074673250538655,32.0
-10.07619775170983,47.0
-9.25391335757113,47.0
-9.20891361421348,49.0
-11.838007529937185,41.0
-10.355450107862534,41.0
-10.882256156970257,32.0
-11.599134400987776,44.0
-10.956718835123768,45.0
-8.773155838294903,42.0
-10.056960333016852,47.0
-9.569463491992925,34.0
-11.096242117707009,33.0
-10.099588792905472,46.0
-9.969386909641822,30.0
-10.48560540461744,50.0
-9.383035955681795,32.0
-9.602047212601535,34.0
-9.000896078248338,48.0
-9.38432372653106,42.0
