upper,effects,lower,ate,ate_l,ate_u
-32018.4399395674,-40664.73908065901,-49311.03822175063,-27914.231731401036,-25946.026365519847,-29882.437097282225
-32006.047107974548,-40633.93778222703,-49261.82845647952,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31987.61472718321,-40603.24606412766,-49218.87740107212,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31965.220436548756,-40574.56884689364,-49183.91725723853,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31948.79099806033,-40546.531659662665,-49144.272321265,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31944.879148468397,-40518.895372740175,-49092.91159701195,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31916.701067965743,-40491.06394133427,-49065.426814702805,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31892.781542790224,-40463.55652772831,-49034.331512666395,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31864.9315122052,-40438.1087807303,-49011.286049255395,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31837.114240026047,-40412.934740278455,-48988.75524053087,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31793.81381382755,-40388.57323178602,-48983.33264974448,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31771.82563297388,-40363.31724223127,-48954.80885148866,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31754.732442529526,-40338.38856451367,-48922.044686497815,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31736.04162474067,-40313.48171139192,-48890.92179804317,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31717.096069940206,-40289.96041337867,-48862.824756817135,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31690.439289067326,-40267.17437213875,-48843.90945521017,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31665.958627034794,-40244.729219084584,-48823.499811134374,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31650.68272233768,-40222.56341446597,-48794.44410659427,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31621.24768806521,-40200.563741701924,-48779.87979533864,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31613.2380269782,-40178.45711528041,-48743.676203582625,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31589.995530695996,-40156.14769015484,-48722.29984961368,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31563.034513809383,-40134.48783557722,-48705.94115734506,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31551.620284135985,-40114.86507945911,-48678.10987478223,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31541.44156639414,-40095.26121261378,-48649.080858833426,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31528.590233193125,-40075.14202657065,-48621.69381994817,-27914.231731401036,-25946.026365519847,-29882.437097282225
-31503.377635801276,-40055.052823912956,-48606.728012024636,-27914.231731401036,-25946.026365519847,-29882.437097282225
