empl_chge_lc1vs0_iate,olf_x0
0.19348226718683503,56.0
-0.6561314834979083,85.0
-0.84494281868543,51.0
0.945692841418351,54.0
-1.0064907230465774,38.0
0.5348488850662148,28.0
-0.17750663801513133,83.0
-0.5012945001812743,52.0
0.5140829216959502,12.0
0.28396070907677595,39.0
1.3832264855414242,14.0
-0.8769711535691751,71.0
-0.20315471068873964,41.0
-0.30900037196505603,51.0
-0.6885925620519506,62.0
-1.2742951940684368,17.0
-0.013785470693807866,67.0
0.7669310625337044,1.0
0.6112494780097184,16.0
0.6735771192693415,31.0
1.0389574174377803,54.0
-0.13201401606238844,40.0
1.759654190162267,6.0
-1.1551552381266537,56.0
-1.2779368405702924,44.0
-1.2282012228479373,47.0
1.1030083464080185,26.0
2.2366299789057447,59.0
-0.19474240830381317,63.0
0.7004783076462677,15.0
-0.5795729727442487,59.0
-0.7740850018451025,38.0
0.2556931532509614,32.0
-0.7456553522870846,57.0
-0.37347974753997915,27.0
0.7769388974168199,33.0
-0.7652187664344375,57.0
-0.07621465039704661,21.0
1.5318977829809315,42.0
-0.4464310376354319,18.0
-0.5853448782456725,68.0
-1.28401740963856,30.0
-0.21566380838760535,41.0
-0.4340267573781114,30.0
-0.31346775306921404,37.0
-0.44239693323754126,26.0
-0.20932286758749127,2.0
-0.6587384725625713,75.0
-0.07349412323191945,33.0
-0.9997574944937051,40.0
-0.254379047303225,75.0
0.2857753351560003,37.0
0.9832261792628562,34.0
-0.8006883604148183,71.0
1.646412659587566,12.0
0.020150261832001526,75.0
1.322590485712704,49.0
-0.16830086380884582,33.0
-0.5839209503821947,57.0
-0.8265403245508942,71.0
1.7509948299627835,54.0
0.16046801893791363,35.0
-1.187653762339714,9.0
-0.24389060410859928,24.0
1.1272153546722774,14.0
-0.02258445740998727,81.0
1.2120198316363247,47.0
0.3463006888629179,31.0
-0.11837925775810193,38.0
-0.5247772229501366,44.0
2.079864172086026,23.0
0.39544014428129354,26.0
-0.4196759849535544,63.0
1.1524337334662893,41.0
-1.1521166745290445,69.0
-0.9634167948022159,55.0
-0.5453422981201134,29.0
0.6666494513194443,7.0
0.5096580440423704,3.0
1.4517159452015946,9.0
-0.7428061191956841,62.0
-0.9324086589977639,38.0
-0.0708192196109973,54.0
-1.1342814806760286,69.0
-0.24015640346631162,5.0
-0.4281509720397187,54.0
-0.017549189285268996,49.0
0.08314187591059807,28.0
1.9700375599991249,29.0
-0.26604671348066145,33.0
1.4431274486522965,35.0
1.0253038315072935,57.0
-0.9335430663136792,25.0
-0.3383814866922218,47.0
-0.6863659672846407,64.0
1.4563309729326495,14.0
-0.5012921884964866,66.0
1.2244150014060864,24.0
0.10325358397794482,63.0
0.167782965639094,57.0
-0.06522088831465278,20.0
-0.7387763401160594,57.0
0.39889371790338285,48.0
-0.22620092924556698,54.0
0.27973286551168286,59.0
-0.6813837673007856,71.0
1.042715275942969,58.0
-0.6102665915996517,65.0
1.6547640212993209,38.0
0.06710447210823561,14.0
1.261506079449823,47.0
-0.12452002668364232,38.0
1.1981694137222523,14.0
1.6480667532783304,28.0
0.4723977096511649,18.0
0.5764040837909852,69.0
0.020034179529311358,57.0
-0.9016373642386782,75.0
-0.15112230893682,41.0
-1.1126734393718425,82.0
-0.8117893988746361,34.0
-0.12859496040714946,27.0
1.1457490981889908,15.0
1.63680142012793,34.0
1.8363203343579357,57.0
-0.19694942423269074,58.0
0.43030078084021356,45.0
-0.7990705614977177,28.0
-0.5148589590097756,75.0
-0.11736448261705099,43.0
0.31612780724826584,67.0
1.0323661874412438,23.0
-0.30143405623396685,47.0
-0.07583006583612778,75.0
-0.4020993588794355,76.0
-0.4956229535645935,47.0
-0.24584878810364721,43.0
1.1443442737082392,58.0
-0.5792170374671181,36.0
