empl_ttl_lc2vs0_iate,earnx2
-8.520648196382673,0.0
-9.036513960348046,0.0
-11.027773318354884,0.0
-10.848264449380427,0.0
-9.21650221798034,0.0
-10.240856190244775,0.0
-9.725046360586145,0.0
-9.938630770402966,540.5292221533524
-9.913164399056683,0.0
-10.384701992095362,0.0
-12.35703702519145,0.0
-10.206003305037905,0.0
-10.336910455060144,1228.7335340854088
-10.084121869868143,0.0
-8.57793623589498,0.0
-9.189087976506789,0.0
-10.517601117325048,0.0
-11.851816466179356,0.0
-10.195639754351077,965.8503379932461
-11.859182022907174,1502.7000496557
-10.81232871119416,743.4988660048341
-9.660448430618596,0.0
-11.43371924959742,1567.4865435882898
-9.931826079819142,0.0
-9.629763409224312,731.6847828549727
-9.30756712552746,0.0
-11.09519707280143,0.0
-10.193717574721898,0.0
-9.644149294128837,0.0
-12.197905925355364,702.8414013080481
-9.19903107632146,0.0
-9.709522015720562,0.0
-9.14993085073568,1337.9946573057587
-10.246272495497909,0.0
-9.433105520454761,0.0
-11.694647948666105,1054.856986464721
-9.658495738053084,0.0
-11.272177264526704,0.0
-10.997258730813522,0.0
-9.896400354963323,0.0
-9.110285730342847,0.0
-9.195455312792545,1710.275913025411
-9.923578455317159,0.0
-10.166569676919792,1188.2006749697766
-10.221938147931361,941.0107736229702
-9.645664771620027,0.0
-10.892739424930184,955.4429418040424
-8.889015773942447,0.0
-9.850789041142534,0.0
-9.849731472238828,881.809880102695
-9.473503196280683,0.0
-10.899028343915301,0.0
-10.1746247162341,0.0
-10.200970269729648,1129.902604299713
-11.01270215324514,870.2730383209896
-8.91894469940708,0.0
-12.568795042857769,0.0
-9.4218358786568,1131.9066236985716
-9.757775059995858,0.0
-10.1421925883794,0.0
-10.203073547533272,1590.0336091143665
-10.384217787089623,0.0
-8.769977288930122,0.0
-10.119649571597561,0.0
-9.909160025655645,0.0
-10.252262104664542,1079.2784244259665
-9.721356317654827,0.0
-9.461787390242426,0.0
-9.840602584946117,0.0
-9.509233593680545,0.0
-9.907832384522505,0.0
-12.035366856823707,0.0
-9.67219695674288,699.3713044043346
-9.702311541182748,0.0
-10.157645570391917,0.0
-10.354063568541932,806.2559022403984
-9.840356491401145,0.0
-10.789384180048387,0.0
-10.492377888830074,0.0
-12.92503242542784,1725.9521238724642
-10.736164896877035,890.8636534716501
-10.3160545963501,853.423201710562
-8.153613023544457,0.0
-10.055940317757285,0.0
-9.427374998052786,0.0
-10.121700859929309,0.0
-9.629959329284103,0.0
-12.370405682234214,0.0
-9.459626785566492,0.0
-9.753075045881447,0.0
-10.998309657816325,518.4271933300842
-10.5236644558253,0.0
-9.621047811319128,663.1543926878377
-9.448364762468906,0.0
-10.577199773266319,0.0
-11.960123499908063,2196.159451190892
