empl_ttl_lc2vs0_iate,earn_x0
-8.520648196382673,1193.332697145667
-9.036513960348046,3244.6781523613786
-11.027773318354884,3719.2213222458727
-10.848264449380427,3085.6925448433512
-9.21650221798034,4004.131002137021
-10.240856190244775,1755.8269456412604
-9.725046360586145,2584.370630726857
-9.938630770402966,3413.5281476890164
-9.913164399056683,1933.0884472848177
-10.384701992095362,3968.939722213053
-12.35703702519145,4292.975371818628
-10.206003305037905,4686.399666895838
-10.336910455060144,4759.08314777485
-10.084121869868143,3485.7685658506025
-8.57793623589498,2430.071681191421
-9.189087976506789,6995.563964901388
-10.517601117325048,1800.598031556699
-11.851816466179356,4116.599833906231
-10.195639754351077,2272.22316109235
-11.859182022907174,4645.666832185667
-10.81232871119416,4911.659106698894
-9.660448430618596,2285.6646826609804
-11.43371924959742,2845.918390197516
-9.931826079819142,5615.714002697792
-9.629763409224312,4666.231885699818
-9.30756712552746,5196.638068029913
-11.09519707280143,4076.92783250837
-10.193717574721898,1749.6442113020514
-9.644149294128837,1342.3696338424595
-12.197905925355364,4490.609342053655
-9.19903107632146,3043.1471959793835
-9.709522015720562,5155.20693112442
-9.14993085073568,3362.485159182663
-10.246272495497909,4016.4146395269454
-9.433105520454761,2790.325407162434
-11.694647948666105,3760.962602912711
-9.658495738053084,3844.823230717023
-11.272177264526704,3925.744144977282
-10.997258730813522,3494.914466391914
-9.896400354963323,3914.4693519501134
-9.110285730342847,2504.4669564633064
-9.195455312792545,5127.58637675137
-9.923578455317159,3562.886665982977
-10.166569676919792,4346.035705503462
-10.221938147931361,5810.071824153135
-9.645664771620027,3785.74193468117
-10.892739424930184,6312.9529453602845
-8.889015773942447,2434.186954334409
-9.850789041142534,1479.981545887037
-9.849731472238828,5557.065867351301
-9.473503196280683,1104.7599895524174
-10.899028343915301,5894.174450994807
-10.1746247162341,2843.929690002449
-10.200970269729648,4204.431798818756
-11.01270215324514,3367.087933725305
-8.91894469940708,2758.136380043928
-12.568795042857769,4848.983973726757
-9.4218358786568,2644.3239547182543
-9.757775059995858,3348.914555933196
-10.1421925883794,3839.682281385358
-10.203073547533272,2467.059948003984
-10.384217787089623,1236.9125442854886
-8.769977288930122,5868.199214033304
-10.119649571597561,2123.3307829249434
-9.909160025655645,2944.7052830965613
-10.252262104664542,4086.564922510373
