sal_3_lc1vs0_iate,nation
-17415.1031705239,1.0
-25305.746235323335,1.0
-27814.00738551387,1.0
-23939.495178166268,1.0
-32443.46979372244,1.0
-19252.828301220972,5.0
-21754.414397683897,1.0
-26132.066732960135,1.0
-19583.607062069976,1.0
-29068.56497138829,2.0
-33507.81939066237,1.0
-34557.90536122679,1.0
-33206.990960703944,1.0
-25771.020703622424,1.0
-21224.217152578247,1.0
-40443.119240977925,1.0
-17639.679563740265,4.0
-32622.856521167567,2.0
-20722.610646580728,1.0
-35297.5177895776,4.0
-32741.071619922895,2.0
-19326.053103316015,1.0
-23070.99496129854,4.0
-36175.13211878299,1.0
-34617.33914352089,1.0
-36608.90174036606,1.0
-30837.182013579783,4.0
-17907.461941494585,1.0
-17942.076634149467,1.0
-34530.80556441923,2.0
-25160.126131207566,1.0
-35437.80081658537,1.0
-25256.23755639718,5.0
-30421.80764423158,1.0
-23428.232273581387,1.0
-27813.945823005313,1.0
-29688.119503097078,1.0
-30693.88810294368,1.0
-24291.688135672623,5.0
-28981.839002558616,1.0
-21607.353406322574,1.0
-37396.64686358426,1.0
-25870.094242852567,2.0
-32055.39241277901,2.0
-39685.59554082267,4.0
-29489.562612563448,2.0
-38482.96106569735,2.0
-22189.204744630057,1.0
-17004.71819721548,1.0
-35409.17293620383,1.0
-17823.56200956145,4.0
-37766.418724977644,1.0
-22640.68299875898,5.0
-32253.059369518443,1.0
-24654.80903645283,1.0
-23186.145612880962,1.0
-34743.95167606504,1.0
-22366.00685744034,1.0
-25836.235321440174,1.0
-29608.902779363212,1.0
-20837.19399697987,2.0
-17833.9782615763,1.0
-38674.997771110444,1.0
-19625.56066145896,1.0
-22575.158315637895,1.0
-31723.31485709041,1.0
-17990.528686408485,1.0
-19073.293046008315,1.0
-19171.713840372962,1.0
-24268.749474896184,1.0
-19316.23011260044,2.0
-35173.125778535265,2.0
-31740.68098378273,2.0
-21134.055669029676,1.0
-34694.17471644448,1.0
-34348.869748631536,1.0
-25489.38137249599,2.0
-21774.562287047534,1.0
-19630.555238780216,4.0
-32619.98634424249,1.0
-35605.72143464559,1.0
-35823.39271572521,2.0
-22163.002399586272,1.0
-34187.682101731305,1.0
-23796.584831791082,1.0
-24214.05996981355,1.0
-17390.836837062387,1.0
-37759.11185731662,1.0
-18055.12477987335,2.0
-30961.690124440465,3.0
-24125.136919558492,1.0
-23011.671901068315,1.0
-33437.35512490579,1.0
-17881.030393876736,2.0
-33106.05405113526,1.0
-30425.67651579465,4.0
-26532.194720630883,1.0
-23626.347544077973,1.0
-18047.51390479693,4.0
-27043.770758876657,3.0
-32383.90009721407,1.0
-34954.310522100954,1.0
-31535.08074615727,1.0
-21015.40937176602,5.0
-18038.882593094793,1.0
-34640.7001171462,5.0
-26915.01669979139,1.0
-27943.757372949607,1.0
-20478.67314990065,1.0
-37711.79195343255,1.0
-22276.114463611186,1.0
-31904.784204790005,1.0
-18602.56606898306,1.0
-25814.948807009358,1.0
-31223.664670909686,2.0
-18305.374613839165,1.0
-26326.29011465775,1.0
-23689.648935541714,2.0
-24599.362730920788,5.0
-37362.51892383423,1.0
-29962.803315762525,3.0
-32883.7248388344,1.0
-33750.42579383972,2.0
-23542.073494345506,5.0
-22152.7263848211,2.0
-25700.332808851203,1.0
-38308.33369388414,1.0
-24145.212758002905,1.0
-31793.43696941984,2.0
-25837.430523570038,2.0
-19157.002879969605,5.0
-26913.576223822907,1.0
-32877.94626428665,1.0
-20395.15824491409,1.0
-19362.52518916075,2.0
-27032.53802735584,1.0
-31681.00948524809,1.0
-32235.371393209927,1.0
-42791.6128859482,4.0
-18501.39014862413,1.0
-30991.77902560891,1.0
-17652.5697037227,1.0
-36721.276921074284,1.0
-25378.109334741133,1.0
-32692.207215944676,1.0
-31598.474629261982,1.0
-36237.45893387396,1.0
-18742.31240744461,1.0
-25619.711908691752,1.0
-19394.592974872787,2.0
-35703.267594153556,5.0
-18053.73147741477,1.0
-20366.641420268832,5.0
-41357.548724049746,2.0
-18358.731303464236,1.0
-23880.995560196454,1.0
-24958.688637512,2.0
-28464.256046333245,3.0
-20069.36254371567,2.0
-21971.942004177487,1.0
-38808.101895724176,5.0
-31684.665617708957,1.0
-18288.575203826487,1.0
-33715.663576600346,1.0
-24936.103381554185,1.0
-36147.30358287094,1.0
-26410.3445212574,3.0
-35034.05002580755,1.0
-31527.197632357173,1.0
-26163.732071928607,1.0
-33219.95842659876,1.0
-20955.366372953846,1.0
-37938.010837578244,1.0
-33506.875871770804,1.0
-26479.083158861453,2.0
-21536.58275337253,1.0
-23039.52112579772,1.0
-31140.779844910943,1.0
-20886.24662169238,1.0
-34789.333305024615,2.0
-17905.57796631088,1.0
-24899.320571254677,1.0
-25605.123899853203,2.0
-18114.958241335808,3.0
-17945.111117443175,2.0
-37662.71694330331,2.0
-26603.50293952319,1.0
-19098.781476578642,1.0
-37536.91973377703,1.0
-35960.159716556576,3.0
-34711.66000130544,3.0
-33599.739695265234,1.0
-29771.676948421464,3.0
-23143.426351239494,1.0
-25614.930742157314,1.0
-37973.67742381954,1.0
-20713.13054374513,4.0
-21424.43064549985,1.0
-33145.08491102029,1.0
-17592.622186101325,1.0
-22146.44539303411,1.0
-36278.203218875075,1.0
-23065.3060871968,1.0
-17446.66461033421,1.0
-21747.22060631561,1.0
-26633.990215076585,1.0
-22226.668302937793,1.0
-22077.032249184253,2.0
-25841.22435380471,1.0
-20339.35695157101,1.0
-28755.49936333019,1.0
-25262.01905205636,2.0
-35698.686757842195,1.0
-28235.322496173976,1.0
-33334.85922356422,1.0
-32456.451228349615,1.0
-34064.748379280805,2.0
-32911.42428773715,1.0
-35847.99981472389,4.0
-32479.731377553704,3.0
-17039.382665687368,1.0
-32333.458308285568,1.0
-21824.512703207067,4.0
-19284.07445022453,1.0
-30634.449808336394,1.0
-25411.01935720171,1.0
-18101.332843040444,1.0
-27768.756397002544,2.0
-25175.870400562475,1.0
-22847.276586498643,1.0
-25777.262460934864,1.0
-26562.991418311387,1.0
-32149.485106554515,1.0
-28071.003761016742,1.0
-17891.610931056584,1.0
-36968.0784613346,1.0
-32664.875634676668,1.0
-24919.423056300082,2.0
-32682.538634184843,2.0
-24849.0875427803,4.0
-39608.52793380992,1.0
-34984.97851883473,1.0
-36237.68102962763,1.0
-23241.93851241688,1.0
-27444.40963755038,1.0
-25938.6965319838,1.0
-31199.80129009745,1.0
-34723.26465777555,2.0
-18471.57001383802,2.0
-42280.47009389836,3.0
-17913.594069061954,1.0
-27493.47062633097,4.0
-23192.583999663668,1.0
-37752.26779892478,1.0
-30693.74114693883,1.0
-36892.401344757396,1.0
-33696.52767408475,1.0
-18442.609872250054,2.0
-38418.22387978765,1.0
-31963.483468160914,1.0
-34877.516060706585,1.0
-35290.17062706159,1.0
-32476.74290729066,1.0
-30616.374450928357,1.0
-34647.28891888666,3.0
-33061.213107897085,1.0
-29057.37400406581,1.0
-21068.84535140366,1.0
-17575.812682008152,1.0
-25212.152984063545,1.0
-38080.5035134261,1.0
-22942.693226509717,1.0
-24760.234605779104,1.0
-34709.36843492355,1.0
-17915.763750818325,1.0
-23427.35649846709,1.0
-29070.11522799089,1.0
-17886.315416282283,1.0
-33275.626041094816,1.0
-24006.82937625182,1.0
-25554.574955855285,1.0
-24224.415489344843,1.0
-21333.198457211998,1.0
-22009.954081092168,1.0
-34754.24767713183,1.0
-30649.285695407012,1.0
-32986.835201477974,4.0
-20256.774947635495,1.0
-23623.065799753058,1.0
-24689.740143444935,1.0
-33936.338523897815,4.0
-21269.220986163986,1.0
-37336.14375178324,5.0
-22526.2001217385,1.0
-22051.342599426498,1.0
-26243.864325358816,1.0
-18562.648331024502,1.0
-32913.62112949886,2.0
-17674.869043880237,1.0
-26601.30009505263,1.0
-18514.4970995372,2.0
-25259.082420840226,2.0
-25068.122544005317,1.0
-38977.444741600506,4.0
-25820.021141527985,2.0
-22013.40294097046,1.0
-20822.390409869608,1.0
-35378.94307401112,1.0
-25329.02139945986,1.0
-30313.7534128695,1.0
-22226.462815991228,1.0
-17444.87180740919,2.0
-37110.56363985046,1.0
-24493.355656682455,3.0
-21869.369507172276,1.0
-38945.781851142834,1.0
-34987.37555714977,5.0
