empl_ttl_lc1vs0_iate,empl_x0
-4.948054261668859,41.0
-4.578111859088714,19.0
-3.230183773696281,65.0
1.3276327758599846,58.0
-5.504426802571932,60.0
0.19740218502416718,72.0
-3.7681734953965305,35.0
-4.058591155271899,48.0
-0.6127430727358064,86.0
-1.3866245580209615,68.0
5.684290253260674,95.0
-3.9245604592515027,28.0
-4.249977880810943,72.0
-2.7508514322438367,54.0
-5.343410681848838,35.0
-5.859476615922035,89.0
-3.560316948943589,46.0
3.9605823782354577,100.0
-0.2781985129849933,90.0
1.2274432011773224,77.0
3.8812397465118122,44.0
-3.3427260873530398,56.0
4.9152560967964956,98.0
-4.71026634939384,42.0
-4.215989504466777,63.0
-5.861797327600664,50.0
3.195668435079152,92.0
5.222338304708721,38.0
-2.9020687387710535,36.0
4.280266659497552,103.0
-3.7225476618861912,58.0
-3.486853278044228,70.0
-1.3057265460516698,65.0
-3.2785683578171336,53.0
-3.342427794012711,70.0
1.3763720464244351,78.0
-4.010554469233904,61.0
-2.6537893485242208,94.0
4.728494152405938,71.0
-2.9711600162350447,79.0
-5.293375960119727,45.0
-5.378046175097144,80.0
-2.9478466195738484,60.0
-2.616589569519482,78.0
-1.1791202450774634,64.0
-4.311464470350409,91.0
-0.12053856032070254,106.0
-5.553943871730289,41.0
-2.5097217097954987,71.0
-2.955066446938946,70.0
-3.129404636961479,32.0
1.1985676546152861,62.0
1.93558641024354,68.0
-4.196079625440849,47.0
6.449172312966962,105.0
-3.0829091482839517,25.0
4.891619174263027,47.0
-4.391780743250741,67.0
-3.4463184400290006,62.0
-4.47581358746775,28.0
1.3776060924220008,53.0
-1.9133030567665479,66.0
-6.274316227690827,97.0
-4.837873860188848,79.0
3.386321604051256,105.0
-3.4899290176169884,17.0
1.63337041131164,65.0
-1.4524888182921771,81.0
-3.4897655460277974,78.0
-3.8998745555076644,66.0
5.436816063188527,91.0
3.7496934542546665,71.0
-4.248230258791732,56.0
0.31380723920020004,61.0
-4.149337294975304,37.0
-2.4455956673903776,57.0
-3.5938970168129813,72.0
0.12389493903963,97.0
1.0171740108050566,98.0
6.390183591814025,109.0
-3.450569901201286,48.0
-3.8400120684612906,82.0
-4.406178341738958,50.0
-2.9490994516832165,49.0
-1.9759975006251942,92.0
-3.1223764769021933,54.0
-3.9963374702913472,51.0
1.3313914137511298,87.0
5.8144092617826555,77.0
-0.6622089022793183,85.0
3.849187277029741,71.0
0.09658460201370933,51.0
-4.6117175715266345,84.0
-4.449272870511718,53.0
-2.736970506720067,46.0
7.193584233035986,93.0
-3.8302579895709554,37.0
3.20544308579557,89.0
-2.5526540996384313,47.0
-2.186318953991026,61.0
-1.2875165043921646,83.0
-4.0054989881365115,61.0
-0.09933864261648351,63.0
-4.973522661912383,54.0
-1.5365758327191974,49.0
-3.9842499680379637,36.0
3.976228403146549,50.0
-3.481802111213266,42.0
2.0519123979685157,70.0
1.209600134149532,84.0
3.686375956199354,62.0
-0.7506920493004086,64.0
2.7223543517259374,97.0
3.47577607850244,73.0
2.347982875400124,85.0
-3.835688449799336,40.0
-2.294756710314047,51.0
-5.388084664678197,35.0
-2.5804622695616173,56.0
-5.825823605192124,28.0
-2.945849181596061,65.0
-3.3863182264720795,79.0
5.302877003082863,95.0
1.9493689406136316,75.0
4.7848177038834745,61.0
-3.422833772512836,39.0
2.0196300685915873,65.0
-4.789290297255821,72.0
-3.1225787908962204,41.0
-2.7542017409301556,59.0
-2.1347439539077815,43.0
3.0914216505186207,76.0
-4.795990592082758,55.0
-4.998245575217604,34.0
-4.278209409956684,32.0
-4.092050333249997,70.0
-3.2722100341891887,63.0
2.4438923980872174,42.0
-2.5676675061993346,69.0
-0.39525542153435855,55.0
-2.2361339405144123,92.0
-3.3962974403455943,94.0
4.671032224318577,90.0
-2.583898500732019,91.0
-2.990697211185264,88.0
-2.0414398987498465,94.0
4.806125932089195,76.0
6.748201447424043,102.0
3.7894679019779454,76.0
-3.3856079351713264,76.0
