empl_chge_lc1vs0_iate,age
0.19348226718683503,34.0
-0.6561314834979083,44.0
-0.84494281868543,42.0
0.945692841418351,47.0
-1.0064907230465774,46.0
0.5348488850662148,48.0
-0.17750663801513133,37.0
-0.5012945001812743,44.0
0.5140829216959502,45.0
0.28396070907677595,35.0
1.3832264855414242,34.0
-0.8769711535691751,46.0
-0.20315471068873964,49.0
-0.30900037196505603,49.0
-0.6885925620519506,47.0
-1.2742951940684368,46.0
-0.013785470693807866,38.0
0.7669310625337044,41.0
0.6112494780097184,48.0
0.6735771192693415,30.0
1.0389574174377803,35.0
-0.13201401606238844,42.0
1.759654190162267,40.0
-1.1551552381266537,38.0
-1.2779368405702924,46.0
-1.2282012228479373,45.0
1.1030083464080185,34.0
2.2366299789057447,34.0
-0.19474240830381317,40.0
0.7004783076462677,37.0
-0.5795729727442487,47.0
-0.7740850018451025,33.0
0.2556931532509614,41.0
-0.7456553522870846,48.0
-0.37347974753997915,40.0
0.7769388974168199,46.0
-0.7652187664344375,45.0
-0.07621465039704661,41.0
1.5318977829809315,37.0
-0.4464310376354319,49.0
-0.5853448782456725,50.0
-1.28401740963856,38.0
-0.21566380838760535,44.0
-0.4340267573781114,43.0
-0.31346775306921404,48.0
-0.44239693323754126,36.0
-0.20932286758749127,37.0
-0.6587384725625713,41.0
-0.07349412323191945,45.0
-0.9997574944937051,36.0
-0.254379047303225,46.0
0.2857753351560003,50.0
0.9832261792628562,48.0
-0.8006883604148183,40.0
1.646412659587566,33.0
0.020150261832001526,31.0
1.322590485712704,34.0
-0.16830086380884582,39.0
-0.5839209503821947,45.0
-0.8265403245508942,36.0
1.7509948299627835,38.0
0.16046801893791363,33.0
-1.187653762339714,50.0
-0.24389060410859928,45.0
1.1272153546722774,47.0
-0.02258445740998727,45.0
1.2120198316363247,33.0
0.3463006888629179,31.0
-0.11837925775810193,47.0
-0.5247772229501366,43.0
2.079864172086026,34.0
0.39544014428129354,35.0
-0.4196759849535544,41.0
1.1524337334662893,40.0
-1.1521166745290445,42.0
-0.9634167948022159,42.0
-0.5453422981201134,49.0
0.6666494513194443,46.0
0.5096580440423704,37.0
1.4517159452015946,31.0
-0.7428061191956841,48.0
-0.9324086589977639,32.0
-0.0708192196109973,31.0
-1.1342814806760286,41.0
-0.24015640346631162,49.0
-0.4281509720397187,49.0
-0.017549189285268996,36.0
0.08314187591059807,44.0
1.9700375599991249,33.0
-0.26604671348066145,32.0
1.4431274486522965,30.0
1.0253038315072935,47.0
-0.9335430663136792,48.0
-0.3383814866922218,45.0
-0.6863659672846407,35.0
