sal_5_lc1vs0_iate,reg_ser
-2481.9990918268495,44.13662518418517
-1430.202684616277,43.794759766421855
-4489.066068861715,56.00156836204996
-11449.086047238934,55.61319381311606
-2621.9158112681944,54.13462065843544
-9307.768394496368,51.64208012290497
-3663.882554510727,51.239202675284645
-2922.271743348201,51.239202675284645
-8681.341162061635,41.1263774068312
-6274.98471380869,50.918617138569005
-23050.036448475887,40.58472706107023
-4468.773777198032,52.81671062158314
-1791.5446949040288,50.918617138569005
-4944.3840893217,59.16605356399492
-985.7288185997259,58.17571650868259
-332.9000730049738,57.707357830393605
-3128.5858267013627,51.62276087243585
-20174.249270295943,40.50652664870855
-9694.51465280175,45.62378915966991
-15482.656312535788,46.71352130193502
-16864.316977723323,59.16605356399492
-3854.6605514252137,40.424467677940896
-15512.06340435362,42.17211466032058
-737.5592811277274,41.04762817418116
-3907.2066466053693,47.94886509813647
-3121.7491029205485,44.13662518418517
-15304.32706086959,51.62276087243585
-13543.905380875236,43.199874437569264
-2648.5947456058157,47.1570315638461
-17866.57769455155,51.239202675284645
-2403.451674007313,45.62378915966991
-6434.734482813499,43.794759766421855
-8296.695760245611,54.86573122936064
-5509.827570719332,59.47595778135059
-4641.313601073667,44.82253612444929
-11752.237241047436,40.1215023000053
-4379.075625140771,51.99242497994736
-3376.3762733938984,56.19212068260055
-18070.252683228304,55.88635513910959
-3868.6695721607903,56.45104328229763
-2411.755970966738,40.31705615821635
-2800.2412569148146,54.89502272010587
-4610.403673240825,40.50652664870855
-3839.2066885664535,54.89502272010587
-13850.616232426319,40.58472706107023
-3205.912961450713,44.13662518418517
-13405.433064226892,48.36277186842874
-1393.8747596588855,57.91932836569297
-3827.2478162996267,44.34699704539882
-3340.8646766978018,40.1215023000053
-3220.861475528019,41.797024702686336
-18159.677478107256,42.793960732726966
-11768.15836671055,51.20649072287212
-601.8838962788832,49.76105210425247
-19723.851358464704,58.54521222112821
-5725.515170755166,58.54521222112821
-20073.777211113367,55.505871920133245
-4066.4327409611055,46.71352130193502
-3625.4468209149663,57.707357830393605
-1856.2438022488532,41.04762817418116
-12507.116191895593,43.794759766421855
