sal_3_lc2vs0_iate,emplx2_4
-16923.173348648626,2.0
-24425.473765904528,2.0
-26813.287085257885,2.0
-22971.782494882864,2.0
-30434.83555095693,2.0
-19014.31388860634,2.0
-21135.67245243467,2.0
-25064.60173021705,2.0
-18954.104150514177,2.0
-28194.13986779473,2.0
-32883.70415135079,2.0
-33020.416928181774,2.0
-32525.98568145831,2.0
-24633.58062771205,2.0
-20572.52381512164,2.0
-36636.6903340174,2.0
-17555.501491280273,2.0
-31485.7504858642,2.0
-20536.656198922283,2.0
-34848.43624643609,2.0
-33140.767210530285,2.0
-18915.670724752323,2.0
-22444.743926233212,2.0
-34698.07604360116,2.0
-32747.73627490861,2.0
-33888.49367149004,2.0
-29580.82900453663,2.0
-18323.126237372606,2.0
-17354.599964247187,2.0
-33587.9778927639,2.0
-23930.004876421015,2.0
-33918.897065245284,2.0
-24064.91024048072,2.0
-28599.879285158982,2.0
-22617.403866011686,2.0
-26760.31266227669,2.0
-28523.977503210084,2.0
-29689.342175152316,2.0
-24333.95942132083,2.0
-28051.683729842276,2.0
-20966.314051829286,2.0
-35107.403027387605,1.0
-24718.746705674734,2.0
-31007.018614486842,2.0
-38360.34580953767,2.0
-28311.669884017916,2.0
-37669.5838600071,2.0
-21405.66834304331,2.0
-16592.666413531122,2.0
-33450.55204961363,2.0
-17471.262165722364,2.0
-37137.583973092296,2.0
-21923.28151397136,2.0
-30828.70622482546,2.0
-24667.25379337976,2.0
-22678.739160996673,2.0
-35174.5575322707,2.0
-21545.540465532617,2.0
-24649.531248491527,2.0
-28022.864246839476,2.0
-20967.776552454525,2.0
-17746.153195591804,2.0
-36497.637017913316,2.0
-19097.233467196864,2.0
-21976.8759579138,2.0
-30872.56225774072,2.0
-18090.64426215939,2.0
-18841.164299183558,2.0
-19190.06217292416,2.0
-23247.02813776976,2.0
-20057.75509093124,2.0
-34324.00352331811,2.0
-30511.08580526404,2.0
-20522.35608372644,2.0
-32702.98119694244,2.0
-32789.47459294545,2.0
-24186.536804600986,2.0
-20651.164790592382,2.0
-19574.44515829937,2.0
-32075.655113101515,1.0
-34314.58282534281,2.0
-33689.62955848127,1.0
-21713.102529466618,2.0
-33391.29639365125,2.0
-22682.842654112552,2.0
-23359.659945902673,2.0
-17068.21834018603,2.0
-36442.229534095844,2.0
-18486.329863221203,2.0
-29583.80895821537,2.0
-24546.72731624168,2.0
-22186.848326690073,2.0
-31323.29892592713,2.0
-17505.222360101052,2.0
-31281.448169565963,2.0
-30257.350231226083,3.0
-25417.13148371489,2.0
-23066.809739908032,2.0
-17799.084678867166,2.0
-25778.00329100289,2.0
-31088.555894776062,2.0
-33800.56112386,2.0
-30599.72179447142,2.0
-20439.390652365517,2.0
-17926.371327323926,2.0
-32943.38421643246,2.0
-26887.64688985982,2.0
-26564.720933012642,2.0
-20654.138881536433,2.0
-36278.01584106205,2.0
-21975.87834698413,2.0
-30453.1153566327,2.0
-18908.661945263593,2.0
-25756.086927994722,2.0
-30013.166586930267,2.0
-18257.33008407926,2.0
-25420.590041746465,2.0
-22795.421936469542,2.0
-23598.704779673462,2.0
-35458.500697813426,2.0
-28563.965392223883,2.0
-31389.168392071217,2.0
-32726.42577877272,2.0
-23790.595898569143,2.0
-21951.301017329617,2.0
-24760.87626305456,2.0
-37401.67152404349,2.0
-23291.046996115707,2.0
-30701.015848488394,2.0
-24998.339483950564,2.0
-18884.64620914324,2.0
-25854.595764480502,2.0
-31753.981217445173,2.0
-19820.114339558066,2.0
-18714.02159538571,2.0
-25824.891686391114,2.0
-30891.02630385872,2.0
-32517.257835531134,2.0
-39701.48808272249,2.0
-18332.385908992903,2.0
-29960.590515242526,2.0
-17214.417108557693,2.0
-36177.21990484433,2.0
-24064.981167414142,2.0
-31483.82881499405,2.0
-30162.954272328545,2.0
-36096.88669638837,2.0
-18946.93057809726,2.0
-24654.12932456362,2.0
-19127.74131979531,2.0
-35416.21012597265,2.0
-18360.483591662036,2.0
-20193.058521134684,2.0
-38773.718847551965,2.0
-18346.801972787172,2.0
-22925.397760155975,2.0
-23612.9410607785,2.0
-27084.62480941761,2.0
-19544.370185633954,2.0
-21612.916693745232,2.0
-36245.84104163987,2.0
-30708.29626534351,2.0
-18087.91944276189,2.0
-32588.29256137771,2.0
-24075.31144021464,2.0
-34431.980609668724,2.0
-24945.022223528184,2.0
-35738.794172507995,2.0
-29829.82285947381,2.0
-25560.539285567524,2.0
-31348.484334438082,2.0
-20102.51836018442,2.0
-35755.371781015245,2.0
-31908.34682108796,2.0
-25091.55101812225,2.0
-21055.652617838212,2.0
-23451.37691214538,2.0
-29645.84121627949,2.0
-20331.57674173922,2.0
-33535.83693452503,2.0
-17144.518519913803,2.0
-24333.642118877295,2.0
-24547.32795343499,2.0
-17781.54453313947,2.0
-17830.439309417983,2.0
-36997.98661784583,2.0
-25549.84617822826,2.0
-18708.846126364027,1.0
