sal_4_lc1vs0_iate,reg_ser
-19954.994972657827,44.13662518418517
-29146.199747354854,43.794759766421855
-31433.024744821378,56.00156836204996
-27478.65232829765,55.61319381311606
-38631.071400739456,54.13462065843544
-22278.891971705772,51.64208012290497
-24204.91485495999,51.239202675284645
-29354.023810217488,51.239202675284645
-22014.83645411035,41.1263774068312
-34361.42852146404,50.918617138569005
-41092.16190647378,40.58472706107023
-41180.24634598078,52.81671062158314
-40243.90241887649,50.918617138569005
-29150.136101467546,59.16605356399492
-24006.898602131638,58.17571650868259
-42258.86377414164,57.707357830393605
-19358.973796785616,51.62276087243585
-39115.205022963,40.50652664870855
-23448.82266885253,45.62378915966991
-38909.95974164018,46.71352130193502
-39702.48987425571,59.16605356399492
-22277.595721019636,40.424467677940896
-26288.68630089834,42.17211466032058
-40485.49538268829,41.04762817418116
-41330.13824445986,47.94886509813647
-42695.29142520019,44.13662518418517
-35916.118606586126,51.62276087243585
-16933.182969041547,43.199874437569264
-20584.131695808843,47.1570315638461
-39462.244365811326,51.239202675284645
-30001.400938728202,45.62378915966991
-42731.36462946981,43.794759766421855
-28006.1853940301,54.86573122936064
-33672.86151251089,59.47595778135059
-27860.55729002769,44.82253612444929
-30944.372178795915,40.1215023000053
-35320.908489962065,51.99242497994736
-33430.59998985071,56.19212068260055
-24506.14719153816,55.88635513910959
-33191.64899169733,56.45104328229763
-26019.55571569452,40.31705615821635
-43435.71137947413,54.89502272010587
-30099.321215154516,40.50652664870855
-37092.68920495328,54.89502272010587
-48867.95184566085,40.58472706107023
-32931.4167978592,44.13662518418517
-43936.631134135714,48.36277186842874
-25635.340856668423,57.91932836569297
-19938.743897824497,44.34699704539882
-40215.890883476284,40.1215023000053
-20843.12253120516,41.797024702686336
-48155.346359058836,42.793960732726966
-24846.135873147585,51.20649072287212
-36930.58623005346,49.76105210425247
-24443.686159512225,58.54521222112821
-24851.60330836227,58.54521222112821
-42264.1441729595,55.505871920133245
-25934.14454512942,46.71352130193502
-29381.163982017206,57.707357830393605
-33367.14854061719,41.04762817418116
-22718.196414816248,43.794759766421855
-20476.910250086356,49.64290509414352
-42881.4809853933,50.918617138569005
-23062.450465256836,41.48296305222163
-23895.023253822386,43.19639221231764
-37438.47640856294,55.918969385169504
-20028.154555522262,50.71721377412224
-22282.448281085213,40.1215023000053
-21578.085212128935,58.54521222112821
-29004.491318529384,40.50652664870855
-19161.916179614364,47.05410925021325
-42355.31251129725,50.71721377412224
-38286.969964331576,47.97189674292668
-23219.39934211219,51.62276087243585
-40276.06833313756,53.08541388864003
-40653.01177477254,48.36277186842874
-29277.75557873216,57.707357830393605
-24437.16617639319,54.89502272010587
-23001.503840665864,50.71721377412224
-36828.82184882531,40.31705615821635
-43407.956008045185,59.16605356399492
-42444.72178561178,56.00156836204996
-25456.07579255796,52.40854258551276
-41790.7332086244,43.49521587724775
-28378.147127596952,41.57278495048693
-28610.61925682743,51.11621272212679
-20289.072054281078,57.267873487302026
-43252.25805043618,54.1093094876617
-17994.259043180595,48.04528843141448
-37273.63005590277,41.797024702686336
-23557.82748938075,55.1660020929033
-26805.23855871579,43.940765365608506
-38486.70263158987,53.89097997615204
-20696.658162808922,51.99242497994736
-38700.47776504462,52.81671062158314
-32520.88810432009,57.267873487302026
-29174.6581131945,55.1660020929033
-25847.44037667095,47.94886509813647
-20926.3503817867,53.3341229438205
-29005.290682213694,59.47595778135059
-38540.80501603817,51.64208012290497
-40390.8648748322,51.99242497994736
-36608.069451455754,40.45295140473965
-25266.916958584752,43.794759766421855
-20515.473725697644,54.1093094876617
-39193.508217323244,44.47355487462248
-29125.702428765264,56.00156836204996
-30662.350310109232,53.89097997615204
-21410.097568917823,43.794759766421855
-44401.017801489455,47.05410925021325
-23344.749371833757,41.57278495048693
-35620.21904822812,54.13462065843544
-20487.370193009214,49.76105210425247
-24723.575312031935,56.45104328229763
-36026.61394059506,53.08541388864003
-19669.750622641608,57.267873487302026
-26962.687607562715,58.54521222112821
-27694.23925830335,51.32189870085669
-28120.58306560859,44.82253612444929
-42346.80764931825,40.45295140473965
-36525.02962273515,47.94886509813647
-39711.53673832417,51.99242497994736
-40902.011845372705,50.918617138569005
-24463.112943982414,41.48296305222163
-22795.094523215826,44.34699704539882
-29474.590382009912,45.62378915966991
-46605.193635506876,58.54521222112821
-27902.65314079094,48.36277186842874
-37934.05470791469,51.99242497994736
-28784.449452564753,42.44907434855431
-21911.775665648893,44.770034590453946
-28329.96296277423,58.17571650868259
-39344.828793734116,48.027022042691215
-23745.22240499276,53.70325408375153
-21657.300540561264,51.20649072287212
-30804.820705720922,48.04528843141448
-38126.276444049894,40.58472706107023
-39965.943902988336,43.49521587724775
-48043.23311771627,47.97189674292668
-20769.94522357106,41.57278495048693
-35955.11218492224,55.58419079695274
-20999.269232136932,55.1660020929033
-43644.44064051098,51.62276087243585
-29902.566454377928,44.34699704539882
-39664.45500538778,41.797024702686336
-36296.26292663389,57.81954827121653
-44899.74327594796,43.05248972136468
-17736.17113495728,55.61319381311606
-27302.155159091253,55.7427690131515
-21557.79057050258,55.88635513910959
-45804.60548155397,47.97189674292668
-18710.606833931037,43.05248972136468
-23750.108844980172,57.267873487302026
-48994.49593139242,48.027022042691215
-20090.11731715608,44.13662518418517
-28313.13580071384,56.00156836204996
-30333.88988667966,43.49521587724775
-33447.28632039226,48.027022042691215
-23232.150737468866,48.045288431414484
-24301.78116973926,58.54521222112821
-43837.8465473248,41.48296305222163
-36334.953462382444,41.04762817418116
-20263.320743539047,51.11621272212679
-40750.95578135038,42.17211466032058
