empl_ttl_lc2vs0_iate,empl_x0
6.163441855289333,41.0
6.87880017533317,19.0
9.149766558368407,65.0
10.266228597454887,58.0
6.951079501388164,60.0
9.276540923628799,72.0
7.587936880337879,35.0
7.8239298758118245,48.0
9.05462691847279,86.0
8.463603806471886,68.0
12.238035735549097,95.0
8.440010064652737,28.0
8.050065177574316,72.0
8.2896217224377,54.0
6.291101268481792,35.0
6.92899149797147,89.0
8.426213814631765,46.0
11.46385489592294,100.0
9.178250708932286,90.0
11.518279579254521,77.0
10.466459886200404,44.0
7.694643474159699,56.0
11.21283396314876,98.0
7.9991331377692205,42.0
7.8891407861503735,63.0
6.6931878857196985,50.0
10.93660616540008,92.0
9.782235246124374,38.0
7.931684855077413,36.0
11.84180630648341,103.0
7.086924827785264,58.0
7.865561097345541,70.0
6.868759102058374,65.0
8.499836797783319,53.0
7.395286182766324,70.0
11.28378208432106,78.0
7.675038135836944,61.0
9.617147448808797,94.0
10.976510798370676,71.0
7.923018652954744,79.0
7.0617831797824335,45.0
6.939410332171203,80.0
8.118218280697032,60.0
8.189016549476088,78.0
9.69768990961851,64.0
7.346375147974815,91.0
9.90441106339564,106.0
6.405912153003442,41.0
8.294342172997709,71.0
8.287528001714033,70.0
7.663514534262634,32.0
10.500518999022152,62.0
9.221198663496091,68.0
8.219600881683478,47.0
10.702213873666865,105.0
6.478314231639317,25.0
12.431458174677608,47.0
7.1795271862451004,67.0
8.063379017997919,62.0
8.28712537876436,28.0
9.580632096524058,53.0
8.600102786138653,66.0
6.055977332407223,97.0
8.281793776501878,79.0
9.460201935379366,105.0
7.730822168213375,17.0
8.904470076277926,65.0
7.605012115365937,81.0
7.900141785019246,78.0
7.384268257787621,66.0
9.293774331134758,91.0
11.60051210735136,71.0
7.30676886572005,56.0
9.050585209552782,61.0
8.707314336405636,37.0
8.723857045341706,57.0
8.174621595361153,72.0
10.024150581837524,97.0
9.976441157733113,98.0
12.946431242840182,109.0
8.803543464068701,48.0
8.319533050854536,82.0
5.36276071674245,50.0
8.029235731669095,49.0
7.751171251940067,92.0
8.082566372138862,54.0
7.633294555314956,51.0
12.101343456275874,87.0
8.96856112163362,77.0
