sal_7_lc1vs0_iate,voc_deg
5953.581473813945,0.0
8464.159484895521,0.0
6955.343047811722,1.0
-2020.5311061799875,1.0
10542.252531732,0.0
586.1306613070971,0.0
4807.944093878533,1.0
7682.542326626746,1.0
1447.4128988806028,1.0
3889.160303714727,1.0
-13394.27871760809,1.0
8937.643842383706,1.0
9798.967674830703,1.0
5767.038233563759,1.0
9222.468931014644,1.0
12962.039103616278,1.0
4298.546314179264,1.0
-6621.019697649852,0.0
133.68620445255806,0.0
-3060.6652236598984,1.0
-10470.3889259688,1.0
5694.045952312683,1.0
-7517.6114127840865,1.0
11040.95930020456,1.0
11872.05034125171,1.0
10152.859535544063,1.0
-7127.511350725146,1.0
-11020.034325460148,0.0
5034.745716134101,1.0
-10578.02780987775,1.0
9021.633432821927,1.0
8406.27612886288,1.0
278.7666532655512,1.0
8026.213406079301,1.0
6758.007200695988,1.0
-1742.2094198848172,1.0
8594.167566480068,1.0
8082.334098990295,0.0
-10557.429991132149,1.0
6943.199170499402,1.0
9244.221824454078,0.0
11191.362756678778,1.0
6735.662395158111,1.0
7358.825751417262,1.0
5162.883729185534,0.0
8336.795607308963,0.0
2286.228662823156,1.0
9865.436773882437,0.0
5945.286422769878,1.0
9483.486279094846,1.0
5602.926294863126,0.0
278.7240398223512,1.0
-3430.0447231433486,0.0
11411.257030759025,1.0
-13931.246226538718,1.0
2317.3674088288226,1.0
-13012.4128266551,1.0
6456.483409130162,1.0
8592.023239682685,1.0
9119.19420782378,0.0
-3219.749723097361,1.0
2397.4886960786366,1.0
12706.676142674844,1.0
8538.243984216904,0.0
-5304.0038690836245,1.0
6508.104397677311,1.0
-3988.505365085562,0.0
1615.2895637602617,1.0
4415.370816577563,1.0
8835.536156199287,1.0
-12044.882760781255,0.0
-10803.475381155049,1.0
9145.399011089048,0.0
-2099.7586157564056,1.0
10908.435183384005,1.0
9230.276218078732,1.0
8265.641815684608,1.0
305.37753266011623,1.0
-1121.517455113299,0.0
-14952.841476965114,1.0
8888.239247329333,1.0
7487.523067365497,1.0
4515.4581275797245,1.0
8050.305828954641,1.0
5618.28913955684,1.0
6956.717943621494,1.0
6583.677596505943,1.0
-620.8995594502103,1.0
-11346.419775309852,0.0
3724.396124565168,1.0
