empl_ttl_lc2vs0_iate,olf_x0
6.163441855289333,56.0
6.87880017533317,85.0
9.149766558368407,51.0
10.266228597454887,54.0
6.951079501388164,38.0
9.276540923628799,28.0
7.587936880337879,83.0
7.8239298758118245,52.0
9.05462691847279,12.0
8.463603806471886,39.0
12.238035735549097,14.0
8.440010064652737,71.0
8.050065177574316,41.0
8.2896217224377,51.0
6.291101268481792,62.0
6.92899149797147,17.0
8.426213814631765,67.0
11.46385489592294,1.0
9.178250708932286,16.0
11.518279579254521,31.0
10.466459886200404,54.0
7.694643474159699,40.0
11.21283396314876,6.0
7.9991331377692205,56.0
7.8891407861503735,44.0
6.6931878857196985,47.0
10.93660616540008,26.0
9.782235246124374,59.0
7.931684855077413,63.0
11.84180630648341,15.0
7.086924827785264,59.0
7.865561097345541,38.0
6.868759102058374,32.0
8.499836797783319,57.0
7.395286182766324,27.0
11.28378208432106,33.0
7.675038135836944,57.0
9.617147448808797,21.0
10.976510798370676,42.0
7.923018652954744,18.0
7.0617831797824335,68.0
6.939410332171203,30.0
8.118218280697032,41.0
8.189016549476088,30.0
9.69768990961851,37.0
7.346375147974815,26.0
9.90441106339564,2.0
6.405912153003442,75.0
8.294342172997709,33.0
8.287528001714033,40.0
7.663514534262634,75.0
10.500518999022152,37.0
9.221198663496091,34.0
8.219600881683478,71.0
10.702213873666865,12.0
6.478314231639317,75.0
12.431458174677608,49.0
7.1795271862451004,33.0
8.063379017997919,57.0
8.28712537876436,71.0
9.580632096524058,54.0
8.600102786138653,35.0
6.055977332407223,9.0
8.281793776501878,24.0
9.460201935379366,14.0
7.730822168213375,81.0
8.904470076277926,47.0
7.605012115365937,31.0
7.900141785019246,38.0
7.384268257787621,44.0
9.293774331134758,23.0
11.60051210735136,26.0
7.30676886572005,63.0
9.050585209552782,41.0
8.707314336405636,69.0
8.723857045341706,55.0
8.174621595361153,29.0
10.024150581837524,7.0
9.976441157733113,3.0
12.946431242840182,9.0
8.803543464068701,62.0
8.319533050854536,38.0
5.36276071674245,54.0
8.029235731669095,69.0
7.751171251940067,5.0
8.082566372138862,54.0
7.633294555314956,49.0
12.101343456275874,28.0
8.96856112163362,29.0
8.187085734408871,33.0
10.368634827191713,35.0
9.907694107861598,57.0
7.829818379922157,25.0
7.031629432286003,47.0
8.68829868347227,64.0
