empl_chge_lc2vs0_iate,olf_x0
-1.9376496207548197,56.0
-2.238960356800459,85.0
-1.8585970665202245,51.0
-1.410617367783847,54.0
-1.3836025531647245,38.0
-2.052424475709446,28.0
-2.065700065711724,83.0
-2.0620953962890276,52.0
-1.8259478400722136,12.0
-2.0366692107262065,39.0
-1.1314351738716761,14.0
-2.0293050506635963,71.0
-1.8413723261506325,41.0
-2.0074398579806503,51.0
-2.4153632431323193,62.0
-1.5658822012922855,17.0
-2.4325452666157776,67.0
-1.6502813734014006,1.0
-1.6797697940982528,16.0
-1.0406366745532112,31.0
-1.1145505971045704,54.0
-2.262544255721852,40.0
-1.554666642353807,6.0
-1.376268746056748,56.0
-1.8113572275301342,44.0
-1.581501086672156,47.0
-0.6408259925741845,26.0
-1.3374769793853838,59.0
-2.237900305453701,63.0
-1.2825541338960904,15.0
-2.0348101491532136,59.0
-1.6459665259415144,38.0
-2.121881014624725,32.0
-1.6808991920914487,57.0
-2.061767815162848,27.0
-1.6117188850588486,33.0
-1.8737097584909477,57.0
-1.5959364354087606,21.0
-0.8507978145837756,42.0
-1.9135449977946033,18.0
-1.9129149557318414,68.0
-1.7106883914395463,30.0
-1.8468575616695153,41.0
-1.9945782009518185,30.0
-1.0251735052807986,37.0
-1.7672017184575124,26.0
-1.1519851152125784,2.0
-1.7408799977510574,75.0
-2.253994033450608,33.0
-1.3687491155658338,40.0
-2.277920524900105,75.0
-1.0191933357095952,37.0
-1.450149391332401,34.0
-1.5643637043905876,71.0
-0.8405310189723075,12.0
-2.1706116044989394,75.0
-1.3329324771486222,49.0
-2.204664209712405,33.0
-1.9286433938952237,57.0
-1.5000179160083675,71.0
-1.5308085697942326,54.0
-2.333426190305067,35.0
-1.5782936100076532,9.0
-1.8451354636893933,24.0
-1.605040105173947,14.0
-1.9148739783014328,81.0
-1.2893269968006988,47.0
-2.2047242125017923,31.0
-2.4001684279765207,38.0
-1.6525794664768756,44.0
-1.1502744492133226,23.0
-1.4922317990635463,26.0
-1.7457575394127933,63.0
-1.1128527948353741,41.0
-1.505255386022944,69.0
-1.7344016022005901,55.0
-2.0645279200216593,29.0
-1.7889196800039517,7.0
-1.5461513043231399,3.0
-1.0448444891495237,9.0
-1.6617126529447623,62.0
-1.6259150177996613,38.0
-2.04978471516278,54.0
-2.0047233898024794,69.0
-2.219585469838362,5.0
-2.16420707599502,54.0
-1.742638396890885,49.0
-1.4385835911093787,28.0
-0.7298880763773091,29.0
-1.678977303408725,33.0
-1.089430794211483,35.0
-1.6414300397571653,57.0
-1.5393671461219818,25.0
-2.1803461627265506,47.0
-2.1089497168040863,64.0
-1.2937821012776523,14.0
-1.9707171130389955,66.0
-1.6389660156096832,24.0
-2.441161982225367,63.0
-1.8741834074541075,57.0
-1.7604017152773368,20.0
-1.487061793881637,57.0
-1.315100976504008,48.0
-2.176721304054731,54.0
-2.3541551141476065,59.0
-1.8374290723290063,71.0
-1.3276992324464099,58.0
-1.935837810233064,65.0
-1.308546189569201,38.0
-1.670104198419995,14.0
-1.8172095337994303,47.0
-1.4048415956334352,38.0
-1.2985644387148743,14.0
-1.1254947783305786,28.0
-1.4016071805600592,18.0
-1.6849309972104758,69.0
-2.0461293994498075,57.0
-2.3223642530685984,75.0
-2.2864147775630648,41.0
-1.3198082534957796,82.0
-2.175512309804013,34.0
-1.6855350235815485,27.0
-1.1687730093280762,15.0
-1.600917712233831,34.0
-0.6740999873372097,57.0
-2.1224108430406323,58.0
-1.5950626409736577,45.0
-1.8491707399835717,28.0
-1.8032842748106002,75.0
-1.9606396147999061,43.0
-2.3470247542158513,67.0
-1.0562025527246706,23.0
-1.80833998821999,47.0
-2.0549045387552587,75.0
-2.2058895231927407,76.0
-1.4816375984912267,47.0
-1.8567057105570743,43.0
-1.6426403709889308,58.0
-1.0296501922432753,36.0
-1.7174990119601203,42.0
