sal_5_lc1vs0_iate,nation
-2921.828590101002,1.0
-3254.8992132057447,2.0
-10556.837650846033,1.0
-10455.722659357674,4.0
-20661.927004180106,1.0
-1423.1313431016351,1.0
-3351.387528416253,2.0
-5120.885342422156,1.0
-5935.03073167989,1.0
-4976.031903531241,1.0
-3968.682633044399,1.0
-3634.4564636564714,1.0
-9066.127307525752,1.0
-15018.688640553493,2.0
-8111.284690909317,3.0
-17642.504848383618,1.0
-10839.494059506756,1.0
-1867.1120927345873,1.0
-3010.58230744502,2.0
-6071.455601997548,1.0
-21320.914805274697,4.0
-1710.138748034251,1.0
-12414.134823481705,1.0
-3599.044708005637,4.0
-5926.637928848382,3.0
-5718.414619240615,1.0
-2509.7359093447667,1.0
-13663.177161276704,1.0
-4033.9786864793264,5.0
-5100.974057773645,1.0
-2192.7269067826746,5.0
-15263.631141748427,1.0
-3386.1423112113443,1.0
-12195.480706996037,1.0
-14172.420734003885,1.0
-14439.967598591506,1.0
-9048.159561008597,1.0
-13926.822995011873,1.0
-13700.27841875913,1.0
-12333.05242406501,2.0
-3675.0575450600186,1.0
-5367.654395430778,1.0
138.4776854907468,2.0
-4687.764581692624,5.0
-1270.997471406965,1.0
-6269.418312184014,3.0
-4233.027892930539,1.0
-22212.10191973546,2.0
-13084.67588178134,5.0
-17165.329435814063,2.0
-2912.170621465184,1.0
-13504.384406074629,1.0
-3268.638595897545,1.0
-3091.9152833653407,2.0
-3990.2589633479092,2.0
-4787.805977663427,5.0
-13083.954220749198,1.0
-1282.4598854414871,1.0
-2866.351751821405,1.0
-3235.381426239118,2.0
-2167.875516107175,1.0
-5316.7737462200985,1.0
-19438.058438510867,1.0
-4579.149770817781,4.0
-9358.890585744632,1.0
-5203.818795432897,1.0
-3787.5950766807773,1.0
-18966.873058341105,1.0
-4401.415846031439,1.0
-4131.751212488016,1.0
-4634.892212804394,1.0
-25827.080229285075,1.0
-16014.76933823419,1.0
-14562.973671890471,1.0
-3461.479854856258,2.0
-16302.535040565574,5.0
-9524.583472066335,1.0
-7341.373915371651,5.0
-7954.488198774539,2.0
-9140.948460039317,1.0
-2648.63698183188,1.0
-3812.0953431614716,2.0
-3109.9271871894052,3.0
-11121.07401745646,2.0
-2995.358495047496,1.0
1170.1312156810236,5.0
-3029.919065063603,1.0
-2758.081931164009,1.0
-18156.345359036037,1.0
-4643.473547032023,1.0
-1223.8552101226742,1.0
-5688.8463606498935,3.0
-23838.63413445383,1.0
-3865.639866280333,1.0
-5035.879839467416,1.0
-2856.2286010098796,1.0
-5936.459152942279,1.0
1549.8746490409612,1.0
-5037.703809441769,1.0
-2457.7912591701443,2.0
-3744.413427343115,1.0
-11780.249925911903,1.0
-5208.740962084879,1.0
-8283.285950736947,1.0
-9420.056949572647,2.0
-1351.4954124650149,1.0
-12359.355770980195,1.0
-1921.5972709595062,2.0
-3396.3153520985193,3.0
-2523.1013173419956,2.0
-19680.119143043325,2.0
-3662.978856202675,1.0
-1813.828406699417,1.0
-1929.4502405485619,1.0
-18473.376925254204,3.0
-10235.55657615969,3.0
-4467.038205499353,1.0
-10216.100215415927,3.0
-10398.435339800724,1.0
-1977.345039138867,1.0
-371.8095684415348,1.0
-11178.479565200749,4.0
-4848.809083663544,1.0
-1455.7608402893602,1.0
-3504.653426616303,1.0
-10608.85667011568,1.0
-14842.137517069903,1.0
-19043.144660105587,1.0
-3940.0068283597757,1.0
-11089.839073897609,1.0
-16045.222243166478,1.0
-8872.668920638254,1.0
-8764.232361529641,2.0
-744.5201364443074,1.0
-15853.751076890278,1.0
-13269.777642340361,1.0
-12175.95595530658,2.0
-20438.03779952736,1.0
-4208.2072426075065,1.0
-2088.049357156826,1.0
-3072.794178742104,1.0
-3007.1361696807617,2.0
-4247.789874483327,1.0
394.9086557822193,4.0
-6220.2860975357435,3.0
-2533.4913310290394,1.0
-4629.908943759723,1.0
-3580.119740847032,4.0
-15179.331531589367,1.0
-5250.554192597281,1.0
-19824.48843790569,1.0
-13961.771413975295,1.0
-15679.964204096266,2.0
-2473.6644484802455,1.0
-2549.048403292869,1.0
-4808.15456737716,1.0
-6112.866546040381,1.0
-2054.054733363866,1.0
-4116.815076209841,1.0
-4667.85781356056,1.0
-687.7678721856246,1.0
-1572.4739265848293,1.0
-2229.9449051810225,2.0
-17912.271224062053,2.0
-10959.587508179799,4.0
-13438.2518203146,1.0
-5765.292613450059,1.0
-1882.0292594248676,1.0
-1394.986552865007,1.0
-2766.42877285527,1.0
-8227.80630448794,1.0
-15937.822211161463,1.0
-607.8791752062425,2.0
-15400.345359607196,2.0
-3285.0358730861008,3.0
-4761.178615956944,1.0
-6325.923551056336,4.0
-206.73042079810148,1.0
363.56423770793845,1.0
-11260.855429756597,1.0
-8150.214017385895,1.0
-17867.236586939463,1.0
-3513.256866762912,2.0
-9989.511869159283,1.0
-13382.944965331519,1.0
-21389.724762206322,1.0
-11758.275605579602,1.0
-19100.263322655494,1.0
-6242.692738933945,1.0
-10874.925238689526,3.0
-4129.8338974680755,1.0
-2596.7614304278686,1.0
-1086.7598052277935,1.0
-2887.402644716651,1.0
-6424.322779887733,1.0
-7835.83143178534,1.0
-2423.0265647891483,1.0
-2090.3272179691303,1.0
-1650.8826955134682,1.0
-11588.976768525037,1.0
-14319.735197210259,1.0
-1184.822857693347,1.0
-10630.152127146837,1.0
-3438.786554015467,1.0
-4041.421376712118,1.0
-6687.023831691959,1.0
-14454.607006213711,1.0
-4734.885674987723,1.0
-17955.702257149896,1.0
-3712.300545257418,1.0
-3253.506274047706,1.0
-13063.243422531774,4.0
-10105.650529150811,1.0
-2646.1694418109128,1.0
-945.998726484695,1.0
-3216.597459158538,4.0
-11214.495457371586,1.0
562.0227214579609,5.0
-4660.331546913718,1.0
-10652.43730504763,1.0
-14640.104054043746,1.0
-3278.789836188758,1.0
-3593.1129255839314,2.0
-1378.353035254714,1.0
-5383.3235308045205,1.0
-16577.660370664562,2.0
-6035.086094474353,2.0
-13306.992942208668,1.0
1282.0930186860023,4.0
-895.4255482932276,2.0
-9861.096318188434,1.0
-14449.518073712647,1.0
-359.490316730371,1.0
-4370.206142251963,1.0
-2754.6914802962474,1.0
-5107.4454764113925,1.0
-3976.1256049532585,2.0
-15403.609459958532,1.0
-5156.614720654045,3.0
-4833.287929346806,1.0
-15437.340573491341,1.0
-16318.471846804154,5.0
-3409.2604148364526,1.0
-4739.117269303191,1.0
-4042.817789694872,1.0
-5205.5897897801115,1.0
-4121.094435166221,1.0
-6533.300609403781,5.0
-3292.025134088034,3.0
-6064.27302482879,1.0
-14099.482965617866,1.0
-3393.5976391919467,1.0
-9504.931781505567,4.0
-13062.811574666157,1.0
-4747.644292694064,1.0
-1592.0873906145641,2.0
-15913.178206146846,2.0
-19436.659771559403,1.0
-16837.368662845634,1.0
-6276.741810780376,2.0
-8180.637889668757,1.0
-11457.88085505463,1.0
-781.455681697169,1.0
-2667.812659389481,2.0
-13104.771248879919,5.0
-10665.173419655195,1.0
-14296.561815424191,2.0
-9758.488127115183,2.0
-2750.906093148442,1.0
-6469.2445193924905,1.0
-5441.509169176774,1.0
-13599.701356621516,2.0
-4136.13600177582,1.0
-11604.125718343528,1.0
-4304.24579376874,1.0
-4330.072568825493,1.0
-3490.7351071552207,1.0
-2075.3832241213277,1.0
-3254.26674599163,1.0
-11112.70814340313,1.0
-6296.898415198479,1.0
-10192.005783543897,2.0
-17727.516905453125,1.0
-5012.679561102739,1.0
-5851.130895425836,1.0
-4035.657123341791,1.0
-14816.066706769656,1.0
-3541.814156349754,1.0
-6427.332189568371,1.0
-3233.1390493057397,1.0
-3411.4342215337892,1.0
-17123.4475832901,1.0
-1172.1130016023199,1.0
552.286057597561,1.0
-5655.806847844575,1.0
-10581.430701767214,4.0
-8830.358392823542,1.0
-14815.277371803895,1.0
-2398.1236783427194,1.0
-6263.180178224558,1.0
-12975.890850990038,1.0
-5679.533639377374,1.0
-2349.9636917536445,4.0
-10436.331630234665,1.0
-4508.20529302922,1.0
-4692.289544992703,1.0
-5379.5399472282825,1.0
-4057.671335163872,1.0
-2892.4590521762025,1.0
-12588.963599358947,1.0
-11477.6680872867,1.0
-5311.800841091535,1.0
-3779.1363941453064,1.0
-2806.506942162654,1.0
-16195.484778475562,1.0
-11373.359983035367,1.0
-1552.343685283191,1.0
-22425.572008234296,1.0
-14567.809379868384,1.0
-1311.870356166084,1.0
-15282.50631259432,1.0
-1369.3983653871383,2.0
-5200.175723133261,1.0
-16920.956385632708,1.0
-5195.482995055705,4.0
-2495.3884848211346,1.0
-3843.6985231587514,1.0
-3196.964354415368,2.0
-4406.749802497816,1.0
-3755.8618457899756,1.0
-6787.83627485638,1.0
-2823.967131787602,1.0
-1071.9738005093288,1.0
-3946.8561827103877,1.0
-3561.856569843167,1.0
-19537.889521173176,1.0
-18287.872415728132,1.0
-9172.138593969526,1.0
-983.8322342154643,1.0
-10880.11764259306,1.0
-6863.830262644018,1.0
-10002.905273157896,2.0
-6626.758999035115,1.0
-3499.2754850904976,1.0
-2129.1063331996957,1.0
-5558.888108277294,1.0
-7645.630418935081,1.0
-6183.445242883212,1.0
-1625.5582936830565,1.0
-1049.8327045402757,4.0
-7268.851903614441,1.0
-4387.6096241314335,3.0
-3615.212480579177,1.0
-3117.1654110010136,1.0
-4759.65459342434,1.0
-5105.360680644506,1.0
-6483.034945865298,1.0
-15511.26569282519,2.0
-4281.723713055418,1.0
-14549.537150474844,1.0
-1316.1856850565164,2.0
-5031.032716930509,2.0
-17982.015222138445,1.0
-13980.84275580986,1.0
-13379.73236244552,2.0
-2581.022305710847,5.0
-3236.2269517419845,1.0
-1592.9261180726244,1.0
-8706.879548445624,1.0
411.3035550626919,1.0
-4398.459651460804,4.0
-3788.2331676040267,1.0
-4357.739640313481,2.0
-3382.6588118979016,1.0
-4631.249696172425,2.0
-2666.4213760754983,1.0
-868.0538595247253,1.0
-2756.274967546272,1.0
-3761.4519807091237,1.0
-4704.313363187631,5.0
-5573.662744476155,1.0
-15299.993362856305,1.0
-4582.0873896018165,2.0
-22302.88806641531,1.0
-17776.650063005844,1.0
-10060.746262490724,1.0
-12725.395549141624,2.0
-4631.189744462416,1.0
-242.91499332771127,1.0
-2459.093374788523,1.0
-4504.357819365499,1.0
-2738.49880778372,1.0
-11276.967579239126,1.0
-4029.4669165095047,1.0
-18352.934482413297,1.0
-11886.56562856742,1.0
-6510.221335148532,1.0
-2730.4155463201378,1.0
-4188.072299746702,2.0
-14221.840087814331,1.0
-8820.291722706255,1.0
-14257.627534332754,1.0
-4219.815360165614,4.0
-4139.300882773805,1.0
-1879.038305978651,1.0
-3177.0103660553377,5.0
-13208.962545099064,1.0
-3481.4877267371558,1.0
-3880.610173101615,1.0
-8759.46367740449,4.0
-18167.040084612872,1.0
-10209.116247998272,1.0
139.92165081726125,1.0
-5034.189452390943,1.0
