sal_avg_lc1vs0_iate,reg_ser
-463.5134964850074,44.13662518418517
-1847.612151281361,43.794759766421855
-3666.72473946462,56.00156836204996
-8612.12307443159,55.61319381311606
-2932.6937992341045,54.13462065843544
-5665.001479048335,51.64208012290497
-3441.4558967006283,51.239202675284645
-2838.081801430035,51.239202675284645
-5190.98733346411,41.1263774068312
-6679.015808655396,50.918617138569005
-21088.555720797514,40.58472706107023
-5050.337640104912,52.81671062158314
-4330.400558687103,50.918617138569005
-4328.147398870946,59.16605356399492
-227.3310448534994,58.17571650868259
-3114.376081052067,57.707357830393605
-2435.840640920914,51.62276087243585
-16801.22053844198,40.50652664870855
-6820.418310267502,45.62378915966991
-13760.996006129913,46.71352130193502
-18046.204079078823,59.16605356399492
-2321.914675021203,40.424467677940896
-13241.461328514491,42.17211466032058
-3071.1915495259636,41.04762817418116
-3206.1550970958815,47.94886509813647
-4154.286240049651,44.13662518418517
-15006.888634045421,51.62276087243585
-12021.335593992317,43.199874437569264
-2070.3202580666493,47.1570315638461
-18397.953562721777,51.239202675284645
-1889.9598735848062,45.62378915966991
-6092.6927297959355,43.794759766421855
-7701.838036392345,54.86573122936064
-4284.4747535413135,59.47595778135059
-3070.920715949705,44.82253612444929
-10186.839265724968,40.1215023000053
-4058.7263050805223,51.99242497994736
-4234.555661910752,56.19212068260055
-14841.704162924552,55.88635513910959
-4721.64894603149,56.45104328229763
-146.33265380804778,40.31705615821635
-4296.263003798098,54.89502272010587
-3968.027247398874,40.50652664870855
-5487.076290863109,54.89502272010587
-10821.70658367167,40.58472706107023
-3549.0933660013307,44.13662518418517
-11176.520391528751,48.36277186842874
-396.6216945757328,57.91932836569297
-1308.7933614894814,44.34699704539882
-4321.738163391497,40.1215023000053
-1679.3250543333627,41.797024702686336
-13825.385441420818,42.793960732726966
-9705.903919529803,51.20649072287212
-1941.5600032764141,49.76105210425247
-17026.261987989732,58.54521222112821
-5681.7423330438905,58.54521222112821
-20707.0330507153,55.505871920133245
-2715.2386861927334,46.71352130193502
-2681.990104702361,57.707357830393605
-2220.630708743636,41.04762817418116
-8836.783466818752,43.794759766421855
-4080.681291087498,49.64290509414352
-3567.7506740129465,50.918617138569005
-61.33569109278301,41.48296305222163
-11229.120037878332,43.19639221231764
-5514.657729756767,55.918969385169504
-8119.786103787981,50.71721377412224
-5653.523153591789,40.1215023000053
-3021.0413125608557,58.54521222112821
-2202.3852524104154,40.50652664870855
-13711.866136237812,47.05410925021325
-18989.895255672345,50.71721377412224
-3881.4391296977383,47.97189674292668
-8124.260113193133,51.62276087243585
-3051.0709837098966,53.08541388864003
-4554.147313564168,48.36277186842874
-2590.3474344504584,57.707357830393605
-6908.662810779986,54.89502272010587
-6718.468603575587,50.71721377412224
-20004.11782997079,40.31705615821635
-4994.176749152037,59.16605356399492
-5496.559239267672,56.00156836204996
-4302.962053225012,52.40854258551276
-5998.53189542733,43.49521587724775
-4408.9201187223625,41.57278495048693
-3362.9678428353914,51.11621272212679
-1128.8177198612436,57.267873487302026
-12334.23462936797,54.1093094876617
-12821.893128497693,48.04528843141448
-8054.551426553307,41.797024702686336
-14090.634343899204,55.1660020929033
-7617.009346591939,43.940765365608506
-2796.7528572068677,53.89097997615204
-924.3493473975323,51.99242497994736
-6411.8680722224635,52.81671062158314
-20986.804676169333,57.267873487302026
-3079.864635734356,55.1660020929033
-11235.67700380837,47.94886509813647
-3300.177699021644,53.3341229438205
-6319.144300785712,59.47595778135059
-7220.0671687471495,51.64208012290497
-3752.450922899925,51.99242497994736
-10122.392623717966,40.45295140473965
-2059.022433649012,43.794759766421855
-4420.459952515184,54.1093094876617
-3657.864961302712,44.47355487462248
-14497.581488513384,56.00156836204996
