sal_3_lc2vs0_iate,empl_x0
-19127.74131979531,76.0
-35416.21012597265,53.0
-18360.483591662036,46.0
-20193.058521134684,99.0
-38773.718847551965,70.0
-18346.801972787172,78.0
-22925.397760155975,61.0
-23612.9410607785,89.0
-27084.624809417608,77.0
-19544.370185633954,93.0
-21612.916693745232,15.0
-36245.84104163987,54.0
-30708.29626534351,40.0
-18087.91944276189,40.0
-32588.292561377708,87.0
-24075.31144021464,80.0
-34431.980609668724,44.0
-24945.022223528187,81.0
-35738.794172507995,96.0
-29829.82285947381,48.0
-25560.539285567524,24.0
-31348.48433443808,50.0
-20102.51836018442,91.0
-35755.371781015245,49.0
-31908.34682108796,56.0
-25091.551018122253,98.0
-21055.652617838212,53.0
-23451.37691214538,69.0
-29645.84121627949,65.0
-20331.57674173922,42.0
-33535.83693452503,91.0
-17144.5185199138,51.0
-24333.642118877295,54.0
-24547.32795343499,45.0
-17781.544533139466,36.0
-17830.439309417983,39.0
-36997.98661784583,76.0
-25549.846178228265,62.0
-18708.846126364027,30.0
-35646.02708737519,111.0
-36189.52141627112,74.0
-35348.293767616306,52.0
-32317.171788398613,100.0
-28416.038780262257,55.0
-22077.095225994333,89.0
-24272.11555946,58.0
-35895.650794437795,43.0
-20214.25218821059,78.0
-21162.219640713436,38.0
-30421.344664350225,76.0
-17237.179368172707,70.0
-21499.895845893196,36.0
-35510.55803274134,42.0
-22771.00928279478,91.0
-17097.446051477575,60.0
-21102.678430620097,65.0
-27016.19319630818,70.0
-22164.97663480903,52.0
-21926.192002733384,75.0
-24613.07288095734,63.0
-20531.701269762492,87.0
-27324.084388646414,116.0
-24893.070591976724,80.0
-35750.85661902303,85.0
-27086.356262313962,73.0
-31085.743779489003,55.0
-30626.446406361734,81.0
-32781.754479188356,71.0
-31675.75371245665,100.0
-33663.00143266491,44.0
-31041.79998028763,55.0
-16745.512149227485,80.0
-30640.41143761223,90.0
-20823.8755131891,92.0
-19549.932057223206,110.0
-29797.840426244824,103.0
-25809.52601585966,87.0
-18709.879957023673,79.0
-27892.109518381105,78.0
-24164.13680054403,46.0
-22015.582534858564,45.0
-24910.612177961928,79.0
-25406.288421787554,63.0
-30373.69424405735,49.0
-26988.13078437454,55.0
-17464.494334746712,44.0
-34460.94807325474,79.0
-30988.15201930849,25.0
-23970.6487537145,71.0
-31985.358947790006,103.0
-23528.637807394865,91.0
-38117.85813081161,62.0
-33383.29993965699,65.0
-34491.91812520511,42.0
-22318.37595455294,69.0
-26069.48264515263,61.0
-25057.60636625397,64.0
-30368.075630981584,61.0
-32634.073303459474,33.0
-18990.538380956346,92.0
-39946.58721678271,65.0
-17537.941676490216,24.0
-26505.52960404988,60.0
-22234.916075393303,36.0
-35433.735188455816,64.0
-29567.645790209153,82.0
-35782.64398638405,48.0
-33435.42393450406,49.0
-17840.292864884104,89.0
-37274.69177229203,58.0
-30679.66024904567,54.0
-34625.41364244597,85.0
-34390.48633066505,86.0
-31416.785164022316,98.0
-29435.291334807676,64.0
-33339.70336822906,59.0
-31814.910254521255,44.0
-26950.879503691038,83.0
-20366.525781711356,61.0
-17174.956261311127,63.0
-24272.51603163423,66.0
-36588.38879520891,73.0
-22104.767551239252,80.0
-23600.16177110964,74.0
-33402.1808908954,91.0
-18866.58285364639,69.0
-22947.103006831087,58.0
-27752.04361280307,86.0
-18297.921126128917,50.0
-32310.822045203637,86.0
-23365.730143646266,12.0
-24999.166856664837,37.0
-23659.257069095675,85.0
-20464.090225289638,61.0
-21838.591538077693,96.0
-32441.474373446657,61.0
-28922.36208082393,72.0
-31723.86211433229,107.0
-20507.161596865335,74.0
-22783.62581428657,74.0
-23763.657567541224,52.0
-32227.19155332949,50.0
-21122.769922308387,75.0
-35081.349376147,68.0
-21836.653574841046,100.0
-22385.373245643295,83.0
-25825.130051571978,82.0
-17825.749641771978,69.0
-30800.534680960653,55.0
-17254.086518439184,36.0
-25771.4975283379,43.0
-19029.88867844396,111.0
-24368.141695497754,22.0
-24495.5477164298,90.0
-35956.93471216934,66.0
-24649.072283847447,27.0
-21603.46430553527,42.0
-21256.253510462528,64.0
-33729.56457735936,48.0
-24351.426271325334,52.0
-28832.732047616475,70.0
-21397.157010313982,47.0
-17138.225312247338,84.0
-36054.39024772825,69.0
-23254.552991895827,83.0
-21390.001458619976,68.0
-37354.89894325769,73.0
-33791.64059710041,90.0
-17990.235311423872,53.0
-35001.05545522876,97.0
-23246.558005360792,67.0
-31375.28831363572,56.0
-17261.698068429054,61.0
-35567.61773931457,52.0
-17915.148345182493,96.0
-26439.323571318437,63.0
-25928.355752920324,100.0
-22884.554707200237,24.0
-18476.421854802327,47.0
-24326.68934235352,69.0
-20222.865430783924,75.0
-17200.018609793413,59.0
-28850.40591584659,58.0
-36164.88281237332,109.0
-31822.995456821096,83.0
-25554.812420882532,43.0
-23924.972257356712,74.0
-20002.302848302345,87.0
-22315.335881448045,59.0
-17368.814646283994,77.0
-33514.21884560794,69.0
-23047.61934667518,114.0
-21270.75000547251,87.0
-31850.01964603489,48.0
-34384.49553190979,69.0
-33983.91765996207,95.0
-29298.510805589984,77.0
-24793.049533300633,105.0
-32143.14928122615,43.0
-22191.965455883255,81.0
-24523.75261427706,87.0
-33477.47690190863,41.0
-19524.770043488912,55.0
-16630.68246482979,76.0
-31775.82425757001,71.0
-20858.093260298087,112.0
-24556.39046593369,78.0
-19746.07104937957,71.0
-23978.19302806983,51.0
-18467.691757584686,78.0
-24939.61982594581,72.0
-24714.475484911723,37.0
-37730.95346396453,75.0
-28812.558185630456,70.0
-31646.38317579156,55.0
-17223.85856501999,74.0
-23808.709910685284,69.0
-23294.00273801272,59.0
-34861.96231856798,61.0
-35271.94871293682,61.0
-25446.698785132583,57.0
-21335.24816733988,55.0
-18536.02453392845,50.0
-35459.12998666963,77.0
-34866.20709015558,85.0
-24826.559734036477,62.0
-21457.32338661053,100.0
-24881.6369097793,55.0
-32784.29941843513,79.0
-36527.89908523448,81.0
-25292.252543120725,79.0
-18333.45368536188,91.0
-23992.842057781905,49.0
-18215.074745563325,88.0
-16857.979465024688,60.0
-22809.695478292015,93.0
-35325.53712022155,51.0
-30554.80412742301,86.0
-25282.25053966667,76.0
-33496.12429899935,97.0
-18875.18662395545,74.0
-38901.350103013116,83.0
