empl_ttl_lc1vs0_iate,age
2.734145806375841,34.0
2.733763901957773,44.0
1.8047185994631745,42.0
-1.029717771406037,47.0
3.1263610473491443,46.0
-0.058981509782432884,48.0
2.1657381144013694,37.0
2.401928456837493,44.0
0.680329556031509,45.0
0.37195152843697965,35.0
-4.363686717930491,34.0
2.21452928952114,46.0
2.0035232215322507,49.0
1.6775215354926198,49.0
3.3898256321744142,47.0
3.1597167322302515,46.0
1.8160974559504925,38.0
-2.8322023695092438,41.0
0.31319667351234637,48.0
-1.052660357486031,30.0
-3.418035729968002,35.0
1.8727026339508603,42.0
-3.1887759186564897,40.0
2.5694095597617066,38.0
2.4864635896142526,46.0
3.2491501166020456,45.0
-2.3362346525388267,34.0
-3.5079892821939023,34.0
1.7186309813768772,40.0
-3.52097133699613,37.0
2.159930645919081,47.0
1.852752758681513,33.0
0.3699076130875494,41.0
1.9178539657701823,48.0
2.160631450806557,40.0
-0.6261038013853719,46.0
1.958838942250689,45.0
1.1133342992970636,41.0
-3.1127059603657656,37.0
1.5423922903156317,49.0
3.5174852906647156,50.0
2.9496877725277306,38.0
1.74200635567575,44.0
0.8954916852513479,43.0
0.7716246688652904,48.0
2.154390187064358,36.0
-0.6513851198052913,37.0
3.2416538799148142,41.0
1.5732221021309907,45.0
1.3239619574093768,36.0
1.9383928982007543,46.0
-1.1622728423962667,50.0
-1.5424114689106698,48.0
2.1725584863025142,40.0
-4.478808731445759,33.0
1.5760814257680673,31.0
-3.9561255197591563,34.0
2.6333899770995877,39.0
2.024175826505865,45.0
2.7096023228420094,36.0
-0.7575994947977511,38.0
1.0004787119368705,33.0
3.3335154833598812,50.0
3.0111929052101143,45.0
-2.238033096824865,47.0
1.3876771887399806,45.0
-0.8839388127776777,33.0
0.7071918039126455,31.0
2.0430095790870952,47.0
2.2773127688955745,43.0
-3.8358260977714917,34.0
-3.3195286790854146,35.0
1.9655469046584093,41.0
0.0858018191278409,40.0
2.4478863556712835,42.0
0.9489983442379888,42.0
2.3315956124252897,49.0
0.0030516954447437072,46.0
-0.30996877286502356,37.0
-4.661176893015084,31.0
1.4034833898168673,48.0
1.7750928352639108,32.0
2.4342910999078353,31.0
1.1553952192663268,41.0
1.2000313072705389,49.0
1.7024430779075965,49.0
2.1512849842218333,36.0
-1.2307092005259745,44.0
-3.9381129904370615,33.0
-0.22093567851775786,32.0
-2.713483141468007,30.0
0.029239094146691347,47.0
2.740999037576027,48.0
2.3455685052241786,45.0
1.1346567536375023,35.0
-5.513495984190348,32.0
2.1101217634670375,32.0
-2.155157257750108,46.0
1.3280505353346077,40.0
0.6186390937022539,31.0
0.020186536323699045,36.0
1.8339527168136254,34.0
0.22482520246320048,50.0
2.7561219455990296,41.0
0.8202144820340863,36.0
1.7463896876155114,35.0
-2.8833254532353116,45.0
2.0118319536341644,40.0
-1.0963495455229477,30.0
-1.1580040826449007,47.0
-2.4936147456200564,48.0
0.48854783723903505,46.0
-2.02326340563947,31.0
-2.4397440413060982,40.0
-1.8834638766699028,48.0
1.9182878558125425,31.0
1.0012685552394918,36.0
3.385887926836761,39.0
1.4692268757746358,43.0
3.189163429042102,36.0
1.33550000840608,43.0
1.3067182558223882,36.0
-4.269919966918624,32.0
-0.7899331161557186,30.0
-3.0742455485485447,35.0
1.7937287233276165,34.0
-1.6982975347151386,44.0
3.0072161216860893,49.0
1.453420912734048,48.0
1.2275433543629357,46.0
1.0186954040056821,37.0
-2.422986626340272,37.0
2.4985732514110555,49.0
2.672069364521887,34.0
2.49969368759018,43.0
2.536401307503007,35.0
1.398080109000261,45.0
-1.7450939772429286,42.0
1.7355630659915815,47.0
0.5430001191853933,43.0
1.1443384245697743,47.0
2.3718163603700546,42.0
-4.029200929192161,37.0
1.6519976779249355,35.0
1.131738773479312,38.0
0.9458064733306282,39.0
-3.923784261404748,34.0
-5.010523826434788,31.0
-2.8094959301403737,45.0
1.8336223598275065,46.0
-1.8638386417982162,42.0
-1.395636282998088,41.0
0.6839032867511148,30.0
0.814709522444101,49.0
-1.0873330908178123,50.0
2.6523973927629303,33.0
1.707231819019937,48.0
2.3383505040882677,45.0
-0.4325438463898721,46.0
2.473216356963428,47.0
3.2161435221320254,50.0
1.3200561754992934,36.0
2.640965786117774,31.0
-0.5551986239576103,43.0
1.160506773458901,48.0
3.1339495481071067,33.0
0.9578667875761142,39.0
-5.09392764085782,31.0
2.045657398995141,46.0
1.4190620940530214,44.0
1.7805083862039148,48.0
1.140248663845544,35.0
3.5339378627966633,42.0
1.4026926566385114,45.0
2.10136315452167,36.0
1.968866920385801,50.0
-0.5412218830540483,38.0
2.236763259929446,35.0
0.6978412031475405,38.0
0.4557428097757543,48.0
3.2059303683399896,40.0
-1.6612953520719065,46.0
2.032752907418458,46.0
2.9817002801241492,32.0
1.6761658710888403,40.0
-1.7841489637935468,44.0
1.9437227218639448,40.0
2.698628081903659,50.0
3.0870195129826934,47.0
-2.8299539911348583,39.0
-1.5671911418879985,40.0
0.04910588148658457,35.0
-0.6249431293236998,47.0
-0.21293745399738961,40.0
2.053374995542531,45.0
3.525908058636471,50.0
-1.4960888498564395,43.0
1.4503502516597289,38.0
3.268760894940737,40.0
1.7944104192152217,44.0
0.3887207607409908,41.0
1.4946049580998237,50.0
-5.120520263975381,38.0
1.6072595348708791,32.0
-0.1607957176028103,44.0
-2.463670562076097,43.0
0.66925628042713,46.0
0.6594879295960241,30.0
2.9618875390090045,41.0
-3.69581879355742,36.0
-1.0912601536736402,48.0
-1.3905570100655713,50.0
-4.411776594778878,30.0
1.813159965850006,39.0
3.713180382010341,50.0
2.185503998390436,34.0
2.1464473368832317,44.0
0.6683679483810296,40.0
2.638955932833528,48.0
0.6318129995304456,47.0
2.054344190799993,43.0
0.9045690611852488,47.0
2.3435461007845646,37.0
-3.745186213327659,34.0
0.29550121517413075,42.0
-4.619556444865449,33.0
-4.01786013241907,34.0
-1.8579707524813736,37.0
1.706569567594588,42.0
2.742073021375881,38.0
0.5877561546056973,31.0
0.503476771166222,35.0
2.9941563558378363,42.0
1.7154880419495047,48.0
2.000575505125475,32.0
2.077796343369086,47.0
3.2273361792143525,47.0
3.143105674919039,49.0
-2.845176789828085,41.0
0.6126335639344194,41.0
-0.0588729124846763,32.0
1.0312398534798066,44.0
1.781859250400713,45.0
3.5455903154767294,42.0
2.3371595860207934,47.0
0.2167157603223353,34.0
-1.7614248414969809,33.0
3.1582196705517425,46.0
-4.381065786916228,30.0
2.1142529701813655,50.0
0.7617220681409426,32.0
0.7883345536993986,34.0
3.5649989822083974,48.0
2.856726822251955,42.0
-0.35532602163836424,39.0
-0.42885011774217396,48.0
-2.1105300479907587,37.0
3.2079273829829873,44.0
0.24015213915978872,38.0
-0.8250457705312217,47.0
-4.951745790927065,30.0
-1.5009336652451752,31.0
-4.410980596211802,37.0
1.3042048372210644,43.0
0.8793167796952082,48.0
1.0285015205569632,35.0
1.8299756855877805,39.0
3.6742386244179785,49.0
2.712139047603335,33.0
1.363825227784555,50.0
0.13616755945381032,43.0
2.549266071434401,39.0
3.251505326218183,40.0
1.5492114920770015,41.0
-1.547505231922631,33.0
-2.480659439169197,42.0
2.538141065243828,47.0
-1.1583687161516383,36.0
1.532763970818555,50.0
1.7669106128843117,32.0
0.8711317671840129,41.0
-3.0815483249224833,42.0
2.0160417366755983,42.0
-4.9997452197377115,31.0
3.6779841845523147,44.0
1.637021988867874,38.0
-2.1005379281377,38.0
-0.031554915154505814,33.0
3.161383017184395,45.0
3.7133976260895167,50.0
1.8655928266724837,48.0
-1.027454442196433,45.0
3.382701384705884,41.0
1.2600837665647922,40.0
-0.20785563150901876,37.0
-2.7173880629239933,43.0
2.864100641871987,43.0
1.7957880640165338,42.0
2.9958883376330285,46.0
1.3867785003801218,40.0
-5.150914378884709,32.0
0.44482927329916633,39.0
